,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-08-15 12:39:01.000000,2022-08-15 12:39:01,1301.0,6.0,461,95.0,187.0,46.0,80.0,3038,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-08-30 07:12:05.000000,2022-08-25 16:43:04,155.0,25.0,124,47.0,100.0,,2.0,1647,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-08-25 16:43:17.000,2022.08.25,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-01 13:56:35.000000,2022-08-25 15:32:05,174.0,32.0,172,77.0,104.0,2.0,4.0,2430,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-08-25 15:32:11.000,2022.08.25,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-01 13:56:35.000000,2022-08-25 15:32:05,174.0,32.0,172,77.0,104.0,2.0,4.0,2430,Collection of database clients for python.,9.0,0,True,2022-08-25 15:32:11.000,2022.08.25,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-01 15:29:17.000000,2022-09-01 15:29:17,176.0,34.0,172,77.0,104.0,2.0,4.0,2430,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-09-01 15:29:22.000,2022.09.01,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-01 15:29:17.000000,2022-09-01 15:29:17,176.0,34.0,172,77.0,104.0,2.0,4.0,2430,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-09-01 15:29:22.000,2022.09.01,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-09-01 14:00:47.000000,2022-08-31 23:37:28,28887.0,406.0,23319,2179.0,14095.0,2144.0,8058.0,51229,scikit-learn: machine learning in Python.,2719.0,51,True,2022-08-05 22:48:17.000,1.1.2,64.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],812.0,31815694.0,413242.0,387576.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25666.0,31618612.0,https://anaconda.org/conda-forge/scikit-learn,2022-08-05 23:30:56.710,14977524.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-09-01 14:20:38.000000,2022-09-01 11:53:35,51298.0,4244.0,16171,1602.0,56227.0,9872.0,18853.0,58384,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3481.0,50,True,2022-08-05 19:35:19.000,1.12.1,41.0,torch,pytorch/pytorch,['pytorch'],5822.0,10161230.0,7631.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7631.0,8595833.0,https://anaconda.org/pytorch/pytorch,2022-08-04 21:19:08.482,18783814.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-09-01 13:20:34.000000,2022-09-01 13:12:38,10545.0,614.0,15304,850.0,8869.0,512.0,9509.0,69372,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1457.0,49,True,2022-08-24 15:28:51.000,4.21.2,99.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",1527.0,6469789.0,35218.0,34243.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,975.0,6458819.0,https://anaconda.org/conda-forge/transformers,2022-08-25 04:07:25.381,382819.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-09-01 13:55:52.000000,2022-08-31 21:30:36,44169.0,763.0,6468,583.0,14946.0,1833.0,7302.0,16050,matplotlib: plotting with Python.,1403.0,49,True,2022-08-11 05:28:56.452,3.5.3,94.0,matplotlib,conda-forge/matplotlib,,,28289568.0,669003.0,613943.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,55060.0,28130719.0,https://anaconda.org/conda-forge/matplotlib,2022-08-25 15:45:20.398,13343322.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
