,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-06-14 18:40:11.000000,2023-06-14 18:40:10,1482,138.0,567,105.0,279.0,44.0,112.0,3746,Benchmarks of approximate nearest neighbor libraries in Python.,89.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-06-09 00:31:34.000000,2023-06-09 00:31:33,239,27.0,146,53.0,145.0,1.0,2.0,1931,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-06-09 00:31:41.000,2023.06.08,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-15 13:52:43.000000,2023-06-15 13:52:43,255,28.0,209,85.0,146.0,4.0,4.0,3027,Collection of data-loading and -extraction libraries.,10.0,0,True,2023-06-15 13:52:52.000,2023.06.15,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-15 13:52:43.000000,2023-06-15 13:52:43,255,28.0,209,85.0,146.0,4.0,4.0,3027,Collection of database clients for python.,10.0,0,True,2023-06-15 13:52:52.000,2023.06.15,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-15 13:52:43.000000,2023-06-15 13:52:43,255,28.0,209,85.0,146.0,4.0,4.0,3027,"Collection of data-container, dataframe, and pandas-utility libraries.",10.0,0,True,2023-06-15 13:52:52.000,2023.06.15,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-15 13:52:43.000000,2023-06-15 13:52:43,255,28.0,209,85.0,146.0,4.0,4.0,3027,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",10.0,0,True,2023-06-15 13:52:52.000,2023.06.15,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-06-15 13:39:09.000000,2023-06-15 13:39:02,149373,4208.0,88451,7705.0,23058.0,2130.0,35452.0,177713,An Open Source Machine Learning Framework for Everyone.,4371.0,55,True,2023-03-23 15:50:02.000,2.12.0,177.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],299329.0,284490.0,https://pypi.org/project/tensorflow,2022-11-16 20:05:46.496,14839.0,15327356.0,16972085.0,https://anaconda.org/conda-forge/tensorflow,2023-03-27 12:39:49.535,4202919.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-06-15 12:47:28.559184,2164.0,73177302.0,1.0,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-06-15 14:04:45.000000,2023-06-15 09:53:27,30050,313.0,24324,2152.0,15585.0,2197.0,8610.0,54593,scikit-learn: machine learning in Python.,2926.0,52,True,2023-03-09 10:08:59.000,1.2.2,69.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],572150.0,544128.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,28022.0,36567102.0,36833965.0,https://anaconda.org/conda-forge/scikit-learn,2023-05-25 17:58:28.766,22682539.0,,,,,1.0,877.0,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-06-15 14:03:37.000000,2023-06-15 13:05:13,61205,3424.0,18563,1649.0,68922.0,12268.0,23172.0,67860,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4111.0,51,True,2023-05-08 19:55:19.000,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],9534.0,,https://pypi.org/project/torch,2022-08-05 17:23:18.762,9534.0,10930371.0,11723162.0,https://anaconda.org/pytorch/pytorch,2023-05-05 17:30:27.921,16643997.0,,,,,1.0,17900.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-06-15 14:02:11.000000,2023-06-15 13:36:19,13187,823.0,20011,1020.0,12079.0,591.0,11322.0,104056,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1969.0,50,True,2023-06-13 19:29:33.000,4.30.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",77763.0,77763.0,https://pypi.org/project/transformers,,,13429031.0,13462051.0,https://anaconda.org/conda-forge/transformers,2023-06-14 05:56:03.059,1155622.0,,,,,1.0,141.0,,,,,,,,,,,,,,,,,,,
