,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_monthly_downloads,trending,npm_latest_release_published_at,npm_dependent_project_count,updated_github_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-10-15 02:08:47.000000,2023-10-15 02:08:43,1533.0,26.0,589.0,106.0,302.0,44.0,129.0,4116.0,Benchmarks of approximate nearest neighbor libraries in Python.,97.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-10-13 13:37:54.000000,2023-10-13 13:37:52,273.0,22.0,151.0,52.0,163.0,1.0,2.0,2036.0,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-10-05 17:09:45.000,2023.10.05,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-10-19 14:12:43.000000,2023-10-13 13:35:37,291.0,26.0,221.0,86.0,166.0,4.0,4.0,3195.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-10-13 13:35:50.000,2023.10.12,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-10-19 14:12:43.000000,2023-10-13 13:35:37,291.0,26.0,221.0,86.0,166.0,4.0,4.0,3195.0,Collection of database clients for python.,12.0,0,True,2023-10-13 13:35:50.000,2023.10.12,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-10-19 14:12:43.000000,2023-10-13 13:35:37,291.0,26.0,221.0,86.0,166.0,4.0,4.0,3195.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-10-13 13:35:50.000,2023.10.12,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-10-19 14:12:43.000000,2023-10-13 13:35:37,291.0,26.0,221.0,86.0,166.0,4.0,4.0,3195.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2023-10-13 13:35:50.000,2023.10.12,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-10-19 14:10:51.000000,2023-10-19 13:48:38,155241.0,4022.0,88876.0,7682.0,23465.0,2109.0,36255.0,180530.0,An Open Source Machine Learning Framework for Everyone.,4473.0,55,True,2023-09-26 22:51:39.000,2.14.0,184.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],327470.0,312230.0,https://pypi.org/project/tensorflow,2023-09-26 22:51:39.000,15240.0,17777461.0,19050260.0,https://anaconda.org/conda-forge/tensorflow,2023-10-11 01:21:15.294,4381739.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-10-19 12:48:50.573612,2225.0,74664386.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-10-19 14:07:14.000000,2023-10-19 12:55:18,65245.0,3004.0,19241.0,1675.0,74255.0,12517.0,25018.0,71774.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4410.0,53,True,2023-10-04 17:32:12.000,2.1.0,46.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],341406.0,330467.0,https://pypi.org/project/torch,2023-10-04 16:37:27.000,10939.0,13092084.0,13852101.0,https://anaconda.org/pytorch/pytorch,2023-10-03 19:01:54.763,18992920.0,,,,,1.0,25600.0,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-10-19 12:29:01.000000,2023-10-19 11:52:38,30550.0,360.0,24703.0,2154.0,16249.0,2253.0,8853.0,56184.0,scikit-learn: machine learning in Python.,2999.0,52,True,2023-09-21 07:50:52.000,1.3.1,72.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],648926.0,619149.0,https://pypi.org/project/scikit-learn,2023-09-21 07:50:52.000,29777.0,42889091.0,43498697.0,https://anaconda.org/conda-forge/scikit-learn,2023-10-06 10:34:32.875,24993442.0,,,,,1.0,906.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-10-19 14:15:38.000000,2023-10-19 13:48:49,14248.0,765.0,22056.0,1059.0,13527.0,782.0,12388.0,113627.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2203.0,50,True,2023-10-18 21:15:29.000,4.34.1,122.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",109367.0,107015.0,https://pypi.org/project/transformers,2023-10-18 21:15:07.000,2352.0,18186704.0,18222299.0,https://anaconda.org/conda-forge/transformers,2023-10-19 03:27:36.447,1388105.0,,,,,1.0,143.0,,,,,,,,,,,,,,,,,,,
