,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-10-31 14:04:34.000000,2022-10-04 13:33:13,1304.0,5.0,462,96.0,190.0,46.0,81.0,3117,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-10-27 18:00:24.000000,2022-10-27 18:00:23,174.0,25.0,130,49.0,110.0,,2.0,1712,Collection of web-scraping and crawling libraries.,9.0,0,True,2022-10-27 18:00:29.000,2022.10.27,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-27 14:31:39.000000,2022-10-27 14:31:39,192.0,24.0,176,79.0,112.0,2.0,4.0,2550,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-10-27 14:31:45.000,2022.10.27,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-27 14:31:39.000000,2022-10-27 14:31:39,192.0,24.0,176,79.0,112.0,2.0,4.0,2550,Collection of database clients for python.,9.0,0,True,2022-10-27 14:31:45.000,2022.10.27,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-27 14:31:39.000000,2022-10-27 14:31:39,192.0,24.0,176,79.0,112.0,2.0,4.0,2550,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-10-27 14:31:45.000,2022.10.27,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-27 14:31:39.000000,2022-10-27 14:31:39,192.0,24.0,176,79.0,112.0,2.0,4.0,2550,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-10-27 14:31:45.000,2022.10.27,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-11-03 13:59:50.000000,2022-11-03 13:59:33,138057.0,4846.0,87432,7801.0,22102.0,2389.0,33828.0,170923,An Open Source Machine Learning Framework for Everyone.,4163.0,55,True,2022-09-06 19:44:26.000,2.10.0,166.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],237106.0,222819.0,https://pypi.org/project/tensorflow,2022-09-06 19:10:36.717,14287.0,15578982.0,16448562.0,https://anaconda.org/conda-forge/tensorflow,2022-09-25 19:15:48.038,3738639.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-11-03 13:42:22.891266,2068.0,69119250.0,1.0,20.0,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-11-03 14:19:05.000000,2022-11-03 14:16:13,29176.0,373.0,23578,2172.0,14424.0,2136.0,8184.0,51956,scikit-learn: machine learning in Python.,2773.0,52,True,2022-10-26 14:44:14.000,1.1.3,65.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],433706.0,408040.0,https://pypi.org/project/scikit-learn,2022-08-05 14:46:05.647,25666.0,36869853.0,37083444.0,https://anaconda.org/conda-forge/scikit-learn,2022-10-27 17:28:40.831,16659342.0,,,,,1.0,,828.0,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-11-03 14:22:09.000000,2022-11-03 13:41:54,53423.0,2964.0,16733,1605.0,59027.0,10492.0,19622.0,60037,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3649.0,50,True,2022-10-28 16:54:00.000,1.13.0,42.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],7631.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7631.0,8533105.0,9996036.0,https://anaconda.org/pytorch/pytorch,2022-10-26 20:56:37.700,20479614.0,,,,,1.0,1.0,7592.0,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-11-03 10:34:17.000000,2022-11-03 02:49:12,44827.0,933.0,6549,584.0,15322.0,1891.0,7456.0,16358,matplotlib: plotting with Python.,1427.0,50,True,2022-11-03 01:53:13.000,3.6.2,96.0,matplotlib,conda-forge/matplotlib,,,,704333.0,649273.0,https://pypi.org/project/matplotlib,2022-10-08 09:47:16.868,55060.0,30615730.0,30781738.0,https://anaconda.org/conda-forge/matplotlib,2022-10-28 23:17:12.041,14276724.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
