,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-06-06 14:48:21.000000,2022-04-26 03:13:26,1295,26.0,461,97.0,182.0,46.0,79.0,2933,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-06-09 16:50:59.000000,2022-06-09 16:50:59,132,16.0,117,47.0,88.0,4.0,2.0,1560,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-06-09 16:51:05.000,2022.06.09,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-16 14:44:29.000000,2022-06-16 14:44:27,146,26.0,161,73.0,88.0,,4.0,2219,Collection of data-loading and -extraction libraries.,7.0,0,True,2022-06-16 14:44:34.000,2022.06.16,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-16 14:44:29.000000,2022-06-16 14:44:27,146,26.0,161,73.0,88.0,,4.0,2219,Collection of database clients for python.,7.0,0,True,2022-06-16 14:44:34.000,2022.06.16,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-16 14:44:29.000000,2022-06-16 14:44:27,146,26.0,161,73.0,88.0,,4.0,2219,"Collection of data-container, dataframe, and pandas-utility libraries.",7.0,0,True,2022-06-16 14:44:34.000,2022.06.16,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-06-16 13:39:23.724257,2022-06-16 09:13:22,130835,4094.0,86856,7843.0,21181.0,2345.0,32781.0,167771,An Open Source Machine Learning Framework for Everyone.,4019.0,55,True,2022-05-23 17:23:34.000,2.9.1,156.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],216298.0,202115.0,https://pypi.org/project/tensorflow,2022-05-23 17:23:34.000,14183.0,18953622.0,19833547.0,https://anaconda.org/conda-forge/tensorflow,2022-05-24 01:30:37.196,3377044.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-06-16 13:39:23.724257,2027.0,65956981.0,1.0,20.0,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-06-16 14:02:26.000000,2022-06-16 13:55:52,28523,427.0,23005,2181.0,13647.0,2226.0,7872.0,50437,scikit-learn: machine learning in Python.,2625.0,51,True,2022-05-19 13:35:21.000,1.1.1,63.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],386032.0,360684.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25348.0,34482288.0,34663620.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-19 17:53:26.305,13236511.0,,,,,1.0,,799.0,,,,,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-06-16 14:10:12.000000,2022-06-16 12:17:47,10019,717.0,15171,816.0,8202.0,506.0,9089.0,65230,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1357.0,49,True,2022-06-10 19:42:31.000,4.19.4,94.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",30514.0,29581.0,https://pypi.org/project/transformers,2022-06-10 19:40:22.000,933.0,7623430.0,7631381.0,https://anaconda.org/conda-forge/transformers,2022-06-11 02:33:17.878,253346.0,,,,,1.0,,1503.0,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-06-16 14:03:59.000000,2022-06-16 07:56:35,47545,2934.0,15588,1599.0,52953.0,9967.0,18079.0,56690,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3322.0,49,True,2022-03-10 16:59:55.000,1.11.0,39.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6959.0,,https://pypi.org/project/torch,2022-03-10 16:38:35.000,6959.0,10220456.0,12139130.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,17267578.0,,,,,1.0,,3820.0,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-06-16 13:24:21.000000,2022-06-16 13:05:48,43427,676.0,6387,582.0,14622.0,1839.0,7139.0,15650,matplotlib: plotting with Python.,1372.0,49,True,2022-05-03 06:44:48.000,3.5.2,91.0,matplotlib,conda-forge/matplotlib,,,,627770.0,573242.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,54528.0,29417278.0,29570001.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,12370599.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
