,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-04-06 05:06:22.000000,2023-04-03 02:56:01,1354.0,29.0,508,99.0,221.0,35.0,103.0,3324,Benchmarks of approximate nearest neighbor libraries in Python.,80.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-03-30 17:11:53.000000,2023-03-30 17:11:52,217.0,26.0,141,52.0,133.0,1.0,2.0,1854,Collection of web-scraping and crawling libraries.,10.0,0,True,2023-03-30 17:11:58.000,2023.03.30,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-06 14:00:08.000000,2023-04-06 14:00:08,234.0,26.0,209,83.0,135.0,4.0,4.0,2917,Collection of data-loading and -extraction libraries.,9.0,0,True,2023-03-30 17:13:22.000,2023.03.30,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-06 14:00:08.000000,2023-04-06 14:00:08,234.0,26.0,209,83.0,135.0,4.0,4.0,2917,Collection of database clients for python.,9.0,0,True,2023-03-30 17:13:22.000,2023.03.30,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-06 14:00:08.000000,2023-04-06 14:00:08,234.0,26.0,209,83.0,135.0,4.0,4.0,2917,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2023-03-30 17:13:22.000,2023.03.30,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-06 14:00:08.000000,2023-04-06 14:00:08,234.0,26.0,209,83.0,135.0,4.0,4.0,2917,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2023-03-30 17:13:22.000,2023.03.30,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-04-06 13:56:25.000000,2023-04-06 13:56:20,146099.0,4837.0,88059,7734.0,22833.0,2229.0,35003.0,175147,An Open Source Machine Learning Framework for Everyone.,4318.0,55,True,2023-03-23 15:50:02.000,2.12.0,175.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],278703.0,263832.0,https://pypi.org/project/tensorflow,2023-03-22 23:10:35.879,14871.0,17095253.0,19258865.0,https://anaconda.org/conda-forge/tensorflow,2023-03-27 12:39:49.535,4057187.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-04-06 12:48:08.024288,2128.0,72198373.0,1.0,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-04-06 12:23:22.000000,2023-04-06 08:28:11,29849.0,414.0,24136,2156.0,15274.0,2140.0,8485.0,53681,scikit-learn: machine learning in Python.,2899.0,52,True,2023-03-09 10:08:59.000,1.2.2,69.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],521382.0,493444.0,https://pypi.org/project/scikit-learn,2023-01-24 16:44:32.680,27938.0,38754089.0,39001291.0,https://anaconda.org/conda-forge/scikit-learn,2023-03-24 18:32:25.095,20516968.0,,,,,1.0,856.0,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-04-06 14:14:28.000000,2023-04-06 14:14:16,58536.0,3155.0,17852,1636.0,65643.0,11491.0,21941.0,64903,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3967.0,50,True,2023-03-15 19:38:58.000,2.0.0,44.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],9249.0,,https://pypi.org/project/torch,2022-12-15 20:09:57.027,9249.0,9919625.0,10706518.0,https://anaconda.org/pytorch/pytorch,2023-03-14 19:20:31.620,14947894.0,,,,,1.0,12829.0,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-04-06 08:57:21.000000,2023-04-06 01:08:26,46901.0,1032.0,6799,592.0,16215.0,1801.0,7934.0,17164,matplotlib: plotting with Python.,1491.0,50,True,2023-03-04 07:29:28.961,3.7.1,101.0,matplotlib,conda-forge/matplotlib,,,,847239.0,788006.0,https://pypi.org/project/matplotlib,2023-01-25 21:23:43.941,59233.0,35418589.0,35609596.0,https://anaconda.org/conda-forge/matplotlib,2023-03-06 21:33:49.039,17381661.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
