,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-04-02 11:24:30.000000,2024-04-02 11:24:30,1545.0,10.0,672.0,115.0,317.0,58.0,136.0,4517.0,Benchmarks of approximate nearest neighbor libraries in Python.,101.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-03-29 10:49:05.000000,2024-03-29 10:49:05,323.0,26.0,158.0,55.0,191.0,,3.0,2147.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-03-29 10:49:14.000,2024.03.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-04 13:29:19.000000,2024-03-29 11:34:23,339.0,24.0,224.0,87.0,190.0,4.0,5.0,3382.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-03-29 11:34:37.000,2024.03.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-04 13:29:19.000000,2024-03-29 11:34:23,339.0,24.0,224.0,87.0,190.0,4.0,5.0,3382.0,Collection of database clients for python.,12.0,0,True,2024-03-29 11:34:37.000,2024.03.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-04 13:29:19.000000,2024-03-29 11:34:23,339.0,24.0,224.0,87.0,190.0,4.0,5.0,3382.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-03-29 11:34:37.000,2024.03.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-04 14:54:32.000000,2024-04-04 14:54:32,341.0,26.0,224.0,87.0,190.0,4.0,5.0,3382.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-04-04 14:54:40.000,2024.04.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-04-04 14:09:22.000000,2024-04-04 13:58:05,162446.0,4391.0,73799.0,7643.0,25462.0,2416.0,37085.0,184318.0,An Open Source Machine Learning Framework for Everyone.,4583.0,57,True,2024-03-09 00:23:14.000,2.16.1,193.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],371740.0,356088.0,https://pypi.org/project/tensorflow,2024-03-09 00:23:14.000,15652.0,23187316.0,24247840.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4525329.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-04-04 12:54:23.947945,2356.0,76642531.0,1.0,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-04-04 14:14:52.000000,2024-04-04 14:00:19,71344.0,3322.0,20838.0,1693.0,82101.0,13757.0,28131.0,77206.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4755.0,55,True,2024-03-27 22:27:02.000,2.2.2,51.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],432431.0,419399.0,https://pypi.org/project/torch,2024-03-27 21:06:18.000,13032.0,24913051.0,25581546.0,https://anaconda.org/pytorch/pytorch,2024-03-26 22:24:03.907,20710619.0,,,,,1.0,37476.0,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-04-04 14:00:28.000000,2024-04-04 13:55:53,31159.0,390.0,24237.0,2142.0,17034.0,1635.0,9146.0,57881.0,scikit-learn: machine learning in Python.,3098.0,51,True,2024-02-15 16:07:32.000,1.4.1.post1,47.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],739018.0,739018.0,https://pypi.org/project/scikit-learn,,,63732441.0,64309246.0,https://anaconda.org/conda-forge/scikit-learn,2024-02-16 10:16:19.766,27109428.0,,,,,1.0,944.0,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-04-04 14:07:37.000000,2024-04-04 10:46:20,15512.0,676.0,23587.0,1088.0,15234.0,794.0,13655.0,123635.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2512.0,50,True,2024-04-02 09:36:10.000,4.39.3,107.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",153869.0,153869.0,https://pypi.org/project/transformers,,,23764601.0,23799403.0,https://anaconda.org/conda-forge/transformers,2024-04-02 14:17:57.574,1566122.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
