,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-01-31 03:41:07.000000,2024-01-10 20:21:25,1536.0,1.0,661.0,113.0,309.0,54.0,132.0,4373.0,Benchmarks of approximate nearest neighbor libraries in Python.,99.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-02-08 17:09:28.000000,2024-02-08 17:09:27,308.0,24.0,160.0,54.0,181.0,,3.0,2125.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-02-08 17:09:33.000,2024.02.08,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-15 14:03:54.000000,2024-02-15 14:03:53,327.0,26.0,222.0,87.0,183.0,4.0,5.0,3311.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-02-15 14:04:03.000,2024.02.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-15 14:03:54.000000,2024-02-15 14:03:53,327.0,26.0,222.0,87.0,183.0,4.0,5.0,3310.0,Collection of database clients for python.,12.0,0,True,2024-02-15 14:04:03.000,2024.02.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-15 14:03:54.000000,2024-02-15 14:03:53,327.0,26.0,222.0,87.0,183.0,4.0,5.0,3310.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-02-15 14:04:03.000,2024.02.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-15 14:03:54.000000,2024-02-15 14:03:53,327.0,26.0,222.0,87.0,183.0,4.0,5.0,3310.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-02-15 14:04:03.000,2024.02.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-02-15 13:49:43.742553,2024-02-15 13:21:01,159901.0,3464.0,72103.0,7658.0,23666.0,1882.0,36809.0,182962.0,An Open Source Machine Learning Framework for Everyone.,4544.0,54,True,2023-11-14 18:46:08.000,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],342658.0,342658.0,https://pypi.org/project/tensorflow,18592167.0,19705532.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4483698.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-02-15 13:49:43.742553,2277.0,76078203.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-02-15 14:12:28.000000,2024-02-15 11:03:39,69570.0,3070.0,19970.0,1692.0,79849.0,12563.0,27267.0,75389.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4654.0,54,True,2024-01-30 17:58:51.000,2.2.0,49.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],390634.0,390634.0,https://pypi.org/project/torch,18237523.0,18934817.0,https://anaconda.org/pytorch/pytorch,2024-01-29 16:05:11.351,20210485.0,,,,,1.0,33939.0,,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-02-15 14:04:03.000000,2024-02-15 14:04:02,30974.0,330.0,24126.0,2146.0,16804.0,1639.0,9048.0,57387.0,scikit-learn: machine learning in Python.,3074.0,52,True,2024-02-14 10:12:43.000,1.4.1,46.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],700615.0,700615.0,https://pypi.org/project/scikit-learn,50688800.0,51270361.0,https://anaconda.org/conda-forge/scikit-learn,2024-01-19 10:17:08.879,26169795.0,,,,,1.0,940.0,,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-02-15 14:16:43.000000,2024-02-15 14:02:58,15123.0,593.0,22890.0,1079.0,14678.0,740.0,13264.0,120155.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2409.0,50,True,2024-01-29 16:11:49.000,4.37.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",138022.0,138022.0,https://pypi.org/project/transformers,21805729.0,21840856.0,https://anaconda.org/conda-forge/transformers,2024-02-08 05:37:41.609,1510461.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
