,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,bitbucket_id
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-07-13 15:32:05.000000,2021-07-13 15:32:05.000000,382,35.0,65.0,2374.0,1224.0,Benchmarks of approximate nearest neighbor libraries in Python.,59.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-07-29 15:28:19.000000,2021-07-16 21:43:54.000000,86,1.0,2.0,1290.0,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-07-16 21:44:03.000000,2021.07.15,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,True,data-loading,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-07-29 15:05:19.000000,2021-07-16 21:43:31.000000,134,1.0,4.0,1707.0,,Collection of data-loading and -extraction libraries.,5.0,0,True,2021-07-16 21:43:43.000000,2021.07.15,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-07-29 15:05:19.000000,2021-07-16 21:43:31.000000,134,1.0,4.0,1707.0,,Collection of database clients for python.,5.0,0,True,2021-07-16 21:43:43.000000,2021.07.15,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-07-29 14:00:28.000000,2021-07-29 13:57:50.000000,85110,3599.0,28991.0,159715.0,115048.0,An Open Source Machine Learning Framework for Everyone.,3745.0,44,True,2021-06-15 21:29:30.000000,2.4.2,127.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],173050.0,150526.0,https://pypi.org/project/tensorflow,2021-07-13 17:43:31.000000,22524.0,10503569.0,11379384.0,https://anaconda.org/conda-forge/tensorflow,2021-04-30 05:11:44.185000,2690254.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-07-29 13:33:15.598809,1930.0,56697041.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-07-29 13:21:18.000000,2021-07-29 12:10:47.000000,12755,3629.0,17517.0,30508.0,27389.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2736.0,43,True,2021-07-25 12:22:25.000000,1.3.1,95.0,pandas,conda-forge/pandas,,,['pandas'],574402.0,497618.0,https://pypi.org/project/pandas,2021-07-25 12:22:25.000000,76784.0,60964414.0,61256528.0,https://anaconda.org/conda-forge/pandas,2021-07-27 09:39:18.218000,18032007.0,,,,,1.0,114845.0,,,,,,,,,,,,,,,,,,,,
6,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-07-29 14:04:41.000000,2021-07-29 14:04:40.000000,5828,1665.0,6410.0,13959.0,39819.0,matplotlib: plotting with Python.,1259.0,42,True,2021-05-08 05:47:47.000000,3.4.2,68.0,matplotlib,conda-forge/matplotlib,,,,486118.0,407014.0,https://pypi.org/project/matplotlib,2021-05-08 05:47:47.000000,79104.0,27339726.0,27474110.0,https://anaconda.org/conda-forge/matplotlib,2021-05-10 22:47:57.893000,9406925.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
7,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-07-29 14:24:04.000000,2021-07-29 13:41:17.000000,3799,1751.0,6032.0,8425.0,26103.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1148.0,42,True,2021-06-20 17:06:43.000000,1.7.0,66.0,scipy,conda-forge/scipy,,,,463577.0,376715.0,https://pypi.org/project/scipy,2021-06-20 16:11:56.000000,86862.0,31764592.0,32032737.0,https://anaconda.org/conda-forge/scipy,2021-07-19 10:01:36.025000,16347389.0,,,,,1.0,322466.0,,,,,,,,,,,,,,,,,,,,
8,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-07-29 09:53:55.000000,2021-07-29 09:53:52.000000,4037,517.0,4033.0,17666.0,11660.0,Asynchronous task queue/job queue based on distributed message passing.,1128.0,40,True,2021-07-12 14:26:26.000000,5.1.2,178.0,celery,conda-forge/celery,,,,84262.0,56028.0,https://pypi.org/project/celery,2021-06-28 13:14:23.000000,28234.0,4598670.0,4607477.0,https://anaconda.org/conda-forge/celery,2021-06-29 08:06:51.307000,563710.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
9,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-07-29 06:56:12.000000,2021-07-29 06:55:50.000000,1691,196.0,2086.0,8775.0,11985.0,The friendly PIL fork (Python Imaging Library).,368.0,40,True,2021-07-07 00:05:31.000000,8.3.1,82.0,Pillow,conda-forge/pillow,,,,630795.0,519369.0,https://pypi.org/project/Pillow,2021-07-06 23:56:58.000000,111426.0,33434554.0,33585328.0,https://anaconda.org/conda-forge/pillow,2021-07-07 17:38:10.169000,9498776.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
