,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-03-15 22:48:02.000000,2023-03-11 16:33:42,1344.0,19.0,484,98.0,214.0,46.0,103.0,3273,Benchmarks of approximate nearest neighbor libraries in Python.,79.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-03-09 22:01:57.000000,2023-03-09 22:01:55,211.0,24.0,141,52.0,130.0,1.0,2.0,1833,Collection of web-scraping and crawling libraries.,10.0,0,True,2023-03-09 22:02:03.000,2023.03.09,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-16 13:46:21.000000,2023-03-09 22:00:58,226.0,22.0,204,82.0,130.0,2.0,4.0,2873,Collection of data-loading and -extraction libraries.,9.0,0,True,2023-03-09 22:01:05.000,2023.03.09,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-16 13:46:21.000000,2023-03-09 22:00:58,226.0,22.0,204,82.0,130.0,2.0,4.0,2873,Collection of database clients for python.,9.0,0,True,2023-03-09 22:01:05.000,2023.03.09,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-16 13:46:21.000000,2023-03-09 22:00:58,226.0,22.0,204,82.0,130.0,2.0,4.0,2873,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2023-03-09 22:01:05.000,2023.03.09,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-16 13:46:21.000000,2023-03-09 22:00:58,226.0,22.0,204,82.0,130.0,2.0,4.0,2873,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2023-03-09 22:01:05.000,2023.03.09,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-03-16 12:57:20.000000,2023-03-16 12:57:13,144967.0,4454.0,87953,7745.0,22746.0,2305.0,34775.0,174239,An Open Source Machine Learning Framework for Everyone.,4300.0,55,True,2022-11-18 06:01:33.000,2.11.0,173.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],274416.0,259618.0,https://pypi.org/project/tensorflow,2022-11-18 05:40:24.645,14798.0,17009650.0,19835765.0,https://anaconda.org/conda-forge/tensorflow,2023-01-08 21:26:45.867,4020169.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-03-16 12:47:37.771291,2118.0,71810787.0,1.0,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-03-16 14:02:46.000000,2023-03-16 14:02:46,29724.0,348.0,24061,2157.0,15112.0,2123.0,8448.0,53352,scikit-learn: machine learning in Python.,2878.0,52,True,2023-03-09 10:08:59.000,1.2.2,69.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],510009.0,482293.0,https://pypi.org/project/scikit-learn,2023-01-24 16:44:32.680,27716.0,37781420.0,38022267.0,https://anaconda.org/conda-forge/scikit-learn,2023-03-09 11:58:40.701,19748642.0,,,,,1.0,851.0,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-03-16 14:13:41.000000,2023-03-16 07:38:53,57741.0,2788.0,17696,1627.0,64595.0,11298.0,21591.0,63819,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3905.0,50,True,2023-03-15 19:38:58.000,2.0.0,44.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],9108.0,,https://pypi.org/project/torch,2022-12-15 20:09:57.027,9108.0,8980811.0,9781243.0,https://anaconda.org/pytorch/pytorch,2023-03-14 19:20:31.620,14404959.0,,,,,1.0,12253.0,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-03-16 13:23:54.000000,2023-03-16 07:45:13,46706.0,1104.0,6763,593.0,16113.0,1870.0,7814.0,17016,matplotlib: plotting with Python.,1480.0,50,True,2023-03-04 07:29:28.961,3.7.1,101.0,matplotlib,conda-forge/matplotlib,,,,830254.0,771354.0,https://pypi.org/project/matplotlib,2023-01-25 21:23:43.941,58900.0,33928559.0,34113121.0,https://anaconda.org/conda-forge/matplotlib,2023-03-06 21:33:49.039,16610664.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
