,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-12-05 19:23:18.000000,2022-12-05 19:23:18,1325,22.0,469,96.0,192.0,46.0,102.0,3173,Benchmarks of approximate nearest neighbor libraries in Python.,75.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-12-22 16:35:52.000000,2022-12-17 03:23:36,188,22.0,129,52.0,117.0,,2.0,1761,Collection of web-scraping and crawling libraries.,9.0,0,True,2022-12-17 03:23:42.000,2022.12.15,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-12-29 13:44:39.000000,2022-12-16 16:06:15,204,20.0,192,82.0,119.0,2.0,4.0,2714,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-12-16 16:06:24.000,2022.12.15,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-12-29 13:44:39.000000,2022-12-16 16:06:15,204,20.0,192,82.0,119.0,2.0,4.0,2714,Collection of database clients for python.,9.0,0,True,2022-12-16 16:06:24.000,2022.12.15,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-12-29 13:44:39.000000,2022-12-16 16:06:15,204,20.0,192,82.0,119.0,2.0,4.0,2714,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-12-16 16:06:24.000,2022.12.15,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-12-29 13:44:39.000000,2022-12-16 16:06:15,204,20.0,192,82.0,119.0,2.0,4.0,2714,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-12-16 16:06:24.000,2022.12.15,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-12-29 13:49:03.745401,2022-12-29 13:35:26,140803,4588.0,87578,7792.0,22353.0,2346.0,34260.0,172083,An Open Source Machine Learning Framework for Everyone.,4213.0,55,True,2022-11-18 06:01:33.000,2.11.0,171.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],248819.0,234536.0,https://pypi.org/project/tensorflow,2022-11-18 05:40:24.645,14283.0,15552227.0,16428234.0,https://anaconda.org/conda-forge/tensorflow,2022-09-25 19:15:48.038,3885623.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-12-29 13:49:03.745401,2088.0,70383169.0,1.0,20.0,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-12-29 13:13:16.000000,2022-12-28 18:52:46,29404,344.0,23794,2167.0,14700.0,2148.0,8289.0,52442,scikit-learn: machine learning in Python.,2819.0,52,True,2022-12-08 14:17:42.000,1.2.0,67.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],459354.0,433691.0,https://pypi.org/project/scikit-learn,2022-08-05 14:46:05.647,25663.0,33760138.0,33985132.0,https://anaconda.org/conda-forge/scikit-learn,2022-12-08 22:18:09.965,17773811.0,,,,,1.0,,834.0,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-12-29 14:24:30.000000,2022-12-29 07:36:27,11665,876.0,17095,870.0,10241.0,568.0,10174.0,77011,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1665.0,50,True,2022-12-02 16:03:31.000,4.25.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",45257.0,44283.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,974.0,8145411.0,8163433.0,https://anaconda.org/conda-forge/transformers,2022-11-03 07:57:01.121,684370.0,,,,,1.0,,625.0,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-12-29 13:38:54.000000,2022-12-29 13:21:30,55228,3031.0,17065,1627.0,61294.0,10702.0,20325.0,61275,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3765.0,50,True,2022-12-16 00:17:16.000,1.13.1,43.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],7625.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7625.0,8557068.0,10003484.0,https://anaconda.org/pytorch/pytorch,2022-12-15 16:18:09.640,21694455.0,,,,,1.0,,8997.0,,,,,,,,,,,,,,,,,,
