,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,bitbucket_id
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-07-13 15:32:05.000000,2021-07-13 15:32:05.000000,382,35.0,65.0,2345.0,1224.0,Benchmarks of approximate nearest neighbor libraries in Python.,59.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-07-15 14:18:12.000000,2021-07-11 17:24:15.000000,84,,2.0,1283.0,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-07-11 17:24:21.000000,2021.07.08,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,True,data-loading,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-07-15 15:07:41.000000,2021-07-11 17:24:40.000000,134,1.0,4.0,1690.0,,Collection of data-loading and -extraction libraries.,5.0,0,True,2021-07-11 17:24:46.000000,2021.07.08,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-07-15 15:07:41.000000,2021-07-11 17:24:40.000000,134,1.0,4.0,1690.0,,Collection of database clients for python.,5.0,0,True,2021-07-11 17:24:46.000000,2021.07.08,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-07-15 13:55:09.000000,2021-07-15 13:54:23.000000,85110,3599.0,28816.0,159323.0,114229.0,An Open Source Machine Learning Framework for Everyone.,3737.0,44,True,2021-06-15 21:29:30.000000,2.4.2,127.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],170772.0,148248.0,https://pypi.org/project/tensorflow,2021-07-13 17:43:31.000000,22524.0,10431494.0,11293038.0,https://anaconda.org/conda-forge/tensorflow,2021-04-30 05:11:44.185000,2664876.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-07-15 13:35:13.458091,1927.0,55753622.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-07-15 12:25:41.000000,2021-07-15 04:24:14.000000,12677,3625.0,17409.0,30359.0,27302.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2720.0,43,True,2021-07-02 11:59:11.000000,1.3.0,94.0,pandas,conda-forge/pandas,,,['pandas'],564981.0,488197.0,https://pypi.org/project/pandas,2021-07-02 11:59:11.000000,76784.0,55576014.0,55862575.0,https://anaconda.org/conda-forge/pandas,2021-07-02 16:54:16.536000,17689086.0,,,,,1.0,112944.0,,,,,,,,,,,,,,,,,,,,
6,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-07-15 13:47:08.000000,2021-07-14 22:21:30.000000,5828,1665.0,6375.0,13903.0,39613.0,matplotlib: plotting with Python.,1253.0,42,True,2021-05-08 05:47:47.000000,3.4.2,68.0,matplotlib,conda-forge/matplotlib,,,,479557.0,400453.0,https://pypi.org/project/matplotlib,2021-05-08 05:47:47.000000,79104.0,27017776.0,27150782.0,https://anaconda.org/conda-forge/matplotlib,2021-05-10 22:47:57.893000,9310462.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
7,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-07-15 09:52:04.000000,2021-07-15 09:52:04.000000,3759,1676.0,6010.0,8380.0,26050.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1140.0,42,True,2021-06-20 17:06:43.000000,1.7.0,66.0,scipy,conda-forge/scipy,,,,457685.0,370823.0,https://pypi.org/project/scipy,2021-06-20 16:11:56.000000,86862.0,32761309.0,33024103.0,https://anaconda.org/conda-forge/scipy,2021-06-28 11:17:50.807000,16016339.0,,,,,1.0,321621.0,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-07-15 13:51:38.000000,2021-07-15 02:48:00.000000,13115,9073.0,14765.0,49485.0,38499.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2762.0,41,True,2021-06-15 16:06:52.000000,1.9.0,33.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],93001.0,86319.0,https://pypi.org/project/torch,2021-06-15 15:09:35.000000,6682.0,4436080.0,4706806.0,https://anaconda.org/pytorch/pytorch,2021-06-15 16:26:06.511000,11911946.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
9,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-07-14 00:18:23.000000,2021-07-14 00:18:18.000000,4037,517.0,4027.0,17596.0,11648.0,Asynchronous task queue/job queue based on distributed message passing.,1126.0,40,True,2021-07-12 14:26:26.000000,5.1.2,178.0,celery,conda-forge/celery,,,,83656.0,55422.0,https://pypi.org/project/celery,2021-06-28 13:14:23.000000,28234.0,5017834.0,5026340.0,https://anaconda.org/conda-forge/celery,2021-06-29 08:06:51.307000,544420.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
10,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-07-15 09:39:43.000000,2021-07-13 11:25:59.000000,1678,184.0,2069.0,8703.0,11962.0,The friendly PIL fork (Python Imaging Library).,368.0,40,True,2021-07-07 00:05:31.000000,8.3.1,82.0,Pillow,conda-forge/pillow,,,,620821.0,509395.0,https://pypi.org/project/Pillow,2021-07-06 23:56:58.000000,111426.0,33435028.0,33582512.0,https://anaconda.org/conda-forge/pillow,2021-07-07 17:38:10.169000,9291545.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-07-15 13:54:34.000000,2021-07-15 13:35:24.000000,21656,2391.0,6993.0,46424.0,,scikit-learn: machine learning in Python.,2285.0,38,True,2021-04-28 17:20:23.000000,0.24.2,54.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],281178.0,243290.0,https://pypi.org/project/scikit-learn,2021-04-28 11:18:29.000000,37888.0,26592997.0,26732610.0,https://anaconda.org/conda-forge/scikit-learn,2021-07-06 10:14:33.510000,8655345.0,,,,,1.0,714.0,,,,,,,,,,,,,,,,,,,,
12,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-07-15 14:02:27.000000,2021-07-15 13:51:11.000000,24097,235.0,,30340.0,30731.0,Apache Spark Python API.,2496.0,38,True,2021-05-27 17:18:30.000000,3.1.2,26.0,pyspark,conda-forge/pyspark,,,['spark'],1364.0,604.0,https://pypi.org/project/pyspark,2021-05-27 17:18:30.000000,760.0,11768991.0,11791127.0,https://anaconda.org/conda-forge/pyspark,2021-05-29 01:33:32.376000,1151110.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,,
13,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-07-15 09:34:42.000000,2021-07-14 17:23:48.000000,5632,2330.0,7665.0,17645.0,,The fundamental package for scientific computing with Python.,1288.0,38,True,2021-06-22 14:00:04.000000,1.21.0,101.0,numpy,conda-forge/numpy,,,,937924.0,768202.0,https://pypi.org/project/numpy,2021-06-22 13:39:59.000000,169722.0,80347945.0,80695378.0,https://anaconda.org/conda-forge/numpy,2021-06-23 00:23:44.138000,21136484.0,,,,,1.0,365281.0,,,,,,,,,,,,,,,,,,,,
14,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-07-15 13:37:28.000000,2021-07-15 03:16:51.000000,7983,296.0,3823.0,21296.0,5396.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",525.0,37,True,2021-05-13 11:35:17.000000,1.4.2,57.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,20800.0,19208.0,https://pypi.org/project/xgboost,2021-05-13 11:49:10.000000,1592.0,6082238.0,6116308.0,https://anaconda.org/conda-forge/xgboost,2021-04-29 20:56:44.761000,1770167.0,,,,,1.0,2635.0,,,,,,,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-07-15 13:19:33.000000,2021-07-15 08:27:17.000000,3492,96.0,4655.0,20897.0,14694.0,Industrial-strength Natural Language Processing (NLP) in Python.,602.0,37,True,2021-07-07 14:34:37.000000,3.1.0,180.0,spacy,conda-forge/spacy,,,,30452.0,27386.0,https://pypi.org/project/spacy,2021-07-07 14:33:50.000000,3066.0,2668427.0,2709738.0,https://anaconda.org/conda-forge/spacy,2021-07-08 11:31:23.003000,2186699.0,,,,,1.0,3044.0,,,,,,,,,,,,,,,,,,,,
