,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-03-09 19:05:22.000000,2022-03-07 14:19:56,1269,4.0,431,97.0,181.0,39.0,79.0,2817,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-03-24 16:32:26.000000,2022-02-19 17:48:44,116,20.0,102,46.0,77.0,4.0,2.0,1471,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-02-19 17:48:53.000,2022.02.17,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-03-31 13:43:42.000000,2022-02-19 17:49:35,120,20.0,147,70.0,75.0,,4.0,2060,Collection of data-loading and -extraction libraries.,6.0,0,True,2022-02-19 17:49:44.000,2022.02.17,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-03-31 13:43:42.000000,2022-02-19 17:49:35,120,20.0,147,70.0,75.0,,4.0,2060,Collection of database clients for python.,6.0,0,True,2022-02-19 17:49:44.000,2022.02.17,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-03-31 13:54:21.000000,2022-03-31 13:39:43,127220,3843.0,86489,7879.0,20694.0,2644.0,32072.0,165987,An Open Source Machine Learning Framework for Everyone.,3961.0,55,True,2022-02-02 16:54:38.000,2.8.0,145.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],202797.0,188879.0,https://pypi.org/project/tensorflow,2022-02-02 15:33:06.000,13918.0,15416530.0,16315989.0,https://anaconda.org/conda-forge/tensorflow,2022-02-06 08:03:30.812,3159593.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-03-31 13:46:33.415366,2001.0,65023837.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,data-containers,,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000,2022-03-31 14:11:47.000000,2022-03-31 02:17:01,29261,658.0,14123,1101.0,24291.0,3413.0,18941.0,33217,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2956.0,52,True,2022-02-12 11:19:26.000,1.4.1,101.0,pandas,conda-forge/pandas,,,['pandas'],738901.0,680345.0,https://pypi.org/project/pandas,2022-01-22 14:47:00.000,58556.0,81714493.0,82055974.0,https://anaconda.org/conda-forge/pandas,2022-02-12 14:29:47.908,23803413.0,,,,,1.0,140451.0,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-03-31 13:04:20.000000,2022-03-31 13:04:20,28168,469.0,22803,2194.0,13219.0,2415.0,7641.0,49525,scikit-learn: machine learning in Python.,2549.0,51,True,2021-12-25 20:30:08.000,1.0.2,60.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],356999.0,332059.0,https://pypi.org/project/scikit-learn,2021-12-25 20:30:08.000,24940.0,30696170.0,30863908.0,https://anaconda.org/conda-forge/scikit-learn,2021-12-26 01:02:52.879,11740903.0,,,,,1.0,783.0,,,,,,,,,,,,,,,,,,,
7,numpy,numpy/numpy,data-containers,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000,2022-03-31 13:42:10.000000,2022-03-31 13:42:10,29373,633.0,6659,563.0,10814.0,2284.0,8396.0,20008,The fundamental package for scientific computing with Python.,1414.0,50,True,2022-03-07 23:20:19.000,1.22.3,123.0,numpy,conda-forge/numpy,,,,1147456.0,1029263.0,https://pypi.org/project/numpy,2022-03-07 22:39:39.000,118193.0,104707371.0,105148344.0,https://anaconda.org/conda-forge/numpy,2022-03-08 06:11:22.049,30338510.0,,,,,1.0,484257.0,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-03-31 14:03:49.000000,2022-03-31 12:45:47,9437,836.0,14068,797.0,7477.0,469.0,8621.0,60264,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1245.0,49,True,2022-03-03 15:19:06.000,4.17.0,88.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",25843.0,25041.0,https://pypi.org/project/transformers,2022-03-03 15:15:23.000,802.0,5393308.0,5397848.0,https://anaconda.org/conda-forge/transformers,2022-01-31 21:40:31.059,130624.0,,,,,1.0,1469.0,,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-03-31 13:59:24.000000,2022-03-31 12:54:14,44934,2236.0,15196,1604.0,49695.0,11517.0,17322.0,54986,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3173.0,49,True,2022-03-10 16:59:55.000,1.11.0,39.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6959.0,,https://pypi.org/project/torch,2022-03-10 16:38:35.000,6959.0,7791288.0,10432529.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,15847194.0,,,,,1.0,2826.0,,,,,,,,,,,,,,,,,,,
