,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-08-15 12:39:01.000000,2022-08-15 12:39:01,1301.0,6.0,461,94.0,187.0,46.0,79.0,3023,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-08-18 20:42:52.000000,2022-08-18 20:42:51,153.0,23.0,124,47.0,98.0,,2.0,1639,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-08-18 20:42:57.000,2022.08.18,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-08-25 14:00:35.000000,2022-08-18 15:48:34,172.0,32.0,172,76.0,102.0,1.0,4.0,2398,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-08-18 15:48:40.000,2022.08.18,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-08-25 14:00:35.000000,2022-08-18 15:48:34,172.0,32.0,172,76.0,102.0,1.0,4.0,2398,Collection of database clients for python.,9.0,0,True,2022-08-18 15:48:40.000,2022.08.18,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-08-25 14:00:35.000000,2022-08-18 15:48:34,172.0,32.0,172,76.0,102.0,1.0,4.0,2398,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-08-18 15:48:40.000,2022.08.18,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-08-25 15:32:05.000000,2022-08-25 15:32:05,174.0,34.0,172,76.0,102.0,1.0,4.0,2398,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-08-25 15:32:11.000,2022.08.25,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-08-25 14:18:04.000000,2022-08-25 08:54:52,28846.0,393.0,23319,2179.0,14067.0,2144.0,8048.0,51165,scikit-learn: machine learning in Python.,2709.0,51,True,2022-08-05 22:48:17.000,1.1.2,64.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],810.0,31476576.0,410906.0,385240.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25666.0,31279296.0,https://anaconda.org/conda-forge/scikit-learn,2022-08-05 23:30:56.710,14795259.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-08-25 14:19:59.000000,2022-08-25 13:59:47,51098.0,4261.0,16171,1605.0,55973.0,9872.0,18803.0,58224,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3469.0,50,True,2022-08-05 19:35:19.000,1.12.1,41.0,torch,pytorch/pytorch,['pytorch'],5594.0,10107860.0,7631.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7631.0,8416704.0,https://anaconda.org/pytorch/pytorch,2022-08-04 21:19:08.482,18601859.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-08-25 14:26:31.000000,2022-08-25 06:34:42,10496.0,619.0,15251,849.0,8818.0,512.0,9471.0,69004,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1447.0,49,True,2022-08-24 15:28:51.000,4.21.2,99.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",1525.0,6077508.0,34786.0,33811.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,975.0,6066588.0,https://anaconda.org/conda-forge/transformers,2022-08-25 04:07:25.381,370164.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-08-25 13:29:34.000000,2022-08-25 00:20:13,44123.0,768.0,6460,584.0,14906.0,1846.0,7286.0,16011,matplotlib: plotting with Python.,1399.0,49,True,2022-08-11 05:28:56.452,3.5.3,93.0,matplotlib,conda-forge/matplotlib,,,27547412.0,665440.0,610380.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,55060.0,27387784.0,https://anaconda.org/conda-forge/matplotlib,2022-08-17 02:10:29.217,13249150.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
