,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-09-02 10:11:45.000000,2022-09-02 10:11:45,1303.0,8.0,461,95.0,188.0,46.0,81.0,3042,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-09-01 16:35:57.000000,2022-09-01 16:35:56,157.0,25.0,125,47.0,101.0,,2.0,1654,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-09-01 16:36:02.000,2022.09.01,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-08 14:07:19.000000,2022-09-08 14:07:19,178.0,34.0,173,77.0,105.0,2.0,4.0,2449,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-09-08 14:07:24.000,2022.09.08,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-08 14:07:19.000000,2022-09-08 14:07:19,178.0,34.0,173,77.0,105.0,2.0,4.0,2449,Collection of database clients for python.,9.0,0,True,2022-09-08 14:07:24.000,2022.09.08,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-08 14:07:19.000000,2022-09-08 14:07:19,178.0,34.0,173,77.0,105.0,2.0,4.0,2449,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-09-08 14:07:24.000,2022.09.08,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-08 14:07:19.000000,2022-09-08 14:07:19,178.0,34.0,173,77.0,105.0,2.0,4.0,2449,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-09-08 14:07:24.000,2022.09.08,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-09-08 14:11:49.000000,2022-09-08 13:51:42,28954.0,451.0,23319,2178.0,14169.0,2144.0,8070.0,51311,scikit-learn: machine learning in Python.,2737.0,51,True,2022-08-05 22:48:17.000,1.1.2,64.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],812.0,32353560.0,415412.0,389746.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25666.0,32154388.0,https://anaconda.org/conda-forge/scikit-learn,2022-08-05 23:30:56.710,15136374.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-09-08 14:19:41.000000,2022-09-08 13:48:16,51463.0,4115.0,16171,1606.0,56410.0,9872.0,18886.0,58559,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3491.0,50,True,2022-08-05 19:35:19.000,1.12.1,41.0,torch,pytorch/pytorch,['pytorch'],6260.0,10117818.0,7631.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7631.0,8531369.0,https://anaconda.org/pytorch/pytorch,2022-08-04 21:19:08.482,19036358.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-09-08 14:22:24.000000,2022-09-08 12:50:30,10598.0,609.0,15356,852.0,8929.0,512.0,9552.0,69795,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1470.0,49,True,2022-09-05 10:17:00.000,4.21.3,100.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",1529.0,6838189.0,35609.0,34634.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,975.0,6826725.0,https://anaconda.org/conda-forge/transformers,2022-09-05 15:44:49.627,400085.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-09-08 10:00:02.000000,2022-09-07 22:09:10,44191.0,752.0,6468,581.0,14959.0,1833.0,7314.0,16082,matplotlib: plotting with Python.,1406.0,49,True,2022-08-11 05:28:56.452,3.5.3,94.0,matplotlib,conda-forge/matplotlib,,,28607069.0,672629.0,617569.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,55060.0,28447137.0,https://anaconda.org/conda-forge/matplotlib,2022-08-25 15:45:20.398,13434302.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-09-08 11:37:04.000000,2022-09-08 10:35:04,28650.0,564.0,4391,336.0,8526.0,1709.0,7051.0,10151,"Ecosystem of open-source software for mathematics, science, and engineering.",1350.0,49,True,2022-08-27 02:03:18.000,1.9.1,83.0,scipy,conda-forge/scipy,,355610.0,44283215.0,619655.0,561428.0,https://pypi.org/project/scipy,2022-07-05 00:14:32.000,58227.0,43924500.0,https://anaconda.org/conda-forge/scipy,2022-08-30 14:11:29.079,26948099.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-09-07 22:38:11.000000,2022-09-07 09:57:05,13656.0,284.0,1886,212.0,3884.0,121.0,2497.0,10126,The friendly PIL fork (Python Imaging Library).,408.0,47,True,2022-07-01 18:32:05.000,9.2.0,89.0,Pillow,conda-forge/pillow,,,46484267.0,898470.0,835315.0,https://pypi.org/project/Pillow,2022-07-01 18:28:52.000,63155.0,46246264.0,https://anaconda.org/conda-forge/pillow,2022-08-13 11:08:07.290,18326250.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-09-07 23:43:34.000000,2022-09-07 23:43:29,7312.0,248.0,19175,1942.0,5510.0,334.0,11202.0,56097,Deep Learning for humans.,1101.0,45,True,2022-09-02 21:31:44.000,2.10.0,68.0,keras,conda-forge/keras,['tensorflow'],,8615237.0,330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,8580675.0,https://anaconda.org/conda-forge/keras,2022-09-04 01:30:22.305,2523054.0,1.0,https://keras.io,,,,,,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-09-08 14:05:49.000000,2022-09-08 14:05:48,51983.0,853.0,3727,281.0,11791.0,4511.0,8095.0,9585,A computer algebra system written in pure Python.,1169.0,45,True,2022-08-30 17:34:08.040,1.11.1,48.0,sympy,conda-forge/sympy,,462591.0,2635032.0,50011.0,45801.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4210.0,2599769.0,https://anaconda.org/conda-forge/sympy,2022-08-23 23:56:28.223,2360480.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-09-08 13:38:56.000000,2022-09-08 11:42:47,15593.0,124.0,3904,551.0,3311.0,99.0,5141.0,24142,Industrial-strength Natural Language Processing (NLP) in Python.,700.0,44,True,2022-07-26 13:08:23.000,3.4.1,196.0,spacy,conda-forge/spacy,,3146.0,4674518.0,45349.0,42974.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2375.0,4633235.0,https://anaconda.org/conda-forge/spacy,2022-07-27 17:54:46.471,2763040.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-09-08 12:09:16.000000,2022-09-08 00:29:25,5920.0,100.0,8452,928.0,3705.0,311.0,4249.0,23161,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",576.0,44,True,2022-08-23 13:05:54.000,1.6.2,65.0,xgboost,conda-forge/xgboost,,5079.0,8355347.0,37076.0,35706.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1370.0,8309871.0,https://anaconda.org/conda-forge/xgboost,2022-09-01 17:07:10.599,2998219.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-09-08 14:53:12.000000,2022-09-08 13:49:00,14169.0,1235.0,3851,423.0,16895.0,2738.0,8706.0,21906,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,753.0,44,True,2022-08-23 04:57:08.000,ray-2.0.0,76.0,ray,conda-forge/ray-tune,,,1847543.0,6072.0,5793.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,279.0,1844816.0,https://anaconda.org/conda-forge/ray-tune,2022-09-08 14:52:41.960,57274.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
