,name,github_id,pypi_id,conda_id,docs_url,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_dependent_project_count,show,projectrank_placing,github_release_downloads,helm_id,brew_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,apt_id,yum_id,snap_id,cargo_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id
0,Tensorflow,tensorflow/tensorflow,tensorflow,tensorflow,https://www.tensorflow.org/overview,ml-frameworks,['tensorflow'],https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20+00:00,2020-11-30 16:46:28+00:00,2020-11-30 16:27:36+00:00,83340.0,4158.0,24998.0,150975.0,100480.0,2020-11-02 11:16:39+00:00,2.3.0,108.0,An Open Source Machine Learning Framework for Everyone.,131920.0,109396.0,3424.0,44,https://pypi.org/project/tensorflow,2020-11-24 18:00:22+00:00,22524.0,9640712.0,9640712.0,https://anaconda.org/anaconda/tensorflow,2020-11-02 11:16:39+00:00,0.0,True,1,,,,,,,,,,,,,,,,,,,,,,,
1,pandas,pandas-dev/pandas,pandas,pandas,,data-containers,['pandas'],https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33+00:00,2020-11-30 17:42:06+00:00,2020-11-30 14:30:15+00:00,11406.0,3588.0,16004.0,27443.0,25065.0,2020-10-30 18:41:25+00:00,1.1.4,83.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",416245.0,339461.0,2517.0,43,https://pypi.org/project/pandas,2020-10-05 19:51:43.950000+00:00,76784.0,27068344.0,27069009.0,https://anaconda.org/anaconda/pandas,2020-10-31 18:02:02+00:00,0.0,True,1,54543.0,,,,,,,,,,,,,,,,,,,,,,
2,numpy,numpy/numpy,numpy,numpy,,data-containers,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39+00:00,2020-11-30 17:38:30+00:00,2020-11-30 13:55:57+00:00,5009.0,2224.0,7149.0,15560.0,24795.0,2020-11-02 16:22:48+00:00,1.19.4,91.0,The fundamental package for scientific computing with Python.,728660.0,558938.0,1214.0,42,https://pypi.org/project/numpy,2020-11-02 15:46:22+00:00,169722.0,44122899.0,44128704.0,https://anaconda.org/anaconda/numpy,2020-07-31 22:48:18+00:00,0.0,True,1,278645.0,,,,,,,,,,,,,,,,,,,,,,
3,scikit-learn,scikit-learn/scikit-learn,scikit-learn,scikit-learn,,ml-frameworks,['sklearn'],https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38+00:00,2020-11-30 16:41:35+00:00,2020-11-27 17:25:35+00:00,20564.0,2261.0,6538.0,43234.0,26332.0,2020-08-25 18:28:32+00:00,0.23.2,49.0,scikit-learn: machine learning in Python.,206651.0,168763.0,2094.0,41,https://pypi.org/project/scikit-learn,2020-08-04 12:59:29+00:00,37888.0,11091993.0,11092003.0,https://anaconda.org/anaconda/scikit-learn,2020-11-01 13:42:30.305000+00:00,0.0,True,1,593.0,,,,,,,,,,,,,,,,,,,,,,
4,Matplotlib,matplotlib/matplotlib,matplotlib,,,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12+00:00,2020-11-30 14:37:08+00:00,2020-11-28 15:38:05+00:00,5484.0,1619.0,5848.0,12692.0,37191.0,2020-11-12 04:43:18+00:00,3.3.3,61.0,matplotlib: plotting with Python.,370951.0,291847.0,1170.0,40,https://pypi.org/project/matplotlib,2020-11-12 04:43:18+00:00,79104.0,10692353.0,10692353.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,
5,PyTorch,pytorch/pytorch,torch,,https://pytorch.org/docs/stable/index.html,ml-frameworks,['pytorch'],https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41+00:00,2020-11-30 17:12:02+00:00,2020-11-30 17:10:15+00:00,11382.0,7100.0,12092.0,44329.0,31683.0,2020-10-27 16:35:58+00:00,1.7.0,29.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,59310.0,52628.0,2384.0,39,https://pypi.org/project/torch,2020-10-27 15:49:06+00:00,6682.0,1789489.0,1789489.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,
6,Scrapy,scrapy/scrapy,scrapy,,,web-scraping,,https://github.com/scrapy/scrapy,https://github.com/scrapy/scrapy,BSD-3-Clause,2010-02-22 02:01:14+00:00,2020-11-30 16:45:18+00:00,2020-11-30 13:41:40+00:00,8924.0,746.0,1890.0,39054.0,8544.0,2020-11-17 21:01:36+00:00,2.4.1,80.0,"Scrapy, a fast high-level web crawling & scraping framework for Python.",29525.0,21155.0,455.0,38,https://pypi.org/project/scrapy,2020-11-17 12:04:15+00:00,8370.0,906949.0,906949.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,
7,PySpark,apache/spark,pyspark,,,ml-frameworks,['spark'],https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08+00:00,2020-11-30 17:11:41+00:00,2020-11-30 16:40:36+00:00,22829.0,236.0,,28156.0,28635.0,2020-09-07 15:29:07+00:00,3.0.1,21.0,Apache Spark Python API.,1248.0,488.0,2364.0,38,https://pypi.org/project/pyspark,2020-09-07 15:29:07+00:00,760.0,7366004.0,7366004.0,,,,True,1,,stable/spark,,,,,,,,,,,,,,,,,,,,,
8,Pillow,python-pillow/Pillow,Pillow,,,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39+00:00,2020-11-30 13:01:08+00:00,2020-11-30 13:01:07+00:00,1536.0,238.0,1809.0,7935.0,10881.0,2020-10-22 19:19:42+00:00,8.0.1,76.0,The friendly PIL fork (Python Imaging Library).,464974.0,353548.0,341.0,38,https://pypi.org/project/Pillow,2020-10-22 19:17:46+00:00,111426.0,17183772.0,17183772.0,,,,False,1,,,,,,,,,,,,,,,,,,,,,,,
9,spaCy,explosion/spaCy,spacy,,,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40+00:00,2020-11-30 13:57:35+00:00,2020-11-30 01:35:42+00:00,3162.0,172.0,4221.0,17720.0,11678.0,2020-11-26 00:36:53+00:00,2.3.4,167.0,Industrial-strength Natural Language Processing (NLP) with Python and Cython.,21752.0,18686.0,534.0,37,https://pypi.org/project/spacy,2020-11-24 16:13:38+00:00,3066.0,1191790.0,1191848.0,,,,True,1,2866.0,,,,,,,,,,,,,,,,,,,,,,
10,Celery,celery/celery,celery,,,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24+00:00,2020-11-30 13:10:47+00:00,2020-11-30 13:10:46+00:00,3851.0,459.0,3892.0,16255.0,11451.0,2020-11-03 10:26:48+00:00,5.0.2,168.0,Asynchronous task queue/job queue based on distributed message passing.,73733.0,45499.0,1062.0,37,https://pypi.org/project/celery,2020-11-02 17:53:58+00:00,28234.0,2393856.0,2393856.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,
11,redis,andymccurdy/redis-py,redis,,,db-clients,,https://github.com/andymccurdy/redis-py,https://github.com/andymccurdy/redis-py,MIT,2009-11-06 10:22:26+00:00,2020-11-22 20:52:45+00:00,2020-11-22 20:52:44+00:00,1903.0,62.0,799.0,8945.0,1550.0,2020-06-01 21:30:33+00:00,3.5.3,66.0,Redis Python Client.,49438.0,,248.0,37,https://pypi.org/project/redis,2020-06-01 21:30:33+00:00,49438.0,9212470.0,9212470.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,
12,networkx,networkx/networkx,networkx,,,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44+00:00,2020-11-29 16:25:45+00:00,2020-11-28 23:17:56+00:00,2142.0,250.0,2253.0,8279.0,6313.0,2020-08-22 20:10:33+00:00,networkx-2.5,52.0,Network Analysis in Python.,81307.0,60489.0,473.0,37,https://pypi.org/project/networkx,2020-08-22 20:38:37+00:00,20818.0,5919474.0,5919474.0,,,,True,1,48.0,,,,,,,,,,,,,,,,,,,,,,
13,boto3,boto/boto3,boto3,,,db-clients,,https://github.com/boto/boto3,https://github.com/boto/boto3,Apache-2.0,2014-10-03 21:38:03+00:00,2020-11-30 05:12:28+00:00,2020-11-24 19:12:26+00:00,1282.0,300.0,1911.0,5955.0,3909.0,2020-11-20 20:24:15+00:00,1.16.23,710.0,AWS SDK for Python.,108205.0,85115.0,105.0,37,https://pypi.org/project/boto3,2020-11-20 20:24:15+00:00,23090.0,43482486.0,43482486.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,
14,youtube-dl,ytdl-org/youtube-dl,youtube_dl,,,web-scraping,,https://github.com/ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Unlicense,2010-10-31 14:35:07+00:00,2020-11-30 08:46:37+00:00,2020-11-30 08:46:15+00:00,2447.0,4010.0,18697.0,83261.0,17895.0,2020-11-29 06:54:51+00:00,2020.11.29,923.0,Command-line program to download videos from YouTube.com and other video sites.,2854.0,,903.0,36,https://pypi.org/project/youtube_dl,2020-11-29 06:54:51+00:00,2854.0,1617436.0,3218953.0,,,,True,1,46444021.0,,youtube-dl,,,,,,,,,,,,,,,,,,,,
15,Keras,keras-team/keras,keras,keras,https://keras.io,ml-frameworks,['keras'],https://github.com/keras-team/keras,https://github.com/keras-team/keras,MIT,2015-03-28 00:35:42+00:00,2020-10-20 21:55:06+00:00,2020-10-20 21:55:05+00:00,18672.0,3209.0,7208.0,50245.0,5350.0,2020-06-25 19:09:28+00:00,2.4.3,53.0,Deep Learning for humans.,14996.0,,890.0,36,https://pypi.org/project/keras,2020-06-24 22:40:48+00:00,14996.0,2215393.0,2215393.0,https://anaconda.org/anaconda/keras,2020-06-25 19:09:28+00:00,,True,1,,,,,,,,,,,,,,,,,,,,,,,
16,transformers,huggingface/transformers,transformers,,,nlp,"['pytorch', 'tensorflow']",https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00+00:00,2020-11-30 17:26:41+00:00,2020-11-30 17:07:52+00:00,9154.0,571.0,4680.0,37409.0,6007.0,2020-11-30 17:01:56+00:00,4.0.0,42.0,Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,5836.0,5708.0,710.0,36,https://pypi.org/project/transformers,2020-11-30 16:47:02+00:00,128.0,1030759.0,1030809.0,,,,True,1,1217.0,,,,,,,,,,,,,,,,,,,,,,
17,Faker,joke2k/faker,Faker,,,data-loading,,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09+00:00,2020-11-30 16:38:38+00:00,2020-11-30 15:42:45+00:00,1318.0,132.0,339.0,11631.0,2469.0,2020-11-30 15:38:44+00:00,4.18.0,99.0,Faker is a Python package that generates fake data for you.,25506.0,20794.0,371.0,36,https://pypi.org/project/Faker,2020-11-30 15:38:44+00:00,4712.0,2026020.0,2026020.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,
