,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-07-18 07:53:15.000000,2022-07-18 07:53:15,1299.0,4.0,461,94.0,186.0,46.0,79.0,3000,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-07-28 18:08:17.000000,2022-07-28 18:08:16,147.0,23.0,124,47.0,95.0,,2.0,1607,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-07-28 18:08:22.000,2022.07.28,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-08-04 13:57:39.000000,2022-07-28 17:05:05,166.0,32.0,172,75.0,98.0,1.0,4.0,2332,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-07-28 17:05:11.000,2022.07.28,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-08-04 13:57:39.000000,2022-07-28 17:05:05,166.0,32.0,172,75.0,98.0,1.0,4.0,2332,Collection of database clients for python.,9.0,0,True,2022-07-28 17:05:11.000,2022.07.28,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-08-04 13:57:39.000000,2022-07-28 17:05:05,166.0,32.0,172,75.0,98.0,1.0,4.0,2332,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-07-28 17:05:11.000,2022.07.28,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-08-04 13:57:39.000000,2022-07-28 17:05:05,166.0,32.0,172,75.0,98.0,1.0,4.0,2332,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-07-28 17:05:11.000,2022.07.28,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-08-04 14:15:24.000000,2022-08-04 14:15:24,28791.0,431.0,23267,2181.0,13969.0,2187.0,8014.0,50953,scikit-learn: machine learning in Python.,2702.0,51,True,2022-05-19 13:35:21.000,1.1.1,63.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],809.0,30746048.0,403461.0,377795.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25666.0,30556214.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-19 17:53:26.305,14236810.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-08-04 14:18:27.000000,2022-08-04 13:35:55,50395.0,4344.0,15995,1608.0,55171.0,9650.0,18554.0,57757,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3431.0,50,True,2022-06-28 16:48:06.000,1.12.0,40.0,torch,pytorch/pytorch,['pytorch'],4851.0,9464149.0,7590.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7590.0,7812656.0,https://anaconda.org/pytorch/pytorch,2022-06-28 00:12:32.204,18165678.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-08-04 14:14:58.000000,2022-08-04 14:02:16,10369.0,649.0,15251,843.0,8631.0,512.0,9358.0,67869,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1430.0,49,True,2022-08-04 14:06:01.000,4.21.1,98.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",1519.0,5504249.0,33506.0,32531.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,975.0,5494427.0,https://anaconda.org/conda-forge/transformers,2022-07-28 02:27:09.688,332844.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-08-04 14:23:50.000000,2022-08-03 22:05:04,43784.0,613.0,6444,584.0,14782.0,1853.0,7228.0,15910,matplotlib: plotting with Python.,1392.0,49,True,2022-05-03 06:44:48.000,3.5.2,91.0,matplotlib,conda-forge/matplotlib,,,26894239.0,654597.0,599537.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,55060.0,26737742.0,https://anaconda.org/conda-forge/matplotlib,2022-07-28 18:36:05.784,12989292.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-08-04 14:06:02.000000,2022-08-04 14:06:02,28444.0,630.0,4354,330.0,8395.0,1731.0,6968.0,10041,"Ecosystem of open-source software for mathematics, science, and engineering.",1331.0,49,True,2022-07-29 13:54:16.000,1.9.0,82.0,scipy,conda-forge/scipy,,352512.0,41174517.0,604163.0,545936.0,https://pypi.org/project/scipy,2022-07-05 00:14:32.000,58227.0,40829733.0,https://anaconda.org/conda-forge/scipy,2022-07-30 10:53:47.560,25547835.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
