,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-10-29 08:34:20.000000,2024-10-29 08:34:20,1568.0,3.0,739.0,118.0,340.0,71.0,150.0,4977.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,170.0,58.0,205.0,,3.0,2333.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,257.0,94.0,199.0,7.0,6.0,3704.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,257.0,94.0,199.0,7.0,6.0,3704.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,257.0,94.0,199.0,7.0,6.0,3704.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,257.0,94.0,199.0,7.0,6.0,3704.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-11-21 14:11:53.000000,2024-11-21 14:11:44,172436.0,3688.0,74310.0,7566.0,39725.0,5949.0,38718.0,189089.0,An Open Source Machine Learning Framework for Everyone.,4718.0,55,True,2024-10-25 00:14:11.000,2.18.0,202.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],439445.0,431368.0,https://pypi.org/project/tensorflow,2024-10-25 00:14:11.000,8077.0,19255434.0,20080593.0,https://anaconda.org/conda-forge/tensorflow,2024-10-17 06:34:48.464,5106141.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-11-21 13:48:46.366741,2616.0,78512195.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-11-21 13:56:32.000000,2024-11-21 13:53:38,81251.0,3725.0,22646.0,1743.0,94091.0,15604.0,32293.0,84336.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5258.0,55,True,2024-10-29 17:58:24.000,2.5.1,57.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],592804.0,572945.0,https://pypi.org/project/torch,2024-10-29 17:32:42.000,19859.0,32533209.0,33181306.0,https://anaconda.org/pytorch/pytorch,2024-10-28 23:02:38.194,24602037.0,,,,,1.0,66190.0,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-11-21 12:53:05.000000,2024-11-21 12:53:04,31929.0,317.0,25408.0,2139.0,18027.0,2050.0,9715.0,60201.0,scikit-learn: machine learning in Python.,3225.0,53,True,2024-09-11 15:52:05.000,1.5.2,82.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],983109.0,957459.0,https://pypi.org/project/scikit-learn,2024-11-15 13:33:41.000,25650.0,78913012.0,79511132.0,https://anaconda.org/conda-forge/scikit-learn,2024-11-15 14:22:02.851,32298046.0,,,,,1.0,1028.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-11-21 14:21:44.000000,2024-11-21 13:52:39,17414.0,747.0,27048.0,1123.0,18170.0,1469.0,15194.0,135276.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2929.0,52,True,2024-11-18 22:13:14.000,4.46.3,164.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",250793.0,244005.0,https://pypi.org/project/transformers,2024-11-18 22:12:57.000,6788.0,42080981.0,42124115.0,https://anaconda.org/conda-forge/transformers,2024-11-19 01:57:44.980,2242993.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
