,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-07-18 07:53:15.000000,2022-07-18 07:53:15,1299,4.0,461,94.0,186.0,46.0,79.0,2984,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-07-28 16:07:55.000000,2022-07-21 17:00:41,145,23.0,120,47.0,94.0,4.0,2.0,1598,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-07-21 17:00:46.000,2022.07.21,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-28 15:43:36.000000,2022-07-21 20:31:39,164,32.0,172,75.0,97.0,1.0,4.0,2317,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-07-21 20:31:45.000,2022.07.21,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-28 15:43:36.000000,2022-07-21 20:31:39,164,32.0,172,75.0,97.0,1.0,4.0,2317,Collection of database clients for python.,9.0,0,True,2022-07-21 20:31:45.000,2022.07.21,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-28 17:05:05.000000,2022-07-28 17:05:05,166,34.0,172,75.0,97.0,1.0,4.0,2317,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-07-28 17:05:11.000,2022.07.28,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-28 17:05:05.000000,2022-07-28 17:05:05,166,34.0,172,75.0,97.0,1.0,4.0,2317,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-07-28 17:05:11.000,2022.07.28,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-07-28 14:14:23.000000,2022-07-28 14:14:11,132629,3949.0,87014,7823.0,21329.0,2360.0,33093.0,168733,An Open Source Machine Learning Framework for Everyone.,4050.0,55,True,2022-05-23 17:23:34.000,2.9.1,156.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],222760.0,208577.0,https://pypi.org/project/tensorflow,2022-05-23 17:23:34.000,14183.0,14244333.0,15124842.0,https://anaconda.org/conda-forge/tensorflow,2022-07-20 02:50:33.065,3486363.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-07-28 13:39:31.206381,2044.0,66770880.0,1.0,20.0,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-07-28 13:46:12.000000,2022-07-28 10:09:04,28768,444.0,23267,2183.0,13914.0,2187.0,7972.0,50879,scikit-learn: machine learning in Python.,2696.0,51,True,2022-05-19 13:35:21.000,1.1.1,63.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],400685.0,375019.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25666.0,30073200.0,30263576.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-19 17:53:26.305,14087090.0,,,,,1.0,,808.0,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-07-28 14:23:46.000000,2022-07-28 14:20:58,50190,4355.0,15995,1602.0,54893.0,9650.0,18467.0,57609,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3419.0,50,True,2022-06-28 16:48:06.000,1.12.0,40.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],7590.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7590.0,7769972.0,9570728.0,https://anaconda.org/pytorch/pytorch,2022-06-28 00:12:32.204,18006892.0,,,,,1.0,,4711.0,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-07-28 14:50:45.000000,2022-07-28 13:58:26,10312,641.0,15251,843.0,8552.0,512.0,9313.0,67590,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1415.0,49,True,2022-07-27 13:38:27.000,4.21.0,97.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",33125.0,32150.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,975.0,5457117.0,5466879.0,https://anaconda.org/conda-forge/transformers,2022-07-28 02:27:09.688,321054.0,,,,,1.0,,1519.0,,,,,,,,,,,,,,,,,,
