,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-04-29 06:46:17.000000,2024-04-15 22:07:23,1551.0,15.0,685.0,116.0,326.0,60.0,136.0,4607.0,Benchmarks of approximate nearest neighbor libraries in Python.,103.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-04-25 17:45:15.000000,2024-04-25 17:45:15,334.0,29.0,162.0,54.0,198.0,,3.0,2172.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-04-25 17:45:21.000,2024.04.25,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-02 14:12:41.000000,2024-04-25 16:50:28,347.0,24.0,231.0,87.0,194.0,4.0,5.0,3424.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-04-25 16:50:37.000,2024.04.25,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-02 14:12:41.000000,2024-04-25 16:50:28,347.0,24.0,231.0,87.0,194.0,4.0,5.0,3424.0,Collection of database clients for python.,12.0,0,True,2024-04-25 16:50:37.000,2024.04.25,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-02 14:12:41.000000,2024-04-25 16:50:28,347.0,24.0,231.0,87.0,194.0,4.0,5.0,3424.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-04-25 16:50:37.000,2024.04.25,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-02 14:12:41.000000,2024-04-25 16:50:28,347.0,24.0,231.0,87.0,194.0,4.0,5.0,3424.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-04-25 16:50:37.000,2024.04.25,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-05-02 14:10:43.000000,2024-05-02 13:45:42,163746.0,4414.0,73863.0,7635.0,27064.0,2369.0,37229.0,184955.0,An Open Source Machine Learning Framework for Everyone.,4595.0,56,True,2024-03-09 00:23:14.000,2.16.1,193.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],380898.0,365170.0,https://pypi.org/project/tensorflow,2024-03-09 00:23:14.000,15728.0,22719810.0,23760849.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4576544.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-05-02 12:51:06.045981,2396.0,77010561.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-05-02 14:10:39.000000,2024-05-02 13:02:31,72538.0,3454.0,21074.0,1704.0,83463.0,13922.0,28636.0,78075.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4821.0,55,True,2024-04-24 16:12:17.000,2.3.0,52.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],453913.0,438059.0,https://pypi.org/project/torch,2024-04-24 15:44:27.000,15854.0,28295978.0,28958564.0,https://anaconda.org/pytorch/pytorch,2024-04-23 12:59:17.451,21189017.0,,,,,1.0,39611.0,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-05-02 14:08:06.000000,2024-05-02 14:08:06,31257.0,329.0,24983.0,2140.0,17133.0,2069.0,9258.0,58176.0,scikit-learn: machine learning in Python.,3112.0,52,True,2024-04-09 20:07:22.000,1.4.2,77.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],888235.0,763408.0,https://pypi.org/project/scikit-learn,2024-04-09 19:53:06.000,124827.0,65887140.0,66469659.0,https://anaconda.org/conda-forge/scikit-learn,2024-04-11 09:12:54.843,27960525.0,,,,,1.0,950.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-05-02 14:21:46.000000,2024-05-02 14:20:04,15791.0,744.0,24845.0,1091.0,15575.0,1089.0,13827.0,125353.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2553.0,51,True,2024-04-23 22:01:20.000,4.40.1,140.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",169020.0,164062.0,https://pypi.org/project/transformers,2024-04-23 22:01:10.000,4958.0,26300094.0,26335607.0,https://anaconda.org/conda-forge/transformers,2024-04-27 04:40:44.972,1633602.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
