,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-02-21 11:10:36.000000,2024-01-10 20:21:25,1536.0,1.0,658.0,114.0,310.0,54.0,132.0,4389.0,Benchmarks of approximate nearest neighbor libraries in Python.,99.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-02-18 09:06:22.000000,2024-02-18 09:06:21,311.0,25.0,158.0,54.0,183.0,,3.0,2127.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-02-15 16:50:12.000,2024.02.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-22 13:38:34.000000,2024-02-15 14:03:53,327.0,24.0,222.0,87.0,184.0,4.0,5.0,3326.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-02-15 14:04:03.000,2024.02.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-22 13:38:34.000000,2024-02-15 14:03:53,327.0,24.0,222.0,87.0,184.0,4.0,5.0,3326.0,Collection of database clients for python.,12.0,0,True,2024-02-15 14:04:03.000,2024.02.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-22 13:38:34.000000,2024-02-15 14:03:53,327.0,24.0,222.0,87.0,184.0,4.0,5.0,3326.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-02-15 14:04:03.000,2024.02.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-22 13:38:34.000000,2024-02-15 14:03:53,327.0,24.0,222.0,87.0,184.0,4.0,5.0,3326.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-02-15 14:04:03.000,2024.02.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-02-22 14:14:18.000000,2024-02-22 14:14:12,160314.0,3663.0,73689.0,7656.0,23685.0,2056.0,36827.0,183162.0,An Open Source Machine Learning Framework for Everyone.,4546.0,55,True,2024-01-18 12:52:11.000,2.16.0,190.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],359935.0,344402.0,https://pypi.org/project/tensorflow,2024-01-18 12:52:11.000,15533.0,19044501.0,20159053.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4489455.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-02-22 13:48:36.505471,2282.0,76151853.0,1.0,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-02-22 14:12:22.000000,2024-02-22 14:07:21,69770.0,3034.0,20016.0,1694.0,80123.0,12620.0,27344.0,75586.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4666.0,54,True,2024-01-30 17:58:51.000,2.2.0,49.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],394349.0,394349.0,https://pypi.org/project/torch,,,18153677.0,18852829.0,https://anaconda.org/pytorch/pytorch,2024-02-21 17:09:02.139,20264242.0,,,,,1.0,34356.0,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-02-22 14:02:22.000000,2024-02-22 13:09:32,31016.0,343.0,24154.0,2145.0,16862.0,1641.0,9062.0,57451.0,scikit-learn: machine learning in Python.,3077.0,51,True,2024-02-15 16:07:32.000,1.4.1.post1,47.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],705537.0,705537.0,https://pypi.org/project/scikit-learn,,,50637761.0,51220857.0,https://anaconda.org/conda-forge/scikit-learn,2024-02-16 10:16:19.766,26238871.0,,,,,1.0,941.0,-1.0,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-02-22 14:09:41.000000,2024-02-22 10:48:01,15181.0,605.0,22987.0,1083.0,14779.0,761.0,13317.0,120595.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2425.0,50,True,2024-02-22 00:24:34.000,4.38.1,102.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",140123.0,140123.0,https://pypi.org/project/transformers,,,21962634.0,21997908.0,https://anaconda.org/conda-forge/transformers,2024-02-22 03:59:30.230,1516793.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
