,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-11-09 22:50:46.000000,2022-10-04 13:33:13,1304.0,4.0,462,96.0,190.0,46.0,81.0,3120,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-11-03 16:59:38.000000,2022-11-03 16:59:37,176.0,25.0,130,50.0,110.0,,2.0,1719,Collection of web-scraping and crawling libraries.,9.0,0,True,2022-11-03 16:59:43.000,2022.11.03,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-11-10 14:11:36.000000,2022-11-10 14:11:34,194.0,24.0,176,81.0,112.0,2.0,4.0,2570,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-11-10 14:11:40.000,2022.11.10,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-11-10 14:11:36.000000,2022-11-10 14:11:34,194.0,24.0,176,81.0,112.0,2.0,4.0,2570,Collection of database clients for python.,9.0,0,True,2022-11-10 14:11:40.000,2022.11.10,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-11-10 14:11:36.000000,2022-11-10 14:11:34,194.0,24.0,176,81.0,112.0,2.0,4.0,2570,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-11-10 14:11:40.000,2022.11.10,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-11-10 14:11:36.000000,2022-11-10 14:11:34,194.0,24.0,176,81.0,112.0,2.0,4.0,2570,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-11-10 14:11:40.000,2022.11.10,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-11-10 14:20:48.000000,2022-11-10 10:04:42,29202.0,381.0,23629,2172.0,14463.0,2128.0,8198.0,52028,scikit-learn: machine learning in Python.,2777.0,52,True,2022-10-26 14:44:14.000,1.1.3,65.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],828.0,37335071.0,436406.0,410740.0,https://pypi.org/project/scikit-learn,2022-08-05 14:46:05.647,25666.0,37119567.0,https://anaconda.org/conda-forge/scikit-learn,2022-10-27 17:28:40.831,16808565.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-11-10 14:32:29.000000,2022-11-10 13:54:37,53637.0,2946.0,16774,1607.0,59322.0,10537.0,19669.0,60209,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3670.0,50,True,2022-10-28 16:54:00.000,1.13.0,42.0,torch,pytorch/pytorch,['pytorch'],7839.0,10101727.0,7631.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7631.0,8626435.0,https://anaconda.org/pytorch/pytorch,2022-10-26 20:56:37.700,20652619.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-11-10 11:21:27.000000,2022-11-09 22:04:04,44866.0,887.0,6562,584.0,15363.0,1885.0,7473.0,16397,matplotlib: plotting with Python.,1428.0,50,True,2022-11-03 01:53:13.000,3.6.2,96.0,matplotlib,conda-forge/matplotlib,,,31922763.0,708681.0,653621.0,https://pypi.org/project/matplotlib,2022-10-08 09:47:16.868,55060.0,31755412.0,https://anaconda.org/conda-forge/matplotlib,2022-11-04 00:12:43.022,14392195.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-11-10 14:44:59.000000,2022-11-10 14:25:30,11266.0,814.0,16782,861.0,9755.0,550.0,9911.0,73986,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1604.0,49,True,2022-11-01 15:45:13.000,4.24.0,100.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",625.0,8481482.0,40358.0,39383.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,975.0,8465888.0,https://anaconda.org/conda-forge/transformers,2022-11-03 07:57:01.121,576506.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
