,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,trending,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-04-27 14:28:48.000000,2023-04-27 14:28:48,1434.0,108.0,510,100.0,261.0,35.0,108.0,3477,Benchmarks of approximate nearest neighbor libraries in Python.,85.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-04-20 22:47:18.000000,2023-04-20 22:47:17,223.0,26.0,143,51.0,137.0,1.0,2.0,1871,Collection of web-scraping and crawling libraries.,10.0,0,True,2023-04-20 22:47:23.000,2023.04.20,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-27 14:19:59.000000,2023-04-27 14:19:59,241.0,28.0,209,83.0,139.0,4.0,4.0,2957,Collection of data-loading and -extraction libraries.,10.0,0,True,2023-04-27 14:20:05.000,2023.04.27,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-27 14:19:59.000000,2023-04-27 14:19:59,241.0,28.0,209,83.0,139.0,4.0,4.0,2957,Collection of database clients for python.,10.0,0,True,2023-04-27 14:20:05.000,2023.04.27,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-27 14:19:59.000000,2023-04-27 14:19:59,241.0,28.0,209,83.0,139.0,4.0,4.0,2957,"Collection of data-container, dataframe, and pandas-utility libraries.",10.0,0,True,2023-04-27 14:20:05.000,2023.04.27,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-27 14:19:59.000000,2023-04-27 14:19:59,241.0,28.0,209,83.0,139.0,4.0,4.0,2957,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",10.0,0,True,2023-04-27 14:20:05.000,2023.04.27,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-04-27 13:57:07.000000,2023-04-27 13:57:01,147158.0,4648.0,88226,7724.0,22897.0,2172.0,35128.0,175918,An Open Source Machine Learning Framework for Everyone.,4334.0,55,True,2023-03-23 15:50:02.000,2.12.0,175.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],284158.0,269198.0,https://pypi.org/project/tensorflow,2023-03-22 23:10:35.879,14960.0,15649794.0,17830022.0,https://anaconda.org/conda-forge/tensorflow,2023-03-27 12:39:49.535,4094638.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-04-27 12:48:53.739033,2130.0,72566082.0,1.0,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-04-27 14:11:59.000000,2023-04-27 13:48:21,29932.0,397.0,24210,2156.0,15409.0,2172.0,8524.0,53985,scikit-learn: machine learning in Python.,2911.0,52,True,2023-03-09 10:08:59.000,1.2.2,69.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],535308.0,507169.0,https://pypi.org/project/scikit-learn,2023-01-24 16:44:32.680,28139.0,36245966.0,36498278.0,https://anaconda.org/conda-forge/scikit-learn,2023-03-24 18:32:25.095,20941131.0,,,,,1.0,860.0,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-04-27 14:13:40.000000,2023-04-27 13:44:02,59476.0,3407.0,18143,1641.0,66824.0,11753.0,22216.0,66055,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4015.0,50,True,2023-03-15 19:38:58.000,2.0.0,44.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],9467.0,,https://pypi.org/project/torch,2022-12-15 20:09:57.027,9467.0,10015816.0,10833401.0,https://anaconda.org/pytorch/pytorch,2023-03-14 19:20:31.620,15530721.0,,,,,1.0,14183.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-04-27 14:02:55.000000,2023-04-27 12:22:05,12718.0,827.0,19155,986.0,11482.0,533.0,10922.0,96635,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1868.0,49,True,2023-04-14 16:57:36.000,4.28.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",66181.0,66181.0,https://pypi.org/project/transformers,,,12741688.0,12767501.0,https://anaconda.org/conda-forge/transformers,2023-04-15 05:23:24.770,1084049.0,,,,,1.0,136.0,,,,,,,,,,,,,,,,,,,
