,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,updated_github_id,snap_id,apt_id,yum_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,new_addition,bitbucket_id
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-10-15 22:13:55.000000,2021-10-15 22:13:55.000000,392,37.0,70.0,2562.0,1233.0,Benchmarks of approximate nearest neighbor libraries in Python.,61.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-10-21 14:18:58.000000,2021-09-01 14:02:18.000000,91,4.0,2.0,1350.0,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-09-01 14:02:45.000000,2021.08.26,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,True,data-loading,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-10-21 14:55:34.000000,2021-09-01 13:58:37.000000,136,,4.0,1782.0,,Collection of data-loading and -extraction libraries.,5.0,0,True,2021-09-01 13:58:46.000000,2021.08.26,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-10-21 14:55:34.000000,2021-09-01 13:58:37.000000,136,,4.0,1782.0,,Collection of database clients for python.,5.0,0,True,2021-09-01 13:58:46.000000,2021.08.26,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-10-21 14:04:50.000000,2021-10-21 14:01:31.000000,85692,3067.0,30270.0,161965.0,119852.0,An Open Source Machine Learning Framework for Everyone.,3830.0,44,True,2021-08-12 16:04:34.000000,2.4.3,133.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],185798.0,163274.0,https://pypi.org/project/tensorflow,2021-10-07 18:06:20.000000,22524.0,12043013.0,12936960.0,https://anaconda.org/conda-forge/tensorflow,2021-09-25 18:05:57.313000,2855958.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-10-21 13:39:00.270105,1956.0,60443852.0,1.0,,,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-10-21 12:54:30.000000,2021-10-21 01:49:59.000000,13346,3542.0,18057.0,31407.0,28010.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2826.0,43,True,2021-10-17 16:42:57.000000,1.3.4,98.0,pandas,conda-forge/pandas,,,['pandas'],631609.0,554825.0,https://pypi.org/project/pandas,2021-10-17 16:42:57.000000,76784.0,89399706.0,89714391.0,https://anaconda.org/conda-forge/pandas,2021-10-18 00:23:13.689000,20368192.0,,,,,1.0,123602.0,,,,,,,,,,,,,,,,,,,,,
6,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-10-21 09:38:15.000000,2021-10-21 05:54:57.000000,3919,1828.0,6153.0,8698.0,26479.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1179.0,42,True,2021-08-02 02:24:12.000000,1.7.1,67.0,scipy,conda-forge/scipy,,,,498460.0,411598.0,https://pypi.org/project/scipy,2021-08-02 00:14:42.000000,86862.0,31059763.0,31349530.0,https://anaconda.org/conda-forge/scipy,2021-10-10 12:21:58.393000,18550462.0,,,,,1.0,328231.0,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-10-21 14:01:28.000000,2021-10-21 07:17:13.000000,14089,10102.0,15787.0,51558.0,41106.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2911.0,39,True,2021-09-22 12:58:15.000000,1.9.1,35.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6682.0,,https://pypi.org/project/torch,2021-09-20 22:30:00.000000,6682.0,5439717.0,5724592.0,https://anaconda.org/pytorch/pytorch,2021-10-20 22:42:47.223000,13389130.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
8,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-10-20 13:22:23.000000,2021-10-18 08:39:47.000000,4088,517.0,4080.0,18086.0,11732.0,Asynchronous task queue/job queue based on distributed message passing.,1152.0,39,True,2021-07-12 14:26:26.000000,5.1.2,182.0,celery,conda-forge/celery,,,,28234.0,,https://pypi.org/project/celery,2021-09-26 13:04:55.000000,28234.0,4858000.0,4868260.0,https://anaconda.org/conda-forge/celery,2021-06-29 08:06:51.307000,687470.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-10-21 13:16:12.000000,2021-10-21 11:32:27.000000,12454,437.0,7658.0,52778.0,8168.0,"Transformers: State-of-the-art Natural Language Processing for Pytorch, TensorFlow, and JAX.",1041.0,38,True,2021-10-06 17:00:51.000000,4.11.3,73.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",17505.0,17377.0,https://pypi.org/project/transformers,2021-10-06 16:57:31.000000,128.0,3060430.0,3063660.0,https://anaconda.org/conda-forge/transformers,2021-10-14 04:06:54.644000,76578.0,,,,,1.0,1402.0,,,,,,,,,,,,,,,,,,,,,
10,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-10-21 12:48:46.000000,2021-10-21 08:22:23.000000,8178,313.0,3922.0,21749.0,5509.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",538.0,38,True,2021-10-17 17:15:49.000000,1.5.0,59.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,24313.0,22721.0,https://pypi.org/project/xgboost,2021-10-17 17:15:49.000000,1592.0,8113362.0,8150066.0,https://anaconda.org/conda-forge/xgboost,2021-10-20 08:13:29.579000,2016873.0,,,,,1.0,3143.0,,,,,,,,,,,,,,,,,,,,,
11,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-10-21 14:13:44.000000,2021-10-20 23:34:02.000000,5969,2360.0,7871.0,18573.0,,The fundamental package for scientific computing with Python.,1335.0,38,True,2021-10-20 20:39:20.000000,1.21.3,103.0,numpy,conda-forge/numpy,,,,1027886.0,858164.0,https://pypi.org/project/numpy,2021-08-15 20:07:03.000000,169722.0,92501848.0,92889710.0,https://anaconda.org/conda-forge/numpy,2021-08-16 10:02:25.525000,24763181.0,,,,,1.0,406549.0,,,,,,,,,,,,,,,,,,,,,
12,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-10-21 01:02:45.000000,2021-10-05 00:51:21.000000,1489,97.0,1828.0,8842.0,2806.0,Statistical data visualization in Python.,158.0,38,True,2021-08-16 00:39:03.000000,0.11.2,25.0,seaborn,conda-forge/seaborn,,,,133403.0,120617.0,https://pypi.org/project/seaborn,2021-08-16 00:42:18.000000,12786.0,17978474.0,18025763.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619000,2931822.0,,,,,1.0,196.0,,,,,,,,,,,,,,,,,,,,,
