,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-12-05 19:23:18.000000,2022-12-05 19:23:18,1325.0,21.0,470,96.0,192.0,46.0,102.0,3178,Benchmarks of approximate nearest neighbor libraries in Python.,75.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-12-31 20:48:16.000000,2022-12-31 20:48:15,190.0,22.0,130,52.0,118.0,,2.0,1771,Collection of web-scraping and crawling libraries.,9.0,0,True,2022-12-31 20:48:25.000,2022.12.29,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-05 13:42:23.000000,2022-12-31 21:17:55,206.0,20.0,192,84.0,120.0,2.0,4.0,2737,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-12-31 21:18:03.000,2022.12.29,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-05 13:42:23.000000,2022-12-31 21:17:55,206.0,20.0,192,84.0,120.0,2.0,4.0,2737,Collection of database clients for python.,9.0,0,True,2022-12-31 21:18:03.000,2022.12.29,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-05 13:42:23.000000,2022-12-31 21:17:55,206.0,20.0,192,84.0,120.0,2.0,4.0,2737,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-12-31 21:18:03.000,2022.12.29,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-05 13:42:23.000000,2022-12-31 21:17:55,206.0,20.0,192,84.0,120.0,2.0,4.0,2737,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-12-31 21:18:03.000,2022.12.29,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-01-05 13:51:27.678918,2023-01-05 11:14:24,141069.0,4444.0,87578,7784.0,22368.0,2346.0,34303.0,172239,An Open Source Machine Learning Framework for Everyone.,4225.0,55,True,2022-11-18 06:01:33.000,2.11.0,171.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],250016.0,235733.0,https://pypi.org/project/tensorflow,2022-11-18 05:40:24.645,14283.0,15284493.0,16151867.0,https://anaconda.org/conda-forge/tensorflow,2022-09-25 19:15:48.038,3896587.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-01-05 13:51:27.678918,2090.0,70507590.0,1.0,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-01-05 13:32:03.000000,2023-01-05 10:34:15,29428.0,348.0,23794,2166.0,14735.0,2148.0,8303.0,52493,scikit-learn: machine learning in Python.,2824.0,52,True,2022-12-08 14:17:42.000,1.2.0,67.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],462032.0,436369.0,https://pypi.org/project/scikit-learn,2022-08-05 14:46:05.647,25663.0,32710043.0,32933434.0,https://anaconda.org/conda-forge/scikit-learn,2022-12-08 22:18:09.965,17870514.0,,,,,1.0,834.0,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-01-05 14:19:54.000000,2023-01-05 13:30:32,11713.0,857.0,17095,875.0,10300.0,568.0,10210.0,77405,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1672.0,50,True,2022-12-02 16:03:31.000,4.25.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",45850.0,44876.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,974.0,7818776.0,7836740.0,https://anaconda.org/conda-forge/transformers,2022-11-03 07:57:01.121,700098.0,,,,,1.0,627.0,,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-01-05 14:13:11.000000,2023-01-05 10:33:37,55336.0,2887.0,17087,1630.0,61432.0,10540.0,20386.0,61430,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3775.0,50,True,2022-12-16 00:17:16.000,1.13.1,43.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],7625.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7625.0,7934509.0,9298746.0,https://anaconda.org/pytorch/pytorch,2022-12-15 16:18:09.640,21825881.0,,,,,1.0,9170.0,,,,,,,,,,,,,,,,,,,
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-01-05 12:49:52.000000,2023-01-04 15:46:26,45454.0,881.0,6637,589.0,15694.0,1912.0,7612.0,16647,matplotlib: plotting with Python.,1456.0,50,True,2022-11-03 01:53:13.000,3.6.2,96.0,matplotlib,conda-forge/matplotlib,,,,748907.0,693856.0,https://pypi.org/project/matplotlib,2022-10-08 09:47:16.868,55051.0,28920488.0,29092832.0,https://anaconda.org/conda-forge/matplotlib,2022-11-04 00:12:43.022,15166334.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-01-05 13:53:48.000000,2023-01-05 11:46:13,29255.0,401.0,4529,341.0,8955.0,1694.0,7360.0,10674,"Ecosystem of open-source software for mathematics, science, and engineering.",1403.0,49,True,2023-01-03 22:48:32.000,1.10.0,88.0,scipy,conda-forge/scipy,,,,680483.0,622264.0,https://pypi.org/project/scipy,2022-10-20 00:45:22.690,58219.0,44342935.0,44739201.0,https://anaconda.org/conda-forge/scipy,2023-01-04 12:04:30.808,31378460.0,,,,,1.0,363276.0,,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-01-05 10:27:15.000000,2023-01-05 10:27:15,14233.0,420.0,1962,219.0,4062.0,106.0,2614.0,10414,The friendly PIL fork (Python Imaging Library).,421.0,47,True,2023-01-02 21:32:51.909,9.4.0,91.0,Pillow,conda-forge/pillow,,,,1023888.0,960741.0,https://pypi.org/project/Pillow,2022-10-29 15:26:51.013,63147.0,47062131.0,47334336.0,https://anaconda.org/conda-forge/pillow,2023-01-02 17:04:40.551,22048624.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
