,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-05-23 14:17:06.000000,2024-05-22 10:54:06,1558.0,22.0,685.0,117.0,332.0,60.0,143.0,4661.0,Benchmarks of approximate nearest neighbor libraries in Python.,104.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-05-16 17:19:41.000000,2024-05-16 17:19:41,340.0,27.0,163.0,56.0,201.0,,3.0,2195.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-05-16 17:19:46.000,2024.05.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-23 13:52:56.000000,2024-05-23 13:52:56,355.0,26.0,244.0,87.0,197.0,6.0,5.0,3468.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-05-23 13:53:03.000,2024.05.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-23 13:52:56.000000,2024-05-23 13:52:56,355.0,26.0,244.0,87.0,197.0,6.0,5.0,3469.0,Collection of database clients for python.,12.0,0,True,2024-05-23 13:53:03.000,2024.05.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-23 13:52:56.000000,2024-05-23 13:52:56,355.0,26.0,244.0,87.0,197.0,6.0,5.0,3469.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-05-23 13:53:03.000,2024.05.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-23 13:52:56.000000,2024-05-23 13:52:56,355.0,26.0,244.0,87.0,197.0,6.0,5.0,3469.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-05-23 13:53:03.000,2024.05.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-05-23 14:11:10.000000,2024-05-23 14:09:07,164935.0,4423.0,73940.0,7629.0,28661.0,2788.0,37288.0,185407.0,An Open Source Machine Learning Framework for Everyone.,4607.0,56,True,2024-03-09 00:23:14.000,2.16.1,193.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],379349.0,372059.0,https://pypi.org/project/tensorflow,2024-03-09 00:23:14.000,7290.0,22997608.0,24043379.0,https://anaconda.org/conda-forge/tensorflow,2024-05-23 12:11:35.590,4624242.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-05-23 12:48:45.238455,2416.0,77189112.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-05-23 14:13:25.000000,2024-05-23 09:01:29,73368.0,3518.0,21135.0,1718.0,84545.0,13942.0,29089.0,78730.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4864.0,55,True,2024-04-24 16:12:17.000,2.3.0,52.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],468125.0,451902.0,https://pypi.org/project/torch,2024-04-24 15:44:27.000,16223.0,29219045.0,29893125.0,https://anaconda.org/pytorch/pytorch,2024-04-23 12:59:17.451,21555998.0,,,,,1.0,41963.0,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-05-23 14:24:06.000000,2024-05-23 14:01:29,15960.0,772.0,25033.0,1100.0,15789.0,1077.0,13990.0,126499.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2584.0,52,True,2024-05-22 20:36:44.000,4.41.1,143.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",176667.0,171572.0,https://pypi.org/project/transformers,2024-05-22 20:36:40.000,5095.0,28158165.0,28194787.0,https://anaconda.org/conda-forge/transformers,2024-05-23 03:00:54.170,1684616.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-05-23 13:37:23.000000,2024-05-22 14:24:48,31327.0,296.0,25019.0,2140.0,17221.0,2050.0,9327.0,58387.0,scikit-learn: machine learning in Python.,3120.0,52,True,2024-05-21 16:37:08.000,1.5.0,79.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],803100.0,781526.0,https://pypi.org/project/scikit-learn,2024-05-21 16:33:03.000,21574.0,67263217.0,67854744.0,https://anaconda.org/conda-forge/scikit-learn,2024-05-21 17:17:23.994,28392883.0,,,,,1.0,955.0,,,,,,,,,,,,,,,,,,,
