,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,updated_github_id,apt_id,yum_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,bitbucket_id
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-12-01 21:41:47.000000,2021-11-30 17:46:21.000000,400,37.0,73.0,2632.0,1253.0,Benchmarks of approximate nearest neighbor libraries in Python.,64.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-11-25 16:40:18.000000,2021-11-17 18:43:57.000000,93,4.0,2.0,1379.0,,Collection of web-scraping and crawling libraries.,7.0,0,True,2021-11-17 18:45:05.000000,2021.11.17,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,True,data-loading,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-12-02 13:36:56.000000,2021-11-25 16:35:52.000000,136,,4.0,1841.0,,Collection of data-loading and -extraction libraries.,5.0,0,True,2021-11-25 16:35:58.000000,2021.11.25,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-12-02 13:36:56.000000,2021-11-25 16:35:52.000000,136,,4.0,1841.0,,Collection of database clients for python.,5.0,0,True,2021-11-25 16:35:58.000000,2021.11.25,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-12-02 14:21:27.000000,2021-12-02 02:02:05.000000,13512,3538.0,18285.0,31854.0,28345.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2860.0,43,True,2021-10-17 16:42:57.000000,1.3.4,98.0,pandas,conda-forge/pandas,['pandas'],127941.0,53264954.0,661649.0,584865.0,https://pypi.org/project/pandas,2021-10-17 16:42:57.000000,76784.0,52942387.0,https://anaconda.org/conda-forge/pandas,2021-11-06 20:35:19.852000,21521855.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-12-02 12:50:38.000000,2021-12-02 11:19:51.000000,3981,1833.0,6269.0,8897.0,26776.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1200.0,42,True,2021-11-24 18:44:51.000000,1.7.3,69.0,scipy,conda-forge/scipy,,332806.0,25509877.0,516331.0,429469.0,https://pypi.org/project/scipy,2021-11-24 16:07:40.000000,86862.0,25212447.0,https://anaconda.org/conda-forge/scipy,2021-11-25 04:00:02.224000,19638274.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-12-01 18:38:56.000000,2021-11-30 18:56:57.000000,4134,484.0,4140.0,18288.0,11794.0,Asynchronous task queue/job queue based on distributed message passing.,1162.0,40,True,2021-11-16 14:56:22.000000,5.2.1,185.0,celery,conda-forge/celery,,,3642318.0,89673.0,61439.0,https://pypi.org/project/celery,2021-11-16 14:56:13.000000,28234.0,3631327.0,https://anaconda.org/conda-forge/celery,2021-06-29 08:06:51.307000,758407.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-12-02 14:02:40.000000,2021-12-02 13:03:12.000000,14347,10584.0,16166.0,52481.0,42100.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2985.0,39,True,2021-10-21 15:49:53.000000,1.10.0,36.0,torch,pytorch/pytorch,['pytorch'],471.0,4993685.0,6682.0,,https://pypi.org/project/torch,2021-10-21 14:45:53.000000,6682.0,4705203.0,https://anaconda.org/pytorch/pytorch,2021-10-20 22:42:47.223000,14135306.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-12-02 14:05:31.000000,2021-12-02 14:05:31.000000,12830,416.0,7901.0,54933.0,8393.0,"Transformers: State-of-the-art Natural Language Processing for Pytorch, TensorFlow, and JAX.",1082.0,38,True,2021-11-17 16:38:32.000000,4.12.5,79.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",1416.0,2603882.0,19407.0,19279.0,https://pypi.org/project/transformers,2021-11-17 16:37:50.000000,128.0,2600579.0,https://anaconda.org/conda-forge/transformers,2021-11-17 21:22:29.910000,84901.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-12-02 00:57:07.000000,2021-11-27 07:22:06.000000,8246,308.0,3965.0,21941.0,5576.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",541.0,38,True,2021-11-24 19:51:13.000000,1.5.1,60.0,xgboost,conda-forge/xgboost,,3430.0,6956505.0,25876.0,24284.0,https://pypi.org/project/xgboost,2021-11-24 19:51:13.000000,1592.0,6919215.0,https://anaconda.org/conda-forge/xgboost,2021-11-20 17:37:18.728000,2123502.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,,,,,,,
