,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-03-17 02:57:37.000000,2025-03-03 12:22:29,1576.0,6.0,749.0,117.0,349.0,76.0,154.0,5181.0,Benchmarks of approximate nearest neighbor libraries in Python.,111.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,186.0,57.0,205.0,,3.0,2481.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,266.0,97.0,200.0,7.0,6.0,3912.0,Collection of data-loading and -extraction libraries.,13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,266.0,97.0,200.0,7.0,6.0,3912.0,Collection of database clients for python.,13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,266.0,97.0,200.0,7.0,6.0,3912.0,"Collection of data-container, dataframe, and pandas-utility libraries.",13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,266.0,97.0,200.0,7.0,6.0,3912.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-03-27 14:03:05.000000,2025-03-27 13:35:38,177873.0,3911.0,74593.0,7514.0,47760.0,7513.0,39526.0,191588.0,An Open Source Machine Learning Framework for Everyone.,4830.0,56,True,2025-03-12 01:04:13.000,2.19.0,207.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],494918.0,486261.0,https://pypi.org/project/tensorflow,2025-03-12 01:04:13.000,8657.0,21444225.0,22249561.0,https://anaconda.org/conda-forge/tensorflow,2025-03-25 16:00:02.350,5415383.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-03-27 12:49:19.391073,2728.0,79367000.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-03-27 14:16:17.000000,2025-03-27 13:53:25,85908.0,3241.0,23233.0,1778.0,99846.0,15553.0,35124.0,88289.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5484.0,55,True,2025-01-29 17:18:54.000,2.6.0,58.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],716016.0,692806.0,https://pypi.org/project/torch,2025-01-29 16:17:26.000,23210.0,40498446.0,41126273.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,26335359.0,,,,,1.0,81096.0,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-03-27 09:43:23.000000,2025-03-27 09:43:22,32287.0,268.0,25536.0,2142.0,18553.0,2103.0,9859.0,61564.0,scikit-learn: machine learning in Python.,3277.0,53,True,2025-01-10 10:51:11.000,1.6.1,84.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1155219.0,1128318.0,https://pypi.org/project/scikit-learn,2025-01-10 08:05:56.000,26901.0,86766972.0,87367872.0,https://anaconda.org/conda-forge/scikit-learn,2025-03-25 16:00:05.999,34851696.0,,,,,1.0,1048.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-03-27 14:20:03.000000,2025-03-27 14:20:02,18399.0,739.0,28431.0,1139.0,19566.0,1672.0,15902.0,142015.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",3132.0,52,True,2025-03-27 09:08:09.000,4.50.2,174.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",327053.0,318914.0,https://pypi.org/project/transformers,2025-03-27 09:08:00.000,8139.0,52177279.0,52224043.0,https://anaconda.org/conda-forge/transformers,2025-03-27 11:32:00.031,2618800.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
