,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-05-24 10:46:05.000000,2024-05-24 10:46:05,1559.0,20.0,685.0,117.0,332.0,60.0,144.0,4678.0,Benchmarks of approximate nearest neighbor libraries in Python.,105.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-05-30 19:17:41.000000,2024-05-30 19:17:40,344.0,27.0,162.0,56.0,203.0,,3.0,2212.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-05-30 19:17:46.000,2024.05.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-06-06 14:07:06.000000,2024-06-06 14:07:06,359.0,26.0,244.0,90.0,199.0,6.0,5.0,3493.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-06-06 14:07:06.000000,2024-06-06 14:07:06,359.0,26.0,244.0,90.0,199.0,6.0,5.0,3493.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-06-06 14:07:06.000000,2024-06-06 14:07:06,359.0,26.0,244.0,90.0,199.0,6.0,5.0,3493.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-06-06 14:07:06.000000,2024-06-06 14:07:06,359.0,26.0,244.0,90.0,199.0,6.0,5.0,3493.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-06-06 14:13:31.000000,2024-06-06 14:11:19,165429.0,4094.0,73996.0,7631.0,29379.0,3011.0,37363.0,185703.0,An Open Source Machine Learning Framework for Everyone.,4612.0,56,True,2024-03-09 00:23:14.000,2.16.1,193.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],384064.0,376695.0,https://pypi.org/project/tensorflow,2024-03-09 00:23:14.000,7369.0,21428899.0,22278536.0,https://anaconda.org/conda-forge/tensorflow,2024-05-24 12:35:11.711,4660192.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-06-06 12:52:21.719176,2431.0,77299917.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-06-06 14:15:09.000000,2024-06-06 13:01:42,73964.0,3579.0,21332.0,1719.0,85353.0,14230.0,29286.0,79207.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4896.0,55,True,2024-06-05 19:16:07.000,2.3.1,53.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],478136.0,461508.0,https://pypi.org/project/torch,2024-06-05 16:39:11.000,16628.0,29125158.0,29786030.0,https://anaconda.org/pytorch/pytorch,2024-06-04 13:27:13.152,21793550.0,,,,,1.0,42982.0,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-06-06 14:19:31.000000,2024-06-06 13:50:45,16095.0,787.0,25139.0,1101.0,15966.0,1083.0,14082.0,127214.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2624.0,52,True,2024-05-30 17:59:26.000,4.41.2,144.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",182194.0,176947.0,https://pypi.org/project/transformers,2024-05-30 17:59:20.000,5247.0,28552272.0,28588829.0,https://anaconda.org/conda-forge/transformers,2024-05-31 06:00:30.850,1718224.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-06-06 14:13:08.000000,2024-06-06 14:13:08,31383.0,290.0,25019.0,2141.0,17303.0,2050.0,9362.0,58549.0,scikit-learn: machine learning in Python.,3129.0,52,True,2024-05-21 16:37:08.000,1.5.0,79.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],816873.0,794945.0,https://pypi.org/project/scikit-learn,2024-05-21 16:33:03.000,21928.0,68149006.0,68734535.0,https://anaconda.org/conda-forge/scikit-learn,2024-05-23 19:24:01.860,28690496.0,,,,,1.0,957.0,,,,,,,,,,,,,,,,,,,
