,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-07-26 13:53:52.000000,2023-07-26 11:28:39,1506,72.0,567,108.0,290.0,44.0,119.0,3897,Benchmarks of approximate nearest neighbor libraries in Python.,91.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-07-20 17:39:19.000000,2023-07-20 17:39:18,251,26.0,149,52.0,151.0,1.0,2.0,1959,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-07-20 17:39:24.000,2023.07.20,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-07-27 14:28:45.000000,2023-07-27 14:28:44,267,26.0,213,87.0,152.0,4.0,4.0,3067,Collection of data-loading and -extraction libraries.,10.0,0,True,2023-07-27 14:28:50.000,2023.07.27,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-07-27 14:28:45.000000,2023-07-27 14:28:44,267,26.0,213,87.0,152.0,4.0,4.0,3067,Collection of database clients for python.,10.0,0,True,2023-07-27 14:28:50.000,2023.07.27,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-07-27 14:28:45.000000,2023-07-27 14:28:44,267,26.0,213,87.0,152.0,4.0,4.0,3067,"Collection of data-container, dataframe, and pandas-utility libraries.",10.0,0,True,2023-07-27 14:28:50.000,2023.07.27,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-07-27 14:28:45.000000,2023-07-27 14:28:44,267,26.0,213,87.0,152.0,4.0,4.0,3067,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",10.0,0,True,2023-07-27 14:28:50.000,2023.07.27,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-07-27 14:06:10.000000,2023-07-27 13:56:06,151357,4032.0,88715,7703.0,23203.0,2138.0,35680.0,178628,An Open Source Machine Learning Framework for Everyone.,4411.0,55,True,2023-07-05 19:49:02.000,2.12.1,180.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],309096.0,294149.0,https://pypi.org/project/tensorflow,2023-07-05 17:44:31.079,14947.0,16185979.0,17698899.0,https://anaconda.org/conda-forge/tensorflow,2023-07-21 23:54:54.123,4271684.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-07-27 12:48:53.435803,2183.0,73689531.0,1.0,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-07-27 14:13:16.000000,2023-07-27 13:52:03,30204,270.0,23612,2148.0,15785.0,1594.0,8693.0,55189,scikit-learn: machine learning in Python.,2947.0,52,True,2023-06-30 08:07:27.000,1.3.0,42.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],569011.0,569011.0,https://pypi.org/project/scikit-learn,,,37596134.0,38213753.0,https://anaconda.org/conda-forge/scikit-learn,2023-06-30 12:52:16.828,23469167.0,,,,,1.0,888.0,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-07-27 13:58:39.000000,2023-07-27 13:11:28,13545,811.0,20609,1044.0,12542.0,584.0,11699.0,109093,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2049.0,50,True,2023-07-18 20:16:04.000,4.31.0,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",86891.0,86891.0,https://pypi.org/project/transformers,,,13572678.0,13606677.0,https://anaconda.org/conda-forge/transformers,2023-07-19 01:32:52.190,1223882.0,,,,,1.0,142.0,,,,,,,,,,,,,,,,,,
9,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-07-27 13:30:24.000000,2023-07-27 00:11:49,30540,520.0,4804,347.0,9711.0,1673.0,7864.0,11515,"Ecosystem of open-source software for mathematics, science, and engineering.",1499.0,49,True,2023-07-20 15:29:08.882,0.7.2,95.0,scipy,conda-forge/scipy,,,,845168.0,782788.0,https://pypi.org/project/scipy,2023-06-28 21:46:30.209,62380.0,56850747.0,58108321.0,https://anaconda.org/conda-forge/scipy,2023-06-29 03:20:27.591,40116524.0,,,,,1.0,377624.0,,,,,,,,,,,,,,,,,,
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-07-27 12:05:50.000000,2023-07-27 11:17:06,47938,743.0,6798,587.0,16745.0,1206.0,8425.0,17768,matplotlib: plotting with Python.,1538.0,48,True,2023-07-05 20:58:47.000,3.7.2,74.0,matplotlib,conda-forge/matplotlib,,,,900391.0,900391.0,https://pypi.org/project/matplotlib,,,33070139.0,33604326.0,https://anaconda.org/conda-forge/matplotlib,2023-07-06 23:58:47.375,19764933.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
