,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,gitlab_id,gitlab_url,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-01-27 22:29:47.000000,2021-01-27 22:29:46.000000,319,25.0,56.0,2028,1170.0,Benchmarks of approximate nearest neighbor libraries in Python.,53.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-01-28 15:25:24.000000,2021-01-25 10:01:31.000000,57,,2.0,964,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-01-21 18:24:48.000000,2021.01.21,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-01-28 14:48:36.000000,2021-01-21 18:21:54.000000,83,1.0,2.0,1336,,Collection of database clients for python.,4.0,0,True,2021-01-21 18:22:21.000000,2021.01.21,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-01-28 13:49:28.000000,2021-01-28 13:48:38.000000,83821,4327.0,25831.0,154636,103732.0,An Open Source Machine Learning Framework for Everyone.,3513.0,44,True,2021-01-21 19:55:54.000000,2.4.1,116.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],142148.0,119624.0,https://pypi.org/project/tensorflow,2021-01-21 19:38:00.000000,22524.0,4091893.0,4890826.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 22:30:18.070000,2278330.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-01-27 15:00:24.068990,1835.0,47098429.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
4,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-01-28 15:05:40.000000,2021-01-28 15:05:39.000000,11757,3603.0,16389.0,28279,25729.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2577.0,42,True,2021-01-20 13:34:07.000000,1.2.1,88.0,pandas,conda-forge/pandas,,,['pandas'],451420.0,374636.0,https://pypi.org/project/pandas,2021-01-20 13:34:07.000000,76784.0,19353084.0,19595242.0,https://anaconda.org/conda-forge/pandas,2021-01-20 19:11:38.815000,13498159.0,,,,,1.0,94126.0,,,,,,,,,,,,,,,,,,,,,,
5,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-01-28 14:45:18.000000,2021-01-28 05:59:57.000000,5195,2243.0,7259.0,16069,25321.0,The fundamental package for scientific computing with Python.,1241.0,42,True,2021-01-05 17:49:34.000000,1.19.5,94.0,numpy,conda-forge/numpy,,,,780933.0,611211.0,https://pypi.org/project/numpy,2021-01-05 17:19:38.000000,169722.0,31101274.0,31386245.0,https://anaconda.org/conda-forge/numpy,2021-01-11 07:51:33.196000,15622448.0,,,,,1.0,299968.0,,,,,,,,,,,,,,,,,,,,,,
6,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-01-28 09:22:10.000000,2021-01-28 09:17:03.000000,5603,1663.0,5954.0,13016,37684.0,matplotlib: plotting with Python.,1197.0,41,True,2021-01-28 08:54:50.000000,3.3.4,61.0,matplotlib,conda-forge/matplotlib,,,,398284.0,319180.0,https://pypi.org/project/matplotlib,2020-11-12 04:43:18.000000,79104.0,7219209.0,7342372.0,https://anaconda.org/conda-forge/matplotlib,2021-01-14 06:32:33.548000,7882445.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-01-28 15:27:26.000000,2021-01-28 15:27:25.000000,3531,1580.0,5686.0,7872,24828.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1111.0,40,True,2020-12-31 15:02:43.000000,1.6.0,60.0,scipy,conda-forge/scipy,,,,384700.0,297838.0,https://pypi.org/project/scipy,2020-12-31 14:30:32.000000,86862.0,11314414.0,11533602.0,https://anaconda.org/conda-forge/scipy,2021-01-12 04:49:45.843000,12015644.0,,,,,1.0,305176.0,,,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-01-28 14:01:30.000000,2021-01-28 12:35:22.000000,11743,7100.0,12751.0,45831,33093.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2477.0,39,True,2020-12-10 17:19:58.000000,1.7.1,30.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],67095.0,60413.0,https://pypi.org/project/torch,2020-12-10 16:22:02.000000,6682.0,1340398.0,1600842.0,https://anaconda.org/pytorch/pytorch,2020-12-10 16:11:32.801000,9896907.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-01-28 12:10:02.000000,2021-01-27 06:58:02.000000,1559,240.0,1870.0,8149,11122.0,The friendly PIL fork (Python Imaging Library).,344.0,39,True,2021-01-02 20:13:09.000000,8.1.0,77.0,Pillow,conda-forge/pillow,,,,502364.0,390938.0,https://pypi.org/project/Pillow,2021-01-02 20:11:59.000000,111426.0,11202100.0,11322629.0,https://anaconda.org/conda-forge/pillow,2021-01-11 23:44:30.126000,6870182.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
