,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-03-09 19:05:22.000000,2022-03-07 14:19:56,1269.0,4.0,433,97.0,181.0,39.0,79.0,2822,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-03-31 16:35:53.000000,2022-02-19 17:48:44,116.0,18.0,104,46.0,78.0,4.0,2.0,1472,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-02-19 17:48:53.000,2022.02.17,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-04-07 13:44:15.000000,2022-02-19 17:49:35,120.0,18.0,148,70.0,76.0,,4.0,2075,Collection of data-loading and -extraction libraries.,6.0,0,True,2022-02-19 17:49:44.000,2022.02.17,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-04-07 13:44:15.000000,2022-02-19 17:49:35,120.0,18.0,148,70.0,76.0,,4.0,2075,Collection of database clients for python.,6.0,0,True,2022-02-19 17:49:44.000,2022.02.17,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-04-07 13:37:37.742987,2022-04-07 12:32:03,127559.0,3910.0,86489,7870.0,20726.0,2644.0,32141.0,166082,An Open Source Machine Learning Framework for Everyone.,3967.0,55,True,2022-02-02 16:54:38.000,2.8.0,145.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],203922.0,190004.0,https://pypi.org/project/tensorflow,2022-02-02 15:33:06.000,13918.0,15191528.0,16080128.0,https://anaconda.org/conda-forge/tensorflow,2022-02-06 08:03:30.812,3179730.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-04-07 13:37:37.742987,2005.0,65068349.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,data-containers,,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000,2022-04-07 14:41:29.000000,2022-04-07 00:15:25,29284.0,632.0,14254,1105.0,24337.0,3463.0,18955.0,33335,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2958.0,52,True,2022-04-02 10:32:27.000,1.4.2,102.0,pandas,conda-forge/pandas,,,['pandas'],744966.0,686027.0,https://pypi.org/project/pandas,2022-04-02 10:32:27.000,58939.0,82565979.0,82905664.0,https://anaconda.org/conda-forge/pandas,2022-04-02 13:05:37.264,24016315.0,,,,,1.0,141389.0,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-04-07 14:18:26.000000,2022-04-07 14:01:12,28203.0,486.0,22803,2191.0,13268.0,2415.0,7654.0,49597,scikit-learn: machine learning in Python.,2557.0,51,True,2021-12-25 20:30:08.000,1.0.2,60.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],359605.0,334665.0,https://pypi.org/project/scikit-learn,2021-12-25 20:30:08.000,24940.0,31442658.0,31609545.0,https://anaconda.org/conda-forge/scikit-learn,2021-12-26 01:02:52.879,11848305.0,,,,,1.0,783.0,,,,,,,,,,,,,,,,,,,
7,numpy,numpy/numpy,data-containers,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000,2022-04-07 11:10:15.000000,2022-04-07 09:53:37,29419.0,614.0,6659,560.0,10829.0,2284.0,8410.0,20074,The fundamental package for scientific computing with Python.,1418.0,50,True,2022-03-07 23:20:19.000,1.22.3,123.0,numpy,conda-forge/numpy,,,,1155157.0,1036964.0,https://pypi.org/project/numpy,2022-03-07 22:39:39.000,118193.0,106471661.0,106910764.0,https://anaconda.org/conda-forge/numpy,2022-04-07 01:38:12.285,30643589.0,,,,,1.0,487771.0,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-04-07 14:05:06.000000,2022-04-07 14:02:43,9493.0,852.0,14068,800.0,7556.0,469.0,8655.0,60607,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1255.0,49,True,2022-04-06 15:07:45.000,4.18.0,88.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",26240.0,25414.0,https://pypi.org/project/transformers,2022-04-06 15:07:45.000,826.0,5373401.0,5378114.0,https://anaconda.org/conda-forge/transformers,2022-01-31 21:40:31.059,140359.0,,,,,1.0,1471.0,,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-04-07 14:17:17.000000,2022-04-07 14:00:20,45153.0,2299.0,15196,1602.0,50004.0,11517.0,17386.0,55144,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3184.0,49,True,2022-03-10 16:59:55.000,1.11.0,39.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6959.0,,https://pypi.org/project/torch,2022-03-10 16:38:35.000,6959.0,7863701.0,10146160.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,15976918.0,,,,,1.0,2941.0,,,,,,,,,,,,,,,,,,,
