,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,gitlab_id,gitlab_url
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-05-23 16:47:41.000000,2021-05-23 16:47:37.000000,359,32.0,62.0,2242,1217.0,Benchmarks of approximate nearest neighbor libraries in Python.,57.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-05-27 14:41:19.000000,2021-05-14 08:30:59.000000,81,,2.0,1226,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-05-14 08:31:08.000000,2021.05.13,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-05-27 15:19:29.000000,2021-05-14 08:31:36.000000,130,2.0,3.0,1639,,Collection of database clients for python.,5.0,0,True,2021-05-14 08:31:44.000000,2021.05.13,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-05-27 14:15:01.000000,2021-05-27 14:13:55.000000,84703,3934.0,27972.0,158023,111503.0,An Open Source Machine Learning Framework for Everyone.,3675.0,44,True,2021-05-13 18:18:51.000000,2.5.0,121.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],161952.0,139428.0,https://pypi.org/project/tensorflow,2021-05-13 17:28:39.000000,22524.0,10452557.0,11290927.0,https://anaconda.org/conda-forge/tensorflow,2021-04-30 05:11:44.185000,2565996.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-05-27 13:34:23.108837,1906.0,52600888.0,1.0,,,,,,,,,,,,,,,,,,,,,,
4,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-05-27 14:44:26.000000,2021-05-27 14:44:26.000000,12388,3714.0,17097.0,29850,26919.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2685.0,43,True,2021-04-12 18:43:31.000000,1.2.4,91.0,pandas,conda-forge/pandas,,,['pandas'],529883.0,453099.0,https://pypi.org/project/pandas,2021-04-12 18:43:31.000000,76784.0,49083767.0,49360449.0,https://anaconda.org/conda-forge/pandas,2021-04-13 16:22:06.030000,16527389.0,,,,,1.0,107921.0,,,,,,,,,,,,,,,,,,,,,
5,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-05-27 14:21:26.000000,2021-05-27 09:47:53.000000,3678,1648.0,5955.0,8258,25809.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1122.0,42,True,2021-04-26 02:11:23.000000,1.6.3,63.0,scipy,conda-forge/scipy,,,,435242.0,348380.0,https://pypi.org/project/scipy,2021-04-26 00:22:45.000000,86862.0,29677955.0,29929066.0,https://anaconda.org/conda-forge/scipy,2021-04-27 23:19:03.675000,14794213.0,,,,,1.0,317906.0,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-05-27 14:16:56.000000,2021-05-27 06:32:05.000000,12681,8648.0,14182.0,48463,37170.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2684.0,41,True,2021-03-25 16:07:08.000000,1.8.1,32.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],84624.0,77942.0,https://pypi.org/project/torch,2021-03-25 15:54:32.000000,6682.0,3768927.0,4036137.0,https://anaconda.org/pytorch/pytorch,2021-03-25 16:42:58.661000,11222856.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
7,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-05-27 13:55:12.000000,2021-05-27 10:49:26.000000,5785,1703.0,6251.0,13684,39201.0,matplotlib: plotting with Python.,1236.0,41,True,2021-05-08 05:47:47.000000,3.4.2,68.0,matplotlib,conda-forge/matplotlib,,,,454677.0,375573.0,https://pypi.org/project/matplotlib,2021-05-08 05:47:47.000000,79104.0,20610081.0,20741718.0,https://anaconda.org/conda-forge/matplotlib,2021-05-10 22:47:57.893000,8951332.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
8,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-05-27 09:39:27.000000,2021-05-26 15:25:53.000000,3998,504.0,4004.0,17333,11603.0,Asynchronous task queue/job queue based on distributed message passing.,1114.0,40,True,2021-05-26 15:28:52.000000,5.1.0,175.0,celery,conda-forge/celery,,,,81498.0,53264.0,https://pypi.org/project/celery,2021-05-23 16:30:39.000000,28234.0,5087512.0,5095550.0,https://anaconda.org/conda-forge/celery,2021-03-24 04:34:11.646000,498407.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
9,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-05-27 14:10:22.000000,2021-05-25 12:38:58.000000,1621,214.0,2016.0,8543,11736.0,The friendly PIL fork (Python Imaging Library).,359.0,40,True,2021-04-01 20:55:51.000000,8.2.0,80.0,Pillow,conda-forge/pillow,,,,584565.0,473139.0,https://pypi.org/project/Pillow,2021-04-01 20:53:21.000000,111426.0,30949656.0,31090365.0,https://anaconda.org/conda-forge/pillow,2021-05-17 22:12:54.346000,8583264.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
