,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,bitbucket_id
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-07-13 15:32:05.000000,2021-07-13 15:32:05.000000,382,35.0,65.0,2361.0,1224.0,Benchmarks of approximate nearest neighbor libraries in Python.,59.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-07-22 14:18:05.000000,2021-07-16 21:43:54.000000,85,,2.0,1285.0,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-07-16 21:44:03.000000,2021.07.15,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,True,data-loading,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-07-22 15:10:07.000000,2021-07-16 21:43:31.000000,134,1.0,4.0,1700.0,,Collection of data-loading and -extraction libraries.,5.0,0,True,2021-07-16 21:43:43.000000,2021.07.15,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-07-22 15:10:07.000000,2021-07-16 21:43:31.000000,134,1.0,4.0,1700.0,,Collection of database clients for python.,5.0,0,True,2021-07-16 21:43:43.000000,2021.07.15,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-07-22 13:46:03.000000,2021-07-22 13:44:56.000000,85110,3599.0,28902.0,159547.0,114648.0,An Open Source Machine Learning Framework for Everyone.,3741.0,44,True,2021-06-15 21:29:30.000000,2.4.2,127.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],171939.0,149415.0,https://pypi.org/project/tensorflow,2021-07-13 17:43:31.000000,22524.0,10609986.0,11479368.0,https://anaconda.org/conda-forge/tensorflow,2021-04-30 05:11:44.185000,2677195.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-07-22 13:37:11.774252,1928.0,56273496.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-07-22 14:54:56.000000,2021-07-22 04:23:40.000000,12723,3635.0,17455.0,30428.0,27323.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2724.0,43,True,2021-07-02 11:59:11.000000,1.3.0,94.0,pandas,conda-forge/pandas,,,['pandas'],569699.0,492915.0,https://pypi.org/project/pandas,2021-07-02 11:59:11.000000,76784.0,57486817.0,57776167.0,https://anaconda.org/conda-forge/pandas,2021-07-02 16:54:16.536000,17861296.0,,,,,1.0,113910.0,,,,,,,,,,,,,,,,,,,,
6,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-07-22 13:55:52.000000,2021-07-22 05:56:04.000000,5828,1665.0,6398.0,13929.0,39762.0,matplotlib: plotting with Python.,1256.0,42,True,2021-05-08 05:47:47.000000,3.4.2,68.0,matplotlib,conda-forge/matplotlib,,,,482919.0,403815.0,https://pypi.org/project/matplotlib,2021-05-08 05:47:47.000000,79104.0,27624240.0,27757935.0,https://anaconda.org/conda-forge/matplotlib,2021-05-10 22:47:57.893000,9358660.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
7,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-07-22 14:19:53.000000,2021-07-22 04:41:03.000000,3759,1676.0,6022.0,8411.0,26081.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1146.0,42,True,2021-06-20 17:06:43.000000,1.7.0,66.0,scipy,conda-forge/scipy,,,,460651.0,373789.0,https://pypi.org/project/scipy,2021-06-20 16:11:56.000000,86862.0,32308886.0,32574337.0,https://anaconda.org/conda-forge/scipy,2021-07-19 10:01:36.025000,16180757.0,,,,,1.0,322003.0,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-07-22 13:37:53.000000,2021-07-22 07:27:23.000000,13115,9073.0,14838.0,49646.0,38704.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2776.0,41,True,2021-06-15 16:06:52.000000,1.9.0,33.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],94090.0,87408.0,https://pypi.org/project/torch,2021-06-15 15:09:35.000000,6682.0,4467656.0,4740621.0,https://anaconda.org/pytorch/pytorch,2021-06-15 16:26:06.511000,12010479.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
9,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-07-22 09:52:25.000000,2021-07-22 09:22:28.000000,4037,517.0,4031.0,17637.0,11656.0,Asynchronous task queue/job queue based on distributed message passing.,1127.0,40,True,2021-07-12 14:26:26.000000,5.1.2,178.0,celery,conda-forge/celery,,,,83964.0,55730.0,https://pypi.org/project/celery,2021-06-28 13:14:23.000000,28234.0,4804005.0,4812634.0,https://anaconda.org/conda-forge/celery,2021-06-29 08:06:51.307000,552294.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
