,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,updated_github_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-10-02 11:44:23.000000,2023-10-02 11:44:23,1528.0,26.0,585.0,107.0,301.0,44.0,126.0,4070.0,Benchmarks of approximate nearest neighbor libraries in Python.,97.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-09-28 17:01:42.000000,2023-09-28 17:01:41,269.0,22.0,150.0,51.0,161.0,1.0,2.0,2021.0,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-09-28 17:01:59.000,2023.09.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-10-05 14:46:01.000000,2023-10-05 14:46:01,288.0,27.0,218.0,87.0,163.0,4.0,4.0,3165.0,Collection of data-loading and -extraction libraries.,11.0,0,True,2023-10-05 14:46:08.000,2023.10.05,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-10-05 14:46:01.000000,2023-10-05 14:46:01,288.0,27.0,218.0,87.0,163.0,4.0,4.0,3165.0,Collection of database clients for python.,11.0,0,True,2023-10-05 14:46:08.000,2023.10.05,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-10-05 14:46:01.000000,2023-10-05 14:46:01,288.0,27.0,218.0,87.0,163.0,4.0,4.0,3165.0,"Collection of data-container, dataframe, and pandas-utility libraries.",11.0,0,True,2023-10-05 14:46:08.000,2023.10.05,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-10-05 14:46:01.000000,2023-10-05 14:46:01,288.0,27.0,218.0,87.0,163.0,4.0,4.0,3165.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",11.0,0,True,2023-10-05 14:46:08.000,2023.10.05,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-10-05 14:07:42.000000,2023-10-05 14:07:35,154564.0,4063.0,88876.0,7693.0,23431.0,2109.0,36181.0,180178.0,An Open Source Machine Learning Framework for Everyone.,4460.0,55,True,2023-09-26 22:51:39.000,2.14.0,184.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],324181.0,308977.0,https://pypi.org/project/tensorflow,2023-09-26 22:51:39.000,15204.0,17154607.0,18423169.0,https://anaconda.org/conda-forge/tensorflow,2023-07-21 23:54:54.123,4361578.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-10-05 12:49:02.841581,2220.0,74474623.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-10-05 13:59:40.000000,2023-10-05 10:17:05,64754.0,2972.0,19241.0,1683.0,73608.0,12517.0,24809.0,71319.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4393.0,53,True,2023-10-04 17:32:12.000,2.1.0,46.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],334995.0,324056.0,https://pypi.org/project/torch,2023-10-04 16:37:27.000,10939.0,11707154.0,12455575.0,https://anaconda.org/pytorch/pytorch,2023-10-03 19:01:54.763,18703290.0,,,,,1.0,24674.0,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-10-05 13:12:11.000000,2023-10-05 10:50:18,30507.0,349.0,24703.0,2164.0,16201.0,2253.0,8827.0,56029.0,scikit-learn: machine learning in Python.,2996.0,52,True,2023-09-21 07:50:52.000,1.3.1,72.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],640080.0,610487.0,https://pypi.org/project/scikit-learn,2023-09-21 07:50:52.000,29593.0,41185138.0,41787463.0,https://anaconda.org/conda-forge/scikit-learn,2023-09-21 11:49:47.633,24694944.0,,,,,1.0,902.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-10-05 14:20:42.000000,2023-10-05 14:20:41,14134.0,769.0,22056.0,1058.0,13354.0,782.0,12280.0,112794.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2161.0,50,True,2023-10-03 15:00:52.000,4.34.0,121.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",105892.0,103616.0,https://pypi.org/project/transformers,2023-10-03 14:47:26.000,2276.0,18147366.0,18182106.0,https://anaconda.org/conda-forge/transformers,2023-09-27 21:15:23.374,1354772.0,,,,,1.0,142.0,,,,,,,,,,,,,,,,,,,
