,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-04-26 03:13:26.000000,2022-04-26 03:13:26,1295,27.0,461,97.0,181.0,46.0,79.0,2907,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-05-19 18:30:43.000000,2022-05-19 18:30:42,128,12.0,116,48.0,85.0,4.0,2.0,1538,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-05-19 18:31:23.000,2022.05.19,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-05-26 13:51:22.000000,2022-05-19 18:30:07,138,18.0,155,71.0,85.0,,4.0,2180,Collection of data-loading and -extraction libraries.,7.0,0,True,2022-05-19 18:30:23.000,2022.05.19,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-05-26 13:51:22.000000,2022-05-19 18:30:07,138,18.0,155,71.0,85.0,,4.0,2180,Collection of database clients for python.,7.0,0,True,2022-05-19 18:30:23.000,2022.05.19,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-05-26 13:51:22.000000,2022-05-19 18:30:07,138,18.0,155,71.0,85.0,,4.0,2180,"Collection of data-container, dataframe, and pandas-utility libraries.",7.0,0,True,2022-05-19 18:30:23.000,2022.05.19,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-05-26 13:16:54.000000,2022-05-26 13:16:41,129869,3982.0,86782,7855.0,21118.0,2413.0,32574.0,167267,An Open Source Machine Learning Framework for Everyone.,4005.0,55,True,2022-05-23 17:23:34.000,2.9.1,156.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],212369.0,198186.0,https://pypi.org/project/tensorflow,2022-05-23 17:23:34.000,14183.0,16525433.0,17411149.0,https://anaconda.org/conda-forge/tensorflow,2022-05-24 01:30:37.196,3310616.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-05-26 12:48:16.817346,2020.0,65596334.0,1.0,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-05-26 14:01:06.000000,2022-05-26 13:17:00,28451,510.0,23005,2187.0,13520.0,2226.0,7823.0,50191,scikit-learn: machine learning in Python.,2608.0,51,True,2022-05-19 13:35:21.000,1.1.1,63.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],377276.0,351928.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25348.0,33959620.0,34136912.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-19 17:53:26.305,12764356.0,,,,,1.0,798.0,,,,,,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-05-26 14:07:37.000000,2022-05-26 13:57:12,9875,808.0,14942,812.0,8029.0,521.0,8975.0,63763,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1331.0,49,True,2022-05-16 18:57:10.000,4.19.2,92.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",29147.0,28252.0,https://pypi.org/project/transformers,2022-05-13 18:21:27.000,895.0,7091742.0,7098678.0,https://anaconda.org/conda-forge/transformers,2022-05-22 00:24:31.589,213934.0,,,,,1.0,1492.0,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-05-26 14:04:49.000000,2022-05-26 14:04:47,46797,2710.0,15588,1598.0,51960.0,9967.0,17820.0,56273,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3283.0,49,True,2022-03-10 16:59:55.000,1.11.0,39.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6959.0,,https://pypi.org/project/torch,2022-03-10 16:38:35.000,6959.0,9315601.0,11429894.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,16913934.0,,,,,1.0,3542.0,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-05-26 13:32:53.000000,2022-05-26 13:29:58,43295,684.0,6387,579.0,14530.0,1839.0,7082.0,15538,matplotlib: plotting with Python.,1365.0,49,True,2022-05-03 06:44:48.000,3.5.2,91.0,matplotlib,conda-forge/matplotlib,,,,615382.0,560854.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,54528.0,29182011.0,29333133.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,12089768.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-05-26 13:45:46.000000,2022-05-26 12:55:03,27957,541.0,4250,330.0,8070.0,1763.0,6781.0,9663,"Ecosystem of open-source software for mathematics, science, and engineering.",1281.0,49,True,2022-05-18 13:22:14.000,1.8.1,78.0,scipy,conda-forge/scipy,,,,570582.0,512874.0,https://pypi.org/project/scipy,2022-05-18 12:26:12.000,57708.0,44852464.0,45179354.0,https://anaconda.org/conda-forge/scipy,2022-05-20 22:11:37.335,23231066.0,,,,,1.0,347479.0,,,,,,,,,,,,,,,,,,,
11,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000,2022-05-24 18:04:29.000000,2022-05-24 15:12:04,11929,91.0,4276,475.0,2601.0,553.0,4190.0,19391,Asynchronous task queue/job queue based on distributed message passing.,1212.0,46,True,2022-04-05 08:37:09.000,5.2.6,190.0,celery,conda-forge/celery,,,,84856.0,69992.0,https://pypi.org/project/celery,2022-04-05 08:37:09.000,14864.0,5287554.0,5298953.0,https://anaconda.org/conda-forge/celery,2022-04-27 14:43:42.320,843574.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-05-26 14:48:45.000000,2022-05-26 14:40:19,16222,1060.0,10588,742.0,16758.0,946.0,4726.0,26414,"Platform to programmatically author, schedule, and monitor workflows.",2408.0,45,True,2022-05-25 10:26:20.000,2.3.1,112.0,apache-airflow,conda-forge/airflow,apache/airflow,,,468.0,,https://pypi.org/project/apache-airflow,2022-05-25 07:35:59.000,468.0,6560290.0,7427621.0,https://anaconda.org/conda-forge/airflow,2022-05-02 02:18:11.941,614560.0,https://hub.docker.com/r/apache/airflow,2022-05-25 08:33:49.653960,342.0,72543323.0,1.0,294807.0,stable/airflow,,,,,,,,,,,,,,,,,,
13,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-05-26 12:35:09.000000,2022-05-25 20:00:43,14291,43.0,2572,471.0,1359.0,223.0,1399.0,10764,Suite of libraries and programs for symbolic and statistical natural language processing for English.,422.0,45,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,154751.0,142931.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,13734609.0,13752783.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1254040.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-05-26 13:06:56.000000,2022-05-26 07:19:33,13287,510.0,1856,211.0,3769.0,135.0,2408.0,9799,The friendly PIL fork (Python Imaging Library).,398.0,45,True,2022-05-17 16:46:23.000,9.1.1,88.0,Pillow,conda-forge/pillow,,,,62853.0,,https://pypi.org/project/Pillow,2022-05-17 16:34:46.000,62853.0,45708396.0,45914849.0,https://anaconda.org/conda-forge/pillow,2022-05-17 20:00:29.570,15071103.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-05-26 14:01:42.000000,2022-05-26 06:09:22,6967,423.0,19092,1951.0,5278.0,335.0,11046.0,55267,Deep Learning for humans.,1066.0,44,True,2022-05-13 20:03:15.000,2.9.0,65.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],301.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,301.0,10377029.0,10409872.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2266185.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-05-25 17:58:12.000000,2022-05-25 09:12:29,15439,112.0,3833,558.0,3099.0,99.0,5032.0,23443,Industrial-strength Natural Language Processing (NLP) in Python.,680.0,44,True,2022-04-29 07:49:22.000,3.3.0,194.0,spacy,conda-forge/spacy,,,,41567.0,39229.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2338.0,6274013.0,6316027.0,https://anaconda.org/conda-forge/spacy,2022-05-03 18:34:30.893,2644006.0,,,,,1.0,3140.0,,,,,,,,,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-05-26 12:17:36.000000,2022-05-26 11:14:40,5797,112.0,8380,930.0,3535.0,277.0,4159.0,22756,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",560.0,44,True,2022-05-09 09:32:28.000,1.6.1,64.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,32553.0,31213.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1340.0,9868898.0,9911616.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2645968.0,,,,,1.0,4202.0,,,,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-05-26 11:50:53.000000,2022-05-26 04:07:29,11654,1034.0,1627,265.0,6561.0,1080.0,2265.0,17561,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",400.0,44,True,2022-05-16 19:13:45.000,0.3.13,120.0,jax,conda-forge/jaxlib,,,,4709.0,4406.0,https://pypi.org/project/jax,2022-05-16 19:13:45.000,303.0,443826.0,453208.0,https://anaconda.org/conda-forge/jaxlib,2022-05-25 09:41:31.539,319015.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
19,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-05-25 20:03:39.000000,2022-05-25 20:03:39,6849,131.0,2622,275.0,2662.0,364.0,2547.0,10777,Network Analysis in Python.,594.0,44,True,2022-05-21 15:30:40.000,2.8.2,77.0,networkx,conda-forge/networkx,,,,121319.0,107964.0,https://pypi.org/project/networkx,2022-05-21 15:30:40.000,13355.0,21514493.0,21610779.0,https://anaconda.org/conda-forge/networkx,2022-05-21 19:58:09.960,6451188.0,,,,,1.0,60.0,,,,,,,,,,,,,,,,,,,
20,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-05-26 10:13:29.000000,2022-05-23 17:44:41,50974,544.0,3662,288.0,11533.0,4444.0,7938.0,9250,A computer algebra system written in pure Python.,1146.0,44,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,,,46508.0,42376.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,1688941.0,1721847.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2061477.0,,,,,1.0,453171.0,,,,,,,,,,,,,,,,,,,
