,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-12-23 01:23:30.000000,2024-12-23 01:23:30,1570.0,3.0,739.0,119.0,345.0,71.0,152.0,5046.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,173.0,58.0,205.0,,3.0,2390.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,257.0,96.0,199.0,7.0,6.0,3763.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,257.0,96.0,199.0,7.0,6.0,3763.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,257.0,96.0,199.0,7.0,6.0,3763.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,257.0,96.0,199.0,7.0,6.0,3763.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-01-09 13:54:53.000000,2025-01-09 13:45:44,174365.0,3608.0,74396.0,7541.0,42585.0,6423.0,39302.0,189832.0,An Open Source Machine Learning Framework for Everyone.,4753.0,55,True,2024-10-25 00:14:11.000,2.18.0,202.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],458561.0,450484.0,https://pypi.org/project/tensorflow,2024-10-25 00:14:11.000,8077.0,18729609.0,19542721.0,https://anaconda.org/conda-forge/tensorflow,2024-10-17 06:34:48.464,5214884.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-01-09 13:51:07.915141,2654.0,78819618.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-01-09 14:12:15.000000,2025-01-09 06:53:25,82960.0,3550.0,22762.0,1757.0,96079.0,15619.0,33581.0,85674.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5351.0,55,True,2024-10-29 17:58:24.000,2.5.1,57.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],631411.0,611552.0,https://pypi.org/project/torch,2024-10-29 17:32:42.000,19859.0,28919436.0,29553417.0,https://anaconda.org/pytorch/pytorch,2024-10-28 23:02:38.194,25330858.0,,,,,1.0,71002.0,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-01-09 11:24:45.000000,2025-01-09 11:24:43,32059.0,289.0,25467.0,2145.0,18225.0,2104.0,9769.0,60691.0,scikit-learn: machine learning in Python.,3243.0,53,True,2024-12-09 18:30:05.000,1.6.0,83.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1040944.0,1014706.0,https://pypi.org/project/scikit-learn,2024-12-09 16:01:02.000,26238.0,71760300.0,72353277.0,https://anaconda.org/conda-forge/scikit-learn,2024-12-09 17:45:36.628,33206242.0,,,,,1.0,1037.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-01-09 14:19:45.000000,2025-01-09 13:25:36,17734.0,585.0,27481.0,1127.0,18627.0,1536.0,15444.0,137358.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",3004.0,52,True,2024-12-17 15:42:54.000,4.47.1,166.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",274250.0,267153.0,https://pypi.org/project/transformers,2024-12-17 15:42:35.000,7097.0,39730410.0,39774598.0,https://anaconda.org/conda-forge/transformers,2024-12-18 05:19:05.387,2386184.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
