,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,projectrank_placing,github_release_downloads,trending,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-03-08 05:50:03.000000,2024-03-01 08:00:08,1539.0,4.0,658.0,115.0,312.0,54.0,134.0,4445.0,Benchmarks of approximate nearest neighbor libraries in Python.,99.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-03-07 16:25:02.000000,2024-03-07 16:25:01,317.0,27.0,158.0,54.0,188.0,,3.0,2135.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-03-07 16:25:09.000,2024.03.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-14 13:40:13.000000,2024-03-07 14:32:44,333.0,25.0,225.0,87.0,187.0,4.0,5.0,3346.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-03-07 14:32:51.000,2024.03.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-14 13:40:13.000000,2024-03-07 14:32:44,333.0,25.0,225.0,87.0,187.0,4.0,5.0,3346.0,Collection of database clients for python.,12.0,0,True,2024-03-07 14:32:51.000,2024.03.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-14 13:40:13.000000,2024-03-07 14:32:44,333.0,25.0,225.0,87.0,187.0,4.0,5.0,3346.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-03-07 14:32:51.000,2024.03.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-14 13:40:13.000000,2024-03-07 14:32:44,333.0,25.0,225.0,87.0,187.0,4.0,5.0,3346.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-03-07 14:32:51.000,2024.03.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-03-14 14:12:58.000000,2024-03-14 13:22:08,161541.0,4059.0,73741.0,7650.0,24247.0,2219.0,36929.0,181282.0,An Open Source Machine Learning Framework for Everyone.,4567.0,56,True,2024-03-08 23:51:46.000,2.15.1,193.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],365653.0,350065.0,https://pypi.org/project/tensorflow,2024-03-09 00:23:14.000,15588.0,21224553.0,21546337.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4504983.0,https://hub.docker.com/r/tensorflow/tensorflow,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-03-14 14:08:07.000000,2024-03-14 13:35:15,70561.0,3054.0,20467.0,1693.0,81104.0,13530.0,27697.0,76516.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4714.0,54,True,2024-02-22 21:15:00.000,2.2.1,50.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],419303.0,406685.0,https://pypi.org/project/torch,2024-02-22 19:14:18.000,12618.0,20974347.0,21656838.0,https://anaconda.org/pytorch/pytorch,2024-02-21 17:09:02.139,20462832.0,,1.0,35767.0,,,,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-03-14 14:00:02.000000,2024-03-13 18:12:42,31102.0,356.0,25151.0,2146.0,16942.0,2292.0,9106.0,57652.0,scikit-learn: machine learning in Python.,3088.0,51,True,2024-02-15 16:07:32.000,1.4.1.post1,76.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],752808.0,721306.0,https://pypi.org/project/scikit-learn,2024-02-16 08:56:53.000,31502.0,59208130.0,59783315.0,https://anaconda.org/conda-forge/scikit-learn,2024-02-16 10:16:19.766,26458108.0,,1.0,942.0,,,,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-03-14 14:29:29.000000,2024-03-14 11:30:19,15354.0,592.0,24213.0,1088.0,15014.0,1022.0,13498.0,122083.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2468.0,50,True,2024-03-01 03:24:28.000,4.38.2,134.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",149943.0,146898.0,https://pypi.org/project/transformers,2024-03-01 03:24:16.000,3045.0,22133209.0,22168145.0,https://anaconda.org/conda-forge/transformers,2024-03-01 15:53:31.135,1537200.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
