,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-06-21 21:17:21.000000,2022-04-26 03:13:26,1295,26.0,461,97.0,183.0,46.0,79.0,2945,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-06-19 19:29:00.000000,2022-06-19 19:29:00,135,19.0,117,46.0,89.0,4.0,2.0,1564,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-06-16 17:42:17.000,2022.06.16,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-23 15:02:18.000000,2022-06-23 15:02:18,154,34.0,162,74.0,91.0,,4.0,2236,Collection of data-loading and -extraction libraries.,8.0,0,True,2022-06-23 15:02:23.000,2022.06.23,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-23 15:02:18.000000,2022-06-23 15:02:18,154,34.0,162,74.0,91.0,,4.0,2236,Collection of database clients for python.,8.0,0,True,2022-06-23 15:02:23.000,2022.06.23,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-23 15:02:18.000000,2022-06-23 15:02:18,154,34.0,162,74.0,91.0,,4.0,2236,"Collection of data-container, dataframe, and pandas-utility libraries.",8.0,0,True,2022-06-23 15:02:23.000,2022.06.23,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-23 15:02:18.000000,2022-06-23 15:02:18,154,34.0,162,74.0,91.0,,4.0,2236,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",8.0,0,True,2022-06-23 15:02:23.000,2022.06.23,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-06-23 13:39:15.171700,2022-06-23 13:25:44,131073,3973.0,86856,7842.0,21202.0,2345.0,32853.0,167951,An Open Source Machine Learning Framework for Everyone.,4021.0,55,True,2022-05-23 17:23:34.000,2.9.1,156.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],217618.0,203435.0,https://pypi.org/project/tensorflow,2022-05-23 17:23:34.000,14183.0,18546715.0,19428340.0,https://anaconda.org/conda-forge/tensorflow,2022-05-24 01:30:37.196,3396825.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-06-23 13:39:15.171700,2028.0,66070422.0,1.0,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-06-23 14:06:23.000000,2022-06-23 13:20:27,28573,437.0,23005,2182.0,13714.0,2226.0,7893.0,50518,scikit-learn: machine learning in Python.,2644.0,51,True,2022-05-19 13:35:21.000,1.1.1,63.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],388550.0,363202.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25348.0,34057746.0,34241175.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-19 17:53:26.305,13389601.0,,,,,1.0,799.0,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-06-23 13:57:47.000000,2022-06-23 13:57:12,10068,680.0,15251,831.0,8272.0,512.0,9133.0,65721,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1367.0,49,True,2022-06-21 19:30:11.000,4.20.1,96.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",31053.0,30102.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,951.0,7014167.0,7022485.0,https://anaconda.org/conda-forge/transformers,2022-06-22 04:08:06.674,265059.0,,,,,1.0,1507.0,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-06-23 14:02:51.000000,2022-06-23 10:19:57,47786,3002.0,15802,1599.0,53268.0,9793.0,18131.0,56881,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3343.0,49,True,2022-03-10 16:59:55.000,1.11.0,39.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6959.0,,https://pypi.org/project/torch,2022-03-10 16:38:35.000,6959.0,9623323.0,11555443.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,17388567.0,,,,,1.0,3957.0,,,,,,,,,,,,,,,,,,
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-06-23 14:17:03.000000,2022-06-23 12:43:35,43505,702.0,6387,582.0,14642.0,1839.0,7151.0,15690,matplotlib: plotting with Python.,1377.0,49,True,2022-05-03 06:44:48.000,3.5.2,91.0,matplotlib,conda-forge/matplotlib,,,,631790.0,577262.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,54528.0,29167546.0,29321412.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,12463218.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-06-23 15:23:35.000000,2022-06-23 08:57:44,28145,539.0,4250,331.0,8181.0,1763.0,6842.0,9782,"Ecosystem of open-source software for mathematics, science, and engineering.",1290.0,49,True,2022-05-18 13:22:14.000,1.8.1,78.0,scipy,conda-forge/scipy,,,,584825.0,527117.0,https://pypi.org/project/scipy,2022-05-18 12:26:12.000,57708.0,44233917.0,44569439.0,https://anaconda.org/conda-forge/scipy,2022-05-20 22:11:37.335,24185839.0,,,,,1.0,349491.0,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-06-23 06:59:58.000000,2022-06-23 06:59:28,13412,480.0,1856,211.0,3792.0,135.0,2437.0,9892,The friendly PIL fork (Python Imaging Library).,401.0,47,True,2022-05-17 16:46:23.000,9.1.1,88.0,Pillow,conda-forge/pillow,,,,833654.0,770746.0,https://pypi.org/project/Pillow,2022-05-17 16:34:46.000,62908.0,48266608.0,48481879.0,https://anaconda.org/conda-forge/pillow,2022-06-15 13:38:25.992,15930103.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
13,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-06-23 12:08:52.000000,2022-06-22 18:47:27,6949,195.0,2637,273.0,2771.0,392.0,2584.0,10887,Network Analysis in Python.,600.0,45,True,2022-06-14 04:04:30.000,2.8.4,79.0,networkx,conda-forge/networkx,,,,124227.0,110807.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13420.0,21329847.0,21430430.0,https://anaconda.org/conda-forge/networkx,2022-06-14 14:05:11.499,6839707.0,,,,,1.0,60.0,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-06-23 09:57:01.000000,2022-06-22 18:25:14,7072,386.0,19092,1945.0,5340.0,335.0,11086.0,55501,Deep Learning for humans.,1075.0,44,True,2022-05-13 20:03:15.000,2.9.0,65.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],301.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,301.0,10748226.0,10781710.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2343906.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
