,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-04-11 14:10:38.000000,2024-04-08 09:13:56,1547.0,11.0,672.0,116.0,322.0,58.0,136.0,4550.0,Benchmarks of approximate nearest neighbor libraries in Python.,102.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-04-11 09:57:43.000000,2024-04-11 09:57:43,328.0,29.0,161.0,54.0,195.0,,3.0,2157.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-04-04 17:10:54.000,2024.04.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-11 13:37:06.000000,2024-04-04 14:54:32,341.0,24.0,225.0,86.0,191.0,4.0,5.0,3391.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-04-04 14:54:40.000,2024.04.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-11 13:37:06.000000,2024-04-04 14:54:32,341.0,24.0,225.0,86.0,191.0,4.0,5.0,3391.0,Collection of database clients for python.,12.0,0,True,2024-04-04 14:54:40.000,2024.04.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-11 13:37:06.000000,2024-04-04 14:54:32,341.0,24.0,225.0,86.0,191.0,4.0,5.0,3391.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-04-04 14:54:40.000,2024.04.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-11 13:37:06.000000,2024-04-04 14:54:32,341.0,24.0,225.0,86.0,191.0,4.0,5.0,3391.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-04-04 14:54:40.000,2024.04.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-04-11 14:11:44.000000,2024-04-11 13:42:22,162759.0,4379.0,73838.0,7640.0,25829.0,2267.0,37117.0,184533.0,An Open Source Machine Learning Framework for Everyone.,4587.0,57,True,2024-03-09 00:23:14.000,2.16.1,193.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],373866.0,358193.0,https://pypi.org/project/tensorflow,2024-03-09 00:23:14.000,15673.0,23111717.0,24173920.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4534774.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-04-11 13:22:19.820675,2368.0,76748480.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-04-11 13:51:11.000000,2024-04-11 13:18:06,71623.0,3377.0,20838.0,1696.0,82451.0,13757.0,28225.0,77416.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4770.0,55,True,2024-03-27 22:27:02.000,2.2.2,51.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],436969.0,423807.0,https://pypi.org/project/torch,2024-03-27 21:06:18.000,13162.0,26218428.0,26890655.0,https://anaconda.org/pytorch/pytorch,2024-03-26 22:24:03.907,20826128.0,,,,,1.0,38024.0,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-04-11 14:05:19.000000,2024-04-11 14:02:00,31190.0,390.0,24967.0,2144.0,17065.0,2191.0,9156.0,57967.0,scikit-learn: machine learning in Python.,3103.0,52,True,2024-04-09 20:07:22.000,1.4.2,77.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],776579.0,744653.0,https://pypi.org/project/scikit-learn,2024-04-09 19:53:06.000,31926.0,64084777.0,64664472.0,https://anaconda.org/conda-forge/scikit-learn,2024-04-11 09:12:54.843,27245247.0,,,,,1.0,944.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-04-11 14:10:19.000000,2024-04-11 13:04:46,15576.0,688.0,24637.0,1094.0,15315.0,1054.0,13700.0,124089.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2525.0,51,True,2024-04-02 09:36:10.000,4.39.3,138.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",159480.0,156272.0,https://pypi.org/project/transformers,2024-04-02 09:36:00.000,3208.0,24387841.0,24422978.0,https://anaconda.org/conda-forge/transformers,2024-04-02 14:17:57.574,1581168.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
