,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-01-25 14:05:16.000000,2023-01-25 14:05:16,1326.0,22.0,473,96.0,197.0,46.0,102.0,3199,Benchmarks of approximate nearest neighbor libraries in Python.,75.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-01-19 17:35:05.000000,2023-01-19 17:35:03,196.0,22.0,135,52.0,122.0,,2.0,1791,Collection of web-scraping and crawling libraries.,9.0,0,True,2023-01-19 17:35:11.000,2023.01.19,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-26 13:46:31.000000,2023-01-19 16:07:05,212.0,20.0,204,84.0,123.0,2.0,4.0,2782,Collection of data-loading and -extraction libraries.,9.0,0,True,2023-01-19 16:07:11.000,2023.01.19,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-26 13:46:31.000000,2023-01-19 16:07:05,212.0,20.0,204,84.0,123.0,2.0,4.0,2782,Collection of database clients for python.,9.0,0,True,2023-01-19 16:07:11.000,2023.01.19,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-26 13:46:31.000000,2023-01-19 16:07:05,212.0,20.0,204,84.0,123.0,2.0,4.0,2782,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2023-01-19 16:07:11.000,2023.01.19,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-26 13:46:31.000000,2023-01-19 16:07:05,212.0,20.0,204,84.0,123.0,2.0,4.0,2782,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2023-01-19 16:07:11.000,2023.01.19,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-01-26 13:49:12.925943,2023-01-26 13:05:17,142273.0,4412.0,87697,7787.0,22486.0,2363.0,34436.0,172767,An Open Source Machine Learning Framework for Everyone.,4252.0,55,True,2022-11-18 06:01:33.000,2.11.0,171.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],255542.0,241259.0,https://pypi.org/project/tensorflow,2022-11-18 05:40:24.645,14283.0,14844912.0,19610187.0,https://anaconda.org/conda-forge/tensorflow,2023-01-08 21:26:45.867,3940889.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-01-26 13:49:12.925943,2096.0,70897239.0,1.0,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-01-26 14:10:10.000000,2023-01-26 13:46:17,29530.0,372.0,23869,2164.0,14860.0,2139.0,8350.0,52675,scikit-learn: machine learning in Python.,2844.0,52,True,2023-01-24 16:52:14.000,1.2.1,68.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],474030.0,448367.0,https://pypi.org/project/scikit-learn,2022-08-05 14:46:05.647,25663.0,32486801.0,32715569.0,https://anaconda.org/conda-forge/scikit-learn,2023-01-25 02:09:45.686,18300658.0,,,,,1.0,838.0,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-01-26 14:02:33.000000,2023-01-26 13:05:37,56017.0,2833.0,17286,1630.0,62231.0,10645.0,20757.0,62067,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3809.0,50,True,2022-12-16 00:17:16.000,1.13.1,43.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],7625.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7625.0,7872970.0,9263640.0,https://anaconda.org/pytorch/pytorch,2022-12-15 16:18:09.640,22248627.0,,,,,1.0,9990.0,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-01-26 12:40:40.000000,2023-01-26 12:40:24,45691.0,902.0,6696,589.0,15838.0,1891.0,7670.0,16758,matplotlib: plotting with Python.,1462.0,50,True,2023-01-12 02:25:00.396,3.6.3,98.0,matplotlib,conda-forge/matplotlib,,,,768806.0,713755.0,https://pypi.org/project/matplotlib,2022-10-08 09:47:16.868,55051.0,28792982.0,28968664.0,https://anaconda.org/conda-forge/matplotlib,2023-01-18 23:53:01.224,15460081.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
