,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,updated_github_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-08-23 18:32:44.000000,2023-08-23 18:32:44,1514.0,47.0,573,107.0,298.0,44.0,123.0,3990,Benchmarks of approximate nearest neighbor libraries in Python.,94.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-08-24 16:49:11.000000,2023-08-24 16:49:10,261.0,24.0,148,51.0,156.0,1.0,2.0,1996,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-08-24 16:49:17.000,2023.08.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-31 13:35:31.000000,2023-08-24 13:57:29,276.0,25.0,216,88.0,158.0,4.0,4.0,3126,Collection of data-loading and -extraction libraries.,11.0,0,True,2023-08-24 13:57:37.000,2023.08.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-31 13:35:31.000000,2023-08-24 13:57:29,276.0,25.0,216,88.0,158.0,4.0,4.0,3126,Collection of database clients for python.,11.0,0,True,2023-08-24 13:57:37.000,2023.08.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-31 13:35:31.000000,2023-08-24 13:57:29,276.0,25.0,216,88.0,158.0,4.0,4.0,3126,"Collection of data-container, dataframe, and pandas-utility libraries.",11.0,0,True,2023-08-24 13:57:37.000,2023.08.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-31 13:35:31.000000,2023-08-24 13:57:29,276.0,25.0,216,88.0,158.0,4.0,4.0,3126,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",11.0,0,True,2023-08-24 13:57:37.000,2023.08.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-08-31 14:04:31.000000,2023-08-31 13:10:54,153162.0,4309.0,71702,7693.0,23331.0,1902.0,35938.0,179477,An Open Source Machine Learning Framework for Everyone.,4429.0,55,True,2023-07-05 19:49:02.000,2.12.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],301560.0,301560.0,https://pypi.org/project/tensorflow,16370151.0,17783287.0,https://anaconda.org/conda-forge/tensorflow,2023-07-21 23:54:54.123,4316694.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-08-31 12:49:16.240108,2200.0,74071353.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-08-31 13:54:58.000000,2023-08-30 13:30:16,30328.0,316.0,23696,2156.0,16022.0,1603.0,8766.0,55550,scikit-learn: machine learning in Python.,2979.0,52,True,2023-06-30 08:07:27.000,1.3.0,42.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],590205.0,590205.0,https://pypi.org/project/scikit-learn,41923946.0,42540601.0,https://anaconda.org/conda-forge/scikit-learn,2023-06-30 12:52:16.828,24049191.0,,,,,1.0,893.0,,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-08-31 14:08:29.000000,2023-08-31 14:08:20,13861.0,805.0,22056,1054.0,12944.0,782.0,12022.0,111041,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2103.0,50,True,2023-08-28 12:48:30.000,4.32.1,116.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",97980.0,95841.0,https://pypi.org/project/transformers,16084849.0,16119618.0,https://anaconda.org/conda-forge/transformers,2023-08-28 22:53:19.607,1286349.0,,,,,1.0,142.0,2023-08-28 12:45:23.000,2139.0,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-08-31 14:12:04.000000,2023-08-31 14:11:54,48250.0,720.0,7018,588.0,16942.0,1495.0,8525.0,17976,matplotlib: plotting with Python.,1552.0,50,True,2023-07-20 16:03:46.939,1.0.0,114.0,matplotlib,conda-forge/matplotlib,,,,991585.0,930314.0,https://pypi.org/project/matplotlib,37536619.0,38068454.0,https://anaconda.org/conda-forge/matplotlib,2023-08-18 18:51:57.826,20209748.0,,,,,1.0,,2023-08-10 03:12:45.000,61271.0,,,,,,,,,,,,,,,,,,,
