,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-10-04 13:33:13.000000,2022-10-04 13:33:13,1304.0,5.0,462,96.0,188.0,46.0,81.0,3100,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-10-14 10:47:33.000000,2022-10-14 10:47:31,170.0,25.0,129,48.0,108.0,,2.0,1702,Collection of web-scraping and crawling libraries.,9.0,0,True,2022-10-14 10:47:40.000,2022.10.13,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-20 14:23:06.000000,2022-10-14 10:48:35,188.0,24.0,176,78.0,111.0,2.0,4.0,2536,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-10-14 10:48:41.000,2022.10.13,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-20 14:23:06.000000,2022-10-14 10:48:35,188.0,24.0,176,78.0,111.0,2.0,4.0,2536,Collection of database clients for python.,9.0,0,True,2022-10-14 10:48:41.000,2022.10.13,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-20 15:50:19.000000,2022-10-20 15:50:19,190.0,26.0,176,78.0,111.0,2.0,4.0,2536,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-10-20 15:50:25.000,2022.10.20,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-20 15:50:19.000000,2022-10-20 15:50:19,190.0,26.0,176,78.0,111.0,2.0,4.0,2536,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-10-20 15:50:25.000,2022.10.20,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-10-20 14:20:45.000000,2022-10-20 14:20:45,29128.0,396.0,23538,2176.0,14355.0,2128.0,8151.0,51787,scikit-learn: machine learning in Python.,2763.0,52,True,2022-08-05 22:48:17.000,1.1.2,64.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],822.0,34949410.0,428914.0,403248.0,https://pypi.org/project/scikit-learn,2022-08-05 14:46:05.647,25666.0,34737434.0,https://anaconda.org/conda-forge/scikit-learn,2022-08-05 23:30:56.710,16321429.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-10-20 14:16:23.000000,2022-10-20 05:10:52,44638.0,877.0,6527,582.0,15234.0,1915.0,7409.0,16289,matplotlib: plotting with Python.,1418.0,50,True,2022-10-08 09:49:54.000,3.6.1,96.0,matplotlib,conda-forge/matplotlib,,,29582094.0,696053.0,640993.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,55060.0,29416626.0,https://anaconda.org/conda-forge/matplotlib,2022-10-11 18:56:24.032,14064796.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-10-20 14:36:21.000000,2022-10-20 13:13:35,11090.0,826.0,16442,861.0,9505.0,555.0,9791.0,72593,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1574.0,49,True,2022-10-11 12:02:53.000,4.23.1,100.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",624.0,8206772.0,38596.0,37621.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,975.0,8192244.0,https://anaconda.org/conda-forge/transformers,2022-10-12 03:48:29.314,522521.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-10-20 14:30:58.000000,2022-10-20 14:20:19,52869.0,2917.0,16633,1611.0,58244.0,10453.0,19376.0,59713,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3604.0,49,True,2022-08-05 19:35:19.000,1.12.1,41.0,torch,pytorch/pytorch,['pytorch'],7138.0,10074028.0,7631.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7631.0,8523950.0,https://anaconda.org/pytorch/pytorch,2022-08-04 21:19:08.482,20149763.0,1.0,https://pytorch.org/docs/stable/index.html,-1.0,,,,,,,,,,,,,,,,,,,,,,,
