,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,gitlab_id,gitlab_url
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-02-23 09:14:10.000000,2021-02-03 11:59:35.000000,326,25.0,58.0,2065,1173.0,Benchmarks of approximate nearest neighbor libraries in Python.,53.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-02-25 15:26:09.000000,2021-02-18 16:33:46.000000,61,,2.0,1041,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-02-18 16:33:55.000000,2021.02.18,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-02-25 15:11:42.000000,2021-02-25 15:11:40.000000,90,,2.0,1435,,Collection of database clients for python.,5.0,0,True,2021-02-25 15:11:49.000000,2021.02.25,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-02-25 14:04:33.000000,2021-02-25 14:03:39.000000,84074,4030.0,26592.0,155369,105420.0,An Open Source Machine Learning Framework for Everyone.,3540.0,44,True,2021-01-21 19:55:54.000000,2.4.1,116.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],146260.0,123736.0,https://pypi.org/project/tensorflow,2021-01-21 19:38:00.000000,22524.0,3998796.0,4801719.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 22:30:18.070000,2341365.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-02-25 13:46:48.332025,1849.0,48084081.0,1.0,,,,,,,,,,,,,,,,,,,,,,
4,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-02-25 13:10:12.000000,2021-02-25 02:50:45.000000,5279,2271.0,7356.0,16371,25645.0,The fundamental package for scientific computing with Python.,1263.0,42,True,2021-02-07 21:07:19.000000,1.20.1,96.0,numpy,conda-forge/numpy,,,,803594.0,633872.0,https://pypi.org/project/numpy,2021-02-07 20:27:20.000000,169722.0,27816182.0,28114448.0,https://anaconda.org/conda-forge/numpy,2021-02-10 11:44:00.243000,16653695.0,,,,,1.0,310900.0,,,,,,,,,,,,,,,,,,,,,
5,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-02-25 14:24:22.000000,2021-02-20 18:15:26.000000,5646,1688.0,6027.0,13187,38000.0,matplotlib: plotting with Python.,1206.0,41,True,2021-01-28 08:54:50.000000,3.3.4,62.0,matplotlib,conda-forge/matplotlib,,,,409985.0,330881.0,https://pypi.org/project/matplotlib,2021-01-28 08:34:18.000000,79104.0,7588910.0,7715980.0,https://anaconda.org/conda-forge/matplotlib,2021-01-28 20:05:11.672000,8259579.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
6,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-02-25 14:51:52.000000,2021-02-25 13:40:45.000000,11915,3657.0,16542.0,28633,26009.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2599.0,40,True,2021-02-09 13:20:50.000000,1.2.2,89.0,pandas,conda-forge/pandas,,,['pandas'],76784.0,,https://pypi.org/project/pandas,2021-02-09 13:20:50.000000,76784.0,18255048.0,18507418.0,https://anaconda.org/conda-forge/pandas,2021-02-09 18:54:54.454000,14319974.0,,,,,1.0,97156.0,,,,,,,,,,,,,,,,,,,,,
7,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-02-25 15:00:56.000000,2021-02-24 03:05:51.000000,3578,1593.0,5756.0,7945,25070.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1125.0,40,True,2021-02-18 03:16:09.000000,1.6.1,61.0,scipy,conda-forge/scipy,,,,394728.0,307866.0,https://pypi.org/project/scipy,2021-02-18 02:35:14.000000,86862.0,10978800.0,11206978.0,https://anaconda.org/conda-forge/scipy,2021-02-05 14:18:57.636000,12744753.0,,,,,1.0,307275.0,,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-02-25 14:11:25.000000,2021-02-25 08:43:57.000000,12201,7846.0,13046.0,46423,33840.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2517.0,39,True,2020-12-10 17:19:58.000000,1.7.1,30.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],70565.0,63883.0,https://pypi.org/project/torch,2020-12-10 16:22:02.000000,6682.0,1279184.0,1541141.0,https://anaconda.org/pytorch/pytorch,2020-12-10 16:11:32.801000,10216334.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
9,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-02-25 12:51:04.000000,2021-02-24 09:04:53.000000,1584,256.0,1887.0,8249,11183.0,The friendly PIL fork (Python Imaging Library).,347.0,39,True,2021-01-02 20:13:09.000000,8.1.0,77.0,Pillow,conda-forge/pillow,,,,519319.0,407893.0,https://pypi.org/project/Pillow,2021-01-02 20:11:59.000000,111426.0,10307273.0,10432661.0,https://anaconda.org/conda-forge/pillow,2021-02-08 21:04:14.986000,7272560.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
