,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,helm_id,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-04-15 14:58:41.000000,2025-04-15 14:58:40,1582.0,7.0,756.0,117.0,355.0,78.0,155.0,5242.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,185.0,57.0,205.0,,3.0,2497.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,270.0,97.0,200.0,7.0,6.0,3940.0,Collection of data-loading and -extraction libraries.,13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,270.0,97.0,200.0,7.0,6.0,3940.0,Collection of database clients for python.,13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,270.0,97.0,200.0,7.0,6.0,3940.0,"Collection of data-container, dataframe, and pandas-utility libraries.",13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,270.0,97.0,200.0,7.0,6.0,3940.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-04-24 14:15:35.000000,2025-04-24 13:27:10,179199.0,4080.0,74593.0,7504.0,49683.0,7513.0,39588.0,192270.0,An Open Source Machine Learning Framework for Everyone.,4847.0,56,True,2025-03-12 01:04:13.000,2.19.0,207.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],512775.0,504061.0,https://pypi.org/project/tensorflow,2025-03-12 01:04:13.000,8714.0,21648243.0,22448265.0,https://anaconda.org/conda-forge/tensorflow,2025-04-22 14:56:20.356,5480112.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-04-24 12:51:42.279459,2745.0,79538502.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-04-24 14:17:31.000000,2025-04-24 14:17:22,86919.0,3343.0,23946.0,1780.0,101135.0,16304.0,35642.0,89350.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5550.0,55,True,2025-04-23 16:16:06.000,2.7.0,59.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],757590.0,733517.0,https://pypi.org/project/torch,2025-04-23 14:30:40.000,24073.0,48139374.0,48762185.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,26745466.0,,,,,1.0,84929.0,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-04-24 14:08:39.000000,2025-04-24 14:08:38,18773.0,896.0,28627.0,1148.0,20090.0,1740.0,16060.0,143418.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",3208.0,54,True,2025-04-24 14:07:11.000,4.51.3-Qwen2.5-Omni-preiew,179.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",352934.0,344573.0,https://pypi.org/project/transformers,2025-04-14 08:13:43.000,8361.0,61651041.0,61698913.0,https://anaconda.org/conda-forge/transformers,2025-04-22 14:57:14.678,2728707.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-04-24 07:52:27.000000,2025-04-24 07:52:27,32385.0,271.0,25769.0,2139.0,18668.0,2167.0,9892.0,61838.0,scikit-learn: machine learning in Python.,3290.0,53,True,2025-01-10 10:51:11.000,1.6.1,84.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1220120.0,1190616.0,https://pypi.org/project/scikit-learn,2025-01-10 08:05:56.000,29504.0,93228625.0,93832381.0,https://anaconda.org/conda-forge/scikit-learn,2025-04-22 14:56:23.760,35621128.0,,,,,1.0,1053.0,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-04-23 14:01:12.000000,2025-04-23 14:01:11,35032.0,552.0,5306.0,352.0,12111.0,1723.0,9314.0,13557.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1772.0,50,True,2025-02-17 01:57:38.000,1.15.2,113.0,scipy,conda-forge/scipy,,,,1363742.0,1313236.0,https://pypi.org/project/scipy,2025-02-17 00:28:56.000,50506.0,138122512.0,139279665.0,https://anaconda.org/conda-forge/scipy,2025-04-22 14:56:23.716,61108918.0,,,,,1.0,486173.0,,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-04-24 08:57:20.000000,2025-04-24 08:57:17,52386.0,446.0,7781.0,585.0,19099.0,1615.0,9567.0,21097.0,matplotlib: plotting with Python.,1800.0,49,True,2025-02-27 19:18:10.000,3.10.1,132.0,matplotlib,conda-forge/matplotlib,,,,1757590.0,1701473.0,https://pypi.org/project/matplotlib,2025-02-27 19:18:10.000,56117.0,84534506.0,85043935.0,https://anaconda.org/conda-forge/matplotlib,2025-04-22 14:56:20.111,29546914.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-04-22 14:56:22.841000,2025-04-22 13:27:36,60031.0,600.0,4666.0,291.0,13923.0,5316.0,9096.0,13558.0,A computer algebra system written in pure Python.,1369.0,49,True,2025-04-14 22:30:48.000,1.14.0rc1,65.0,sympy,conda-forge/sympy,,,,258160.0,253908.0,https://pypi.org/project/sympy,2025-04-14 22:30:20.000,4252.0,49010956.0,49160160.0,https://anaconda.org/conda-forge/sympy,2025-04-22 14:56:22.841,8569647.0,,,,,1.0,557828.0,,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-04-22 14:56:22.479000,2025-04-21 09:14:08,19456.0,305.0,2269.0,218.0,5443.0,108.0,3210.0,12734.0,Python Imaging Library (Fork).,485.0,48,True,2025-04-12 17:56:01.000,11.2.1,102.0,Pillow,conda-forge/pillow,,,,2242058.0,2228352.0,https://pypi.org/project/Pillow,2025-04-12 17:47:10.000,13706.0,142352354.0,143281976.0,https://anaconda.org/conda-forge/pillow,2025-04-22 14:56:22.479,52988465.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
