,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-08-15 12:39:01.000000,2022-08-15 12:39:01,1301.0,6.0,461,94.0,187.0,46.0,79.0,3016,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-08-18 16:11:28.000000,2022-08-11 17:31:20,151.0,23.0,124,47.0,97.0,,2.0,1626,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-08-11 17:31:25.000,2022.08.11,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-08-18 15:48:34.000000,2022-08-18 15:48:34,172.0,34.0,172,75.0,100.0,1.0,4.0,2382,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-08-18 15:48:40.000,2022.08.18,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-08-18 15:48:34.000000,2022-08-18 15:48:34,172.0,34.0,172,75.0,100.0,1.0,4.0,2382,Collection of database clients for python.,9.0,0,True,2022-08-18 15:48:40.000,2022.08.18,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-08-18 15:48:34.000000,2022-08-18 15:48:34,172.0,34.0,172,75.0,100.0,1.0,4.0,2382,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-08-18 15:48:40.000,2022.08.18,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-08-18 15:48:34.000000,2022-08-18 15:48:34,172.0,34.0,172,75.0,100.0,1.0,4.0,2382,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-08-18 15:48:40.000,2022.08.18,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-08-18 15:48:36.000000,2022-08-18 13:54:40,133758.0,3973.0,87057,7820.0,21449.0,2356.0,33240.0,169224,An Open Source Machine Learning Framework for Everyone.,4084.0,55,True,2022-05-23 17:23:34.000,2.9.1,158.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],225801.0,211514.0,https://pypi.org/project/tensorflow,2022-05-23 17:23:34.000,14287.0,13924882.0,14801383.0,https://anaconda.org/conda-forge/tensorflow,2022-07-20 02:50:33.065,3541468.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-08-18 15:41:29.980797,2046.0,67271152.0,1.0,20.0,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-08-18 15:47:40.000000,2022-08-17 13:17:30,28829.0,402.0,23319,2181.0,14028.0,2144.0,8036.0,51089,scikit-learn: machine learning in Python.,2707.0,51,True,2022-08-05 22:48:17.000,1.1.2,64.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],408611.0,382945.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25666.0,30810116.0,31004831.0,https://anaconda.org/conda-forge/scikit-learn,2022-08-05 23:30:56.710,14602913.0,,,,,1.0,,809.0,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-08-18 15:49:18.000000,2022-08-18 15:24:18,50848.0,4223.0,16127,1605.0,55711.0,9845.0,18736.0,58063,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3459.0,50,True,2022-08-05 19:35:19.000,1.12.1,41.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],7631.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7631.0,8100294.0,9775939.0,https://anaconda.org/pytorch/pytorch,2022-08-04 21:19:08.482,18431275.0,,,,,1.0,,5335.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-08-18 15:34:48.000000,2022-08-18 15:34:48,10474.0,627.0,15251,846.0,8767.0,512.0,9444.0,68637,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1442.0,49,True,2022-08-04 14:06:01.000,4.21.1,98.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",34362.0,33387.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,975.0,5761850.0,5772420.0,https://anaconda.org/conda-forge/transformers,2022-07-28 02:27:09.688,358269.0,,,,,1.0,,1524.0,,,,,,,,,,,,,,,,,,,
