,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-01-30 05:44:17.000000,2023-01-25 14:05:16,1326.0,22.0,476,96.0,200.0,46.0,102.0,3216,Benchmarks of approximate nearest neighbor libraries in Python.,75.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-02-02 22:51:16.000000,2023-02-02 22:51:15,200.0,22.0,136,51.0,124.0,,2.0,1803,Collection of web-scraping and crawling libraries.,9.0,0,True,2023-02-02 22:51:26.000,2023.02.02,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-02-09 14:03:17.000000,2023-02-09 14:03:17,218.0,24.0,204,84.0,125.0,2.0,4.0,2806,Collection of data-loading and -extraction libraries.,9.0,0,True,2023-02-09 14:03:28.000,2023.02.09,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-02-09 14:03:17.000000,2023-02-09 14:03:17,218.0,24.0,204,84.0,125.0,2.0,4.0,2806,Collection of database clients for python.,9.0,0,True,2023-02-09 14:03:28.000,2023.02.09,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-02-09 14:03:17.000000,2023-02-09 14:03:17,218.0,24.0,204,84.0,125.0,2.0,4.0,2806,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2023-02-09 14:03:28.000,2023.02.09,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-02-09 14:03:17.000000,2023-02-09 14:03:17,218.0,24.0,204,84.0,125.0,2.0,4.0,2806,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2023-02-09 14:03:28.000,2023.02.09,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-02-09 13:48:59.785882,2023-02-09 13:37:46,142990.0,4388.0,87747,7776.0,22571.0,2294.0,34582.0,173132,An Open Source Machine Learning Framework for Everyone.,4262.0,55,True,2022-11-18 06:01:33.000,2.11.0,171.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],257998.0,243648.0,https://pypi.org/project/tensorflow,2022-11-18 05:40:24.645,14350.0,15702139.0,20487308.0,https://anaconda.org/conda-forge/tensorflow,2023-01-08 21:26:45.867,3967355.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-02-09 13:48:59.785882,2102.0,71149869.0,1.0,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-02-09 13:55:22.000000,2023-02-09 12:22:20,29569.0,365.0,23894,2161.0,14914.0,2139.0,8381.0,52838,scikit-learn: machine learning in Python.,2854.0,52,True,2023-01-24 16:52:14.000,1.2.1,68.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],480265.0,454154.0,https://pypi.org/project/scikit-learn,2023-01-24 16:44:32.680,26111.0,34959818.0,35189811.0,https://anaconda.org/conda-forge/scikit-learn,2023-01-25 02:09:45.686,18628683.0,,,,,1.0,843.0,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-02-09 13:50:48.000000,2023-02-09 13:32:57,56562.0,2850.0,17343,1633.0,62975.0,11016.0,21020.0,62524,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3826.0,50,True,2022-12-16 00:17:16.000,1.13.1,43.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],7823.0,,https://pypi.org/project/torch,2022-12-15 20:09:57.027,7823.0,8466243.0,9795225.0,https://anaconda.org/pytorch/pytorch,2022-12-15 16:18:09.640,22590377.0,,,,,1.0,10567.0,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-02-09 10:52:44.000000,2023-02-09 10:52:44,45804.0,897.0,6711,591.0,15896.0,1880.0,7697.0,16846,matplotlib: plotting with Python.,1468.0,50,True,2023-01-12 02:25:00.396,3.6.3,99.0,matplotlib,conda-forge/matplotlib,,,,779436.0,722952.0,https://pypi.org/project/matplotlib,2023-01-25 21:23:43.941,56484.0,31571324.0,31747217.0,https://anaconda.org/conda-forge/matplotlib,2023-01-27 21:59:53.409,15654503.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
