,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-01-14 19:20:38.000000,2024-01-10 20:21:25,1536.0,1.0,661.0,112.0,308.0,54.0,132.0,4326.0,Benchmarks of approximate nearest neighbor libraries in Python.,99.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-01-18 23:23:42.000000,2024-01-18 23:23:41,301.0,24.0,158.0,52.0,179.0,,3.0,2110.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-01-18 23:23:48.000,2024.01.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-25 13:51:38.000000,2024-01-18 15:41:34,319.0,24.0,222.0,88.0,180.0,4.0,5.0,3286.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-01-18 15:41:39.000,2024.01.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-25 13:51:38.000000,2024-01-18 15:41:34,319.0,24.0,222.0,88.0,180.0,4.0,5.0,3286.0,Collection of database clients for python.,12.0,0,True,2024-01-18 15:41:39.000,2024.01.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-25 13:51:38.000000,2024-01-18 15:41:34,319.0,24.0,222.0,88.0,180.0,4.0,5.0,3286.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-01-18 15:41:39.000,2024.01.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-25 13:51:38.000000,2024-01-18 15:41:34,319.0,24.0,222.0,88.0,180.0,4.0,5.0,3286.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-01-18 15:41:39.000,2024.01.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-01-25 13:55:48.000000,2024-01-25 13:55:42,158855.0,3247.0,72055.0,7659.0,23617.0,1902.0,36712.0,182448.0,An Open Source Machine Learning Framework for Everyone.,4533.0,54,True,2023-11-14 18:46:08.000,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],337656.0,337656.0,https://pypi.org/project/tensorflow,16731922.0,17878263.0,https://anaconda.org/conda-forge/tensorflow,2024-01-21 19:21:14.956,4466242.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-01-25 13:49:05.047352,2256.0,75867211.0,1.0,19.0,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-01-25 13:44:50.000000,2024-01-25 13:25:36,68686.0,3094.0,19669.0,1684.0,78660.0,12406.0,26911.0,74791.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4609.0,54,True,2023-12-15 01:59:57.000,2.1.2,48.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],380358.0,380358.0,https://pypi.org/project/torch,15896075.0,16612687.0,https://anaconda.org/pytorch/pytorch,2023-12-14 15:11:56.517,20054767.0,,,,,1.0,,32735.0,,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-01-25 14:15:00.000000,2024-01-25 14:05:29,30885.0,315.0,25048.0,2149.0,16689.0,2276.0,9001.0,57159.0,scikit-learn: machine learning in Python.,3062.0,52,True,2024-01-19 10:57:04.000,1.4.0-1,75.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],717841.0,686863.0,https://pypi.org/project/scikit-learn,44864656.0,45455499.0,https://anaconda.org/conda-forge/scikit-learn,2024-01-19 10:17:08.879,25996691.0,,,,,1.0,,935.0,2024-01-18 09:21:23.000,30978.0,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-01-25 14:06:43.000000,2024-01-25 14:06:38,14976.0,657.0,22688.0,1073.0,14492.0,730.0,13127.0,119224.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2372.0,50,True,2024-01-24 16:15:23.000,4.37.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",132370.0,132370.0,https://pypi.org/project/transformers,18520937.0,18556484.0,https://anaconda.org/conda-forge/transformers,2024-01-25 00:26:17.305,1493003.0,,,,,1.0,17.0,,,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-01-25 14:06:26.000000,2024-01-24 00:23:28,31489.0,447.0,4988.0,350.0,10284.0,1769.0,8180.0,12124.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1577.0,50,True,2024-01-20 22:00:44.000,1.12.0,99.0,scipy,conda-forge/scipy,,,,973645.0,907546.0,https://pypi.org/project/scipy,71039763.0,72218934.0,https://anaconda.org/conda-forge/scipy,2024-01-24 03:11:41.395,44662380.0,,,,,1.0,2.0,392385.0,2024-01-20 21:10:31.000,66099.0,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-01-25 11:52:50.000000,2024-01-25 01:26:25,49472.0,492.0,7143.0,591.0,17649.0,1162.0,8864.0,18775.0,matplotlib: plotting with Python.,1642.0,48,True,2023-11-18 01:36:36.000,3.7.4,80.0,matplotlib,conda-forge/matplotlib,,,,1069081.0,1069081.0,https://pypi.org/project/matplotlib,47648264.0,48150171.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21582002.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-01-25 11:24:29.000000,2024-01-24 19:40:03,17054.0,587.0,1957.0,224.0,4612.0,69.0,2920.0,11428.0,Python Imaging Library (Fork).,458.0,47,True,2024-01-02 09:38:41.000,10.2.0,54.0,Pillow,conda-forge/pillow,,,,1509168.0,1509168.0,https://pypi.org/project/Pillow,74301513.0,75151221.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,35687768.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-01-25 13:49:17.000000,2024-01-25 13:49:17,56947.0,397.0,4199.0,291.0,12884.0,4920.0,8628.0,11788.0,A computer algebra system written in pure Python.,1270.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,112126.0,107237.0,https://pypi.org/project/sympy,9831039.0,9888484.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4898182.0,,,,,1.0,,529823.0,2023-05-10 18:24:09.226,4889.0,,,,,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-01-25 11:55:20.000000,2024-01-24 08:29:57,16104.0,43.0,4354.0,556.0,3941.0,93.0,5454.0,28080.0,Industrial-strength Natural Language Processing (NLP) in Python.,748.0,45,True,2023-10-16 16:11:22.000,3.7.2,226.0,spacy,conda-forge/spacy,,,,81819.0,78870.0,https://pypi.org/project/spacy,5572224.0,5649388.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3318066.0,,,,,1.0,,,2023-10-16 16:09:47.000,2949.0,,,,,,,,,,,,,,,,,,
15,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-01-25 13:53:14.000000,2024-01-25 06:42:37,19107.0,1066.0,2364.0,322.0,12222.0,1234.0,3642.0,26416.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",625.0,45,True,2023-12-14 07:26:26.000,jax-v0.4.23,93.0,jax,conda-forge/jaxlib,,,,21288.0,21288.0,https://pypi.org/project/jax,4812171.0,4836156.0,https://anaconda.org/conda-forge/jaxlib,2023-12-23 22:02:22.397,1031377.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
16,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-01-25 14:15:11.000000,2024-01-25 09:37:28,10084.0,241.0,3052.0,246.0,9860.0,652.0,6044.0,25748.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",926.0,45,True,2023-12-21 15:14:18.000,2.1.3,106.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],28330.0,28330.0,https://pypi.org/project/pytorch-lightning,4392636.0,4417226.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-21 18:47:20.324,1039614.0,,,,,1.0,,14049.0,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-01-25 09:03:20.000000,2024-01-25 06:54:21,6732.0,119.0,8692.0,910.0,4942.0,412.0,4708.0,25251.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",634.0,45,True,2023-12-19 21:59:17.000,2.0.3,80.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,80585.0,78777.0,https://pypi.org/project/xgboost,11793627.0,11901119.0,https://anaconda.org/conda-forge/xgboost,2024-01-19 09:21:22.082,4511875.0,,,,,1.0,,8008.0,2023-12-19 21:59:17.000,1808.0,,,,,,,,,,,,,,,,,,
18,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-01-25 14:02:54.000000,2024-01-25 12:04:24,46246.0,1861.0,5208.0,726.0,43293.0,1011.0,16659.0,21271.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1157.0,45,True,2024-01-08 06:43:49.000,2.6.0,61.0,paddlepaddle,,,,['paddle'],4551.0,4551.0,https://pypi.org/project/paddlepaddle,179550.0,179722.0,,,,,,,,1.0,,15368.0,,,,,,,,,,,,,,,,,,,,
19,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-01-25 10:03:49.000000,2024-01-24 06:01:29,20368.0,84.0,4205.0,443.0,5955.0,760.0,6806.0,18519.0,"Interactive Data Visualization in the browser, from Python.",680.0,45,True,2024-01-08 19:07:44.000,3.3.3,192.0,bokeh,conda-forge/bokeh,,,,86098.0,82290.0,https://pypi.org/project/bokeh,3333891.0,3643145.0,https://anaconda.org/conda-forge/bokeh,2024-01-08 21:10:28.843,13297951.0,,,,,1.0,,,2024-01-25 04:23:23.000,3808.0,,,,,,,,,,,,,,,,,,
20,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-01-24 22:24:29.000000,2024-01-18 10:54:02,15247.0,132.0,2616.0,279.0,3843.0,2552.0,2731.0,9239.0,Statsmodels: statistical modeling and econometrics in Python.,422.0,45,True,2023-12-14 14:31:51.000,0.14.1,26.0,statsmodels,conda-forge/statsmodels,,,,113048.0,113048.0,https://pypi.org/project/statsmodels,11976472.0,12257955.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12103776.0,,,,,1.0,,30.0,,,,,,,,,,,,,,,,,,,,
21,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-01-25 14:19:27.000000,2024-01-25 10:08:29,5260.0,341.0,3785.0,292.0,7308.0,1326.0,2303.0,16340.0,Open source platform for the machine learning lifecycle.,690.0,44,True,2023-12-14 15:34:34.000,2.9.2,87.0,mlflow,conda-forge/mlflow,,,,29792.0,29256.0,https://pypi.org/project/mlflow,14273760.0,14313478.0,https://anaconda.org/conda-forge/mlflow,2023-12-14 16:11:35.887,1707879.0,,,,,1.0,,,2023-12-14 05:30:49.000,536.0,,,,,,,,,,,,,,,,,,
22,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-01-23 17:22:14.000000,2024-01-23 14:35:13,6291.0,60.0,2414.0,281.0,1592.0,1408.0,1377.0,14758.0,The interactive graphing library for Python This project now includes Plotly Express!.,252.0,44,True,2023-10-25 19:52:56.000,5.18.0,294.0,plotly,conda-forge/plotly,,,,239297.0,233733.0,https://pypi.org/project/plotly,10614091.0,10749354.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5182489.0,,,,,1.0,,,2023-10-25 19:43:41.000,5557.0,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,7.0,17480.0,,,,,,,,,,,,
23,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-01-25 13:07:25.000000,2024-01-25 13:04:48,3229.0,35.0,1754.0,259.0,1084.0,114.0,2344.0,11624.0,Statistical data visualization in Python.,210.0,44,True,2024-01-25 13:21:20.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,352994.0,352994.0,https://pypi.org/project/seaborn,12690530.0,12875615.0,https://anaconda.org/conda-forge/seaborn,2024-01-03 20:19:50.194,7958561.0,,,,,1.0,,375.0,,,,,,,,,,,,,,,,,,,,
24,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-01-25 07:47:53.000000,2024-01-25 00:33:12,10250.0,353.0,18585.0,1913.0,6878.0,173.0,11377.0,60197.0,Deep Learning for humans.,1270.0,43,True,2024-01-20 20:12:15.000,3.0.4,58.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,13030534.0,13108719.0,https://anaconda.org/conda-forge/keras,2024-01-21 22:53:49.247,3361986.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
25,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-01-25 14:11:44.000000,2024-01-25 13:16:44,20468.0,818.0,5076.0,467.0,25975.0,3508.0,13352.0,29592.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,967.0,43,True,2024-01-19 00:28:32.000,ray-2.9.1,97.0,ray,conda-forge/ray-tune,,,,13827.0,13364.0,https://pypi.org/project/ray,2710324.0,2715268.0,https://anaconda.org/conda-forge/ray-tune,2024-01-24 15:18:39.187,182874.0,,,,,1.0,,193.0,2024-01-19 00:23:03.000,463.0,,,,,,,,,,,,,,,,,,
26,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-01-25 11:47:36.000000,2024-01-25 07:43:13,6158.0,350.0,1776.0,145.0,3206.0,429.0,3138.0,25817.0,"Wrap UIs around any model, share with anyone.",247.0,43,True,2023-08-23 23:33:20.000,3.41.0,100.0,gradio,,,,,21557.0,21557.0,https://pypi.org/project/gradio,4742089.0,4742089.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
27,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-01-25 14:26:50.000000,2024-01-25 09:32:27,2640.0,71.0,3634.0,439.0,3075.0,301.0,2334.0,16273.0,Open standard for machine learning interoperability.,305.0,43,True,2023-10-31 17:04:56.000,1.15.0,31.0,onnx,conda-forge/onnx,,,,23765.0,23094.0,https://pypi.org/project/onnx,3909379.0,3930770.0,https://anaconda.org/conda-forge/onnx,2024-01-25 12:19:38.120,908485.0,,,,,1.0,,19848.0,2023-10-26 18:30:51.000,671.0,,,,,,,,,,,,,,,,,,
28,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-01-25 08:57:25.000000,2024-01-25 05:19:42,3414.0,50.0,3796.0,437.0,3061.0,343.0,2893.0,15817.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",295.0,43,True,2023-12-22 04:47:45.000,4.2.0,35.0,lightgbm,conda-forge/lightgbm,,,,29911.0,29039.0,https://pypi.org/project/lightgbm,6495198.0,6551941.0,https://anaconda.org/conda-forge/lightgbm,2023-12-22 13:12:54.633,2165314.0,,,,,2.0,,211570.0,2023-12-22 04:47:45.000,872.0,,,,,,,,,,,,,,,,,,
29,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-01-25 13:32:29.000000,2024-01-25 10:57:59,8039.0,142.0,1665.0,213.0,5662.0,1031.0,4087.0,11710.0,Parallel computing with task scheduling.,592.0,43,True,2024-01-12 21:50:35.000,2024.1.0,187.0,dask,conda-forge/dask,,,,59663.0,56545.0,https://pypi.org/project/dask,5737359.0,5979429.0,https://anaconda.org/conda-forge/dask,2024-01-13 01:04:10.654,10651113.0,,,,,1.0,,,2024-01-12 21:50:35.000,3118.0,,,,,,,stable/dask,,,,,,,,,,,
