,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-08-10 05:10:55.000000,2022-07-18 07:53:15,1299.0,4.0,461,94.0,187.0,46.0,79.0,3009,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-08-04 16:48:40.000000,2022-08-04 16:48:39,149.0,23.0,124,47.0,96.0,,2.0,1616,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-08-04 16:49:17.000,2022.08.04,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-08-11 14:26:33.000000,2022-08-11 14:26:33,170.0,34.0,172,75.0,99.0,1.0,4.0,2359,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-08-11 14:26:43.000,2022.08.11,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-08-11 14:26:33.000000,2022-08-11 14:26:33,170.0,34.0,172,75.0,99.0,1.0,4.0,2359,Collection of database clients for python.,9.0,0,True,2022-08-11 14:26:43.000,2022.08.11,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-08-11 14:26:33.000000,2022-08-11 14:26:33,170.0,34.0,172,75.0,99.0,1.0,4.0,2359,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-08-11 14:26:43.000,2022.08.11,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-08-11 14:26:33.000000,2022-08-11 14:26:33,170.0,34.0,172,75.0,99.0,1.0,4.0,2359,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-08-11 14:26:43.000,2022.08.11,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-08-11 14:12:37.000000,2022-08-11 11:58:58,28816.0,424.0,23313,2181.0,14007.0,2142.0,8031.0,51032,scikit-learn: machine learning in Python.,2704.0,51,True,2022-08-05 22:48:17.000,1.1.2,64.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],809.0,30791124.0,405933.0,380267.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25666.0,30598942.0,https://anaconda.org/conda-forge/scikit-learn,2022-08-05 23:30:56.710,14412919.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-08-11 14:19:54.000000,2022-08-11 13:36:22,50639.0,4309.0,16127,1605.0,55441.0,9845.0,18626.0,57918,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3450.0,50,True,2022-08-05 19:35:19.000,1.12.1,41.0,torch,pytorch/pytorch,['pytorch'],5079.0,9585443.0,7631.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7631.0,7922319.0,https://anaconda.org/pytorch/pytorch,2022-08-04 21:19:08.482,18293592.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-08-11 14:24:24.000000,2022-08-11 13:54:43,10432.0,649.0,15251,844.0,8702.0,512.0,9400.0,68144,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1441.0,49,True,2022-08-04 14:06:01.000,4.21.1,98.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",1519.0,5619385.0,33913.0,32938.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,975.0,5609177.0,https://anaconda.org/conda-forge/transformers,2022-07-28 02:27:09.688,345979.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-08-11 14:36:41.000000,2022-08-11 13:56:00,43837.0,636.0,6454,584.0,14819.0,1853.0,7244.0,15942,matplotlib: plotting with Python.,1395.0,49,True,2022-08-11 05:28:56.452,3.5.3,92.0,matplotlib,conda-forge/matplotlib,,,27071119.0,658229.0,603169.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,55060.0,26913601.0,https://anaconda.org/conda-forge/matplotlib,2022-07-28 18:36:05.784,13073995.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-08-11 13:40:36.000000,2022-08-11 08:38:10,28489.0,639.0,4371,331.0,8425.0,1727.0,6989.0,10062,"Ecosystem of open-source software for mathematics, science, and engineering.",1335.0,49,True,2022-07-29 13:54:16.000,1.9.0,82.0,scipy,conda-forge/scipy,,352939.0,41625212.0,607222.0,548995.0,https://pypi.org/project/scipy,2022-07-05 00:14:32.000,58227.0,41276733.0,https://anaconda.org/conda-forge/scipy,2022-07-30 10:53:47.560,25824539.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
