,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-11-22 18:28:10.000000,2022-11-22 18:28:10,1320.0,19.0,466,97.0,191.0,46.0,101.0,3135,Benchmarks of approximate nearest neighbor libraries in Python.,73.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-11-17 22:33:53.000000,2022-11-17 22:33:52,180.0,25.0,131,52.0,112.0,,2.0,1736,Collection of web-scraping and crawling libraries.,9.0,0,True,2022-11-17 22:33:58.000,2022.11.17,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-11-24 15:15:26.000000,2022-11-24 15:15:26,198.0,24.0,182,82.0,114.0,2.0,4.0,2623,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-11-24 15:15:33.000,2022.11.24,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-11-24 15:15:26.000000,2022-11-24 15:15:26,198.0,24.0,182,82.0,114.0,2.0,4.0,2623,Collection of database clients for python.,9.0,0,True,2022-11-24 15:15:33.000,2022.11.24,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-11-24 15:15:26.000000,2022-11-24 15:15:26,198.0,24.0,182,82.0,114.0,2.0,4.0,2623,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-11-24 15:15:33.000,2022.11.24,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-11-24 15:15:26.000000,2022-11-24 15:15:26,198.0,24.0,182,82.0,114.0,2.0,4.0,2623,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-11-24 15:15:33.000,2022.11.24,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-11-24 13:59:09.378934,2022-11-24 13:45:01,139214.0,4938.0,87481,7802.0,22216.0,2360.0,33966.0,171364,An Open Source Machine Learning Framework for Everyone.,4178.0,55,True,2022-11-18 06:01:33.000,2.11.0,171.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],240894.0,226611.0,https://pypi.org/project/tensorflow,2022-11-18 05:40:24.645,14283.0,15425027.0,16301375.0,https://anaconda.org/conda-forge/tensorflow,2022-09-25 19:15:48.038,3789268.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-11-24 13:59:09.378934,2078.0,69634648.0,1.0,20.0,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-11-24 14:06:01.000000,2022-11-24 13:32:14,29284.0,431.0,23629,2174.0,14554.0,2128.0,8231.0,52158,scikit-learn: machine learning in Python.,2791.0,52,True,2022-10-26 14:44:14.000,1.1.3,65.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],442336.0,416670.0,https://pypi.org/project/scikit-learn,2022-08-05 14:46:05.647,25666.0,35436538.0,35655909.0,https://anaconda.org/conda-forge/scikit-learn,2022-10-27 17:28:40.831,17110223.0,,,,,1.0,,828.0,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-11-24 13:48:13.000000,2022-11-23 20:09:21,11414.0,912.0,16782,859.0,9927.0,550.0,10004.0,74756,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1621.0,50,True,2022-11-01 15:45:13.000,4.24.0,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",41620.0,40645.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,975.0,8358589.0,8375024.0,https://anaconda.org/conda-forge/transformers,2022-11-03 07:57:01.121,607646.0,,,,,1.0,,625.0,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-11-24 14:02:32.000000,2022-11-24 14:01:12,54156.0,3009.0,16774,1617.0,59924.0,10537.0,19838.0,60515,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3718.0,50,True,2022-10-28 16:54:00.000,1.13.0,42.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],7631.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7631.0,8755833.0,10253969.0,https://anaconda.org/pytorch/pytorch,2022-10-26 20:56:37.700,20972371.0,,,,,1.0,,8209.0,,,,,,,,,,,,,,,,,,
