,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-05-23 14:57:21.000000,2023-05-23 14:57:21,1450.0,118.0,528.0,105.0,276.0,35.0,110.0,3645.0,Benchmarks of approximate nearest neighbor libraries in Python.,87.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-05-18 17:59:18.000000,2023-05-18 17:59:16,231.0,25.0,145.0,53.0,141.0,1.0,2.0,1902.0,Collection of web-scraping and crawling libraries.,10.0,0,True,2023-05-18 17:59:25.000,2023.05.18,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-05-25 13:33:32.000000,2023-05-18 16:03:31,247.0,25.0,209.0,85.0,143.0,4.0,4.0,2986.0,Collection of data-loading and -extraction libraries.,10.0,0,True,2023-05-18 16:03:46.000,2023.05.18,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-05-25 13:33:32.000000,2023-05-18 16:03:31,247.0,25.0,209.0,85.0,143.0,4.0,4.0,2986.0,Collection of database clients for python.,10.0,0,True,2023-05-18 16:03:46.000,2023.05.18,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-05-25 13:33:32.000000,2023-05-18 16:03:31,247.0,25.0,209.0,85.0,143.0,4.0,4.0,2986.0,"Collection of data-container, dataframe, and pandas-utility libraries.",10.0,0,True,2023-05-18 16:03:46.000,2023.05.18,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-05-25 13:33:32.000000,2023-05-18 16:03:31,247.0,25.0,209.0,85.0,143.0,4.0,4.0,2986.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",10.0,0,True,2023-05-18 16:03:46.000,2023.05.18,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-05-25 14:02:04.000000,2023-05-25 14:01:57,148425.0,4507.0,88385.0,7716.0,22992.0,2164.0,35316.0,177060.0,An Open Source Machine Learning Framework for Everyone.,4358.0,55,True,2023-03-23 15:50:02.000,2.12.0,176.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],293327.0,278342.0,https://pypi.org/project/tensorflow,2023-03-22 23:10:35.879,14985.0,15506370.0,17354654.0,https://anaconda.org/conda-forge/tensorflow,2023-03-27 12:39:49.535,4151497.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-05-25 12:47:21.965017,2154.0,72936953.0,1.0,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-05-25 14:13:02.000000,2023-05-25 08:26:50,29987.0,377.0,24295.0,2154.0,15493.0,2183.0,8564.0,54347.0,scikit-learn: machine learning in Python.,2923.0,52,True,2023-03-09 10:08:59.000,1.2.2,69.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],558530.0,530036.0,https://pypi.org/project/scikit-learn,2023-01-24 16:44:32.680,28494.0,35632517.0,35893328.0,https://anaconda.org/conda-forge/scikit-learn,2023-03-24 18:32:25.095,21907288.0,,,,,1.0,868.0,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-05-25 14:13:03.000000,2023-05-25 12:33:50,60545.0,3468.0,18402.0,1653.0,68078.0,11928.0,22865.0,67162.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4078.0,51,True,2023-05-08 19:55:19.000,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],9784.0,,https://pypi.org/project/torch,2022-12-15 20:09:57.027,9784.0,9964430.0,10774188.0,https://anaconda.org/pytorch/pytorch,2023-05-05 17:30:27.921,16191129.0,,,,,1.0,16235.0,6.0,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-05-25 14:17:46.000000,2023-05-25 02:57:42,47207.0,709.0,6905.0,588.0,16453.0,1698.0,8158.0,17434.0,matplotlib: plotting with Python.,1511.0,50,True,2023-03-04 07:29:28.961,3.7.1,101.0,matplotlib,conda-forge/matplotlib,,,,903716.0,843476.0,https://pypi.org/project/matplotlib,2023-01-25 21:23:43.941,60240.0,33131861.0,33333383.0,https://anaconda.org/conda-forge/matplotlib,2023-03-06 21:33:49.039,18540084.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
10,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-05-25 14:10:23.000000,2023-05-25 14:06:14,12981.0,848.0,19729.0,1015.0,11802.0,547.0,11142.0,101563.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1929.0,49,True,2023-05-16 19:47:56.000,4.29.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",72968.0,72968.0,https://pypi.org/project/transformers,,,13424750.0,13450860.0,https://anaconda.org/conda-forge/transformers,2023-05-17 02:53:51.924,1122627.0,,,,,1.0,140.0,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-05-25 13:38:38.000000,2023-05-25 11:56:57,30186.0,545.0,4696.0,347.0,9452.0,1675.0,7699.0,11273.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1463.0,49,True,2023-02-19 21:46:42.000,1.10.1,89.0,scipy,conda-forge/scipy,,,,801652.0,739026.0,https://pypi.org/project/scipy,2023-01-03 22:36:58.305,62626.0,55302514.0,55754678.0,https://anaconda.org/conda-forge/scipy,2023-05-12 19:18:42.399,37649112.0,,,,,1.0,372356.0,,,,,,,,,,,,,,,,,,
