,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-04-03 03:01:57.000000,2025-04-03 02:59:31,1579.0,9.0,753.0,117.0,352.0,77.0,155.0,5189.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,186.0,57.0,205.0,,3.0,2486.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,266.0,97.0,200.0,7.0,6.0,3919.0,Collection of data-loading and -extraction libraries.,13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,266.0,97.0,200.0,7.0,6.0,3919.0,Collection of database clients for python.,13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,266.0,97.0,200.0,7.0,6.0,3919.0,"Collection of data-container, dataframe, and pandas-utility libraries.",13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,1.0,266.0,97.0,200.0,7.0,6.0,3920.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-04-03 14:16:18.000000,2025-04-03 13:42:09,178147.0,4024.0,74593.0,7511.0,48166.0,7513.0,39539.0,191716.0,An Open Source Machine Learning Framework for Everyone.,4836.0,56,True,2025-03-12 01:04:13.000,2.19.0,207.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],498766.0,490109.0,https://pypi.org/project/tensorflow,2025-03-12 01:04:13.000,8657.0,20913097.0,21711137.0,https://anaconda.org/conda-forge/tensorflow,2025-03-25 16:00:02.350,5431724.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-04-03 12:50:06.766561,2732.0,79410425.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-04-03 14:18:25.000000,2025-04-03 14:18:18,86160.0,3363.0,23267.0,1783.0,100190.0,15553.0,35217.0,88581.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5509.0,55,True,2025-01-29 17:18:54.000,2.6.0,58.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],725376.0,701983.0,https://pypi.org/project/torch,2025-01-29 16:17:26.000,23393.0,41710251.0,42326143.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,26449069.0,,,,,1.0,82219.0,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-04-03 13:18:59.000000,2025-04-03 13:18:56,32315.0,272.0,25536.0,2141.0,18595.0,2103.0,9868.0,61633.0,scikit-learn: machine learning in Python.,3277.0,53,True,2025-01-10 10:51:11.000,1.6.1,84.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1168247.0,1141346.0,https://pypi.org/project/scikit-learn,2025-01-10 08:05:56.000,26901.0,88069184.0,88663207.0,https://anaconda.org/conda-forge/scikit-learn,2025-03-25 16:00:05.999,35046848.0,,,,,1.0,1048.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-04-03 13:24:11.000000,2025-04-03 13:15:53,18487.0,813.0,28450.0,1143.0,19723.0,1671.0,15934.0,142385.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",3148.0,52,True,2025-03-28 18:23:34.000,4.50.3-DeepSeek-3,175.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",332767.0,324604.0,https://pypi.org/project/transformers,2025-03-28 18:20:59.000,8163.0,53651767.0,53698176.0,https://anaconda.org/conda-forge/transformers,2025-03-28 21:39:26.873,2645369.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
