,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-06-10 02:05:22.000000,2025-06-10 02:05:22,1585.0,9.0,771.0,117.0,360.0,81.0,155.0,5305.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,187.0,57.0,205.0,,3.0,2525.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,,273.0,97.0,201.0,7.0,6.0,3992.0,Collection of data-loading and -extraction libraries.,13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,,273.0,97.0,201.0,7.0,6.0,3992.0,Collection of database clients for python.,13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,,273.0,97.0,201.0,7.0,6.0,3992.0,"Collection of data-container, dataframe, and pandas-utility libraries.",13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-03-11 09:47:21.000000,2025-03-11 09:47:21,361.0,,273.0,97.0,201.0,7.0,6.0,3992.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",13.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-06-12 14:21:21.000000,2025-06-12 13:37:16,181250.0,3890.0,74689.0,7490.0,52670.0,1356.0,39688.0,193108.0,An Open Source Machine Learning Framework for Everyone.,4877.0,56,True,2025-03-12 01:04:13.000,2.19.0,207.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],544447.0,535485.0,https://pypi.org/project/tensorflow,2025-03-12 01:04:13.000,8962.0,22305765.0,23094390.0,https://anaconda.org/conda-forge/tensorflow,2025-06-12 11:44:05.919,5589968.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-06-12 12:50:33.663643,2776.0,79796294.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-06-12 14:11:31.000000,2025-06-12 13:38:03,88941.0,3466.0,24341.0,1785.0,103626.0,16439.0,36627.0,90748.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5667.0,55,True,2025-06-04 18:13:15.000,2.7.1,60.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],836753.0,811455.0,https://pypi.org/project/torch,2025-06-04 17:34:39.000,25298.0,44104386.0,44713614.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,27376634.0,,,,,1.0,90278.0,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-06-12 14:28:03.000000,2025-06-12 14:15:35,19281.0,1034.0,29161.0,1151.0,20830.0,1804.0,16350.0,145509.0,"Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and..",3325.0,54,True,2025-06-11 14:59:35.000,4.52.4-VJEPA-2-preiew,184.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",402200.0,393316.0,https://pypi.org/project/transformers,2025-05-30 09:17:14.000,8884.0,60699529.0,60748587.0,https://anaconda.org/conda-forge/transformers,2025-05-30 12:30:21.449,2894453.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-06-12 11:12:32.000000,2025-06-12 11:12:31,32530.0,303.0,25897.0,2135.0,18880.0,2168.0,9960.0,62322.0,scikit-learn: machine learning in Python.,3328.0,53,True,2025-06-06 08:24:16.000,1.7.0,86.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1341001.0,1310198.0,https://pypi.org/project/scikit-learn,2025-06-05 22:01:43.000,30803.0,97203901.0,97808783.0,https://anaconda.org/conda-forge/scikit-learn,2025-06-09 17:21:32.320,36897290.0,,,,,1.0,1057.0,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-06-12 12:24:10.000000,2025-06-12 12:24:10,35451.0,626.0,5369.0,351.0,12299.0,1737.0,9386.0,13729.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1788.0,50,True,2025-05-08 16:20:25.000,1.15.3,116.0,scipy,conda-forge/scipy,,,,1439738.0,1384563.0,https://pypi.org/project/scipy,2025-06-08 17:39:17.000,55175.0,145971875.0,147132191.0,https://anaconda.org/conda-forge/scipy,2025-04-22 14:56:23.716,63585622.0,,,,,1.0,501543.0,,,,,,,,,,,,,,,,,,,
11,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-06-11 20:32:47.000000,2025-06-11 20:32:46,60306.0,509.0,4669.0,290.0,14011.0,5328.0,9134.0,13690.0,A computer algebra system written in pure Python.,1380.0,50,True,2025-04-27 18:05:25.000,1.14.0,67.0,sympy,conda-forge/sympy,,,,284529.0,280222.0,https://pypi.org/project/sympy,2025-04-27 18:04:59.000,4307.0,52235468.0,52389021.0,https://anaconda.org/conda-forge/sympy,2025-04-29 17:03:51.938,9128081.0,,,,,1.0,559681.0,,,,,,,,,,,,,,,,,,,
12,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-06-12 12:04:09.000000,2025-06-12 12:04:09,52609.0,399.0,7857.0,589.0,19259.0,1647.0,9622.0,21331.0,matplotlib: plotting with Python.,1813.0,49,True,2025-05-09 17:22:05.000,3.10.3,133.0,matplotlib,conda-forge/matplotlib,,,,1894139.0,1834206.0,https://pypi.org/project/matplotlib,2025-05-08 19:09:39.000,59933.0,88353245.0,88863437.0,https://anaconda.org/conda-forge/matplotlib,2025-05-15 21:25:31.306,30611537.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-06-12 13:25:41.000000,2025-06-12 00:02:13,25568.0,1153.0,6365.0,486.0,33085.0,4299.0,16568.0,37481.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1246.0,48,True,2025-06-11 19:35:47.000,2.47.0,129.0,ray,conda-forge/ray-tune,,,,26228.0,25250.0,https://pypi.org/project/ray,2025-06-11 19:35:47.000,978.0,14336645.0,14351378.0,https://anaconda.org/conda-forge/ray-tune,2025-05-12 00:05:17.242,795520.0,,,,,1.0,257.0,1.0,,,,,,,,,,,,,,,,,,
