,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,trending,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-10-04 13:33:13.000000,2022-10-04 13:33:13,1304.0,8.0,462,96.0,188.0,46.0,81.0,3085,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-09-29 17:09:02.000000,2022-09-29 17:09:02,166.0,25.0,128,48.0,106.0,,2.0,1682,Collection of web-scraping and crawling libraries.,9.0,0,True,2022-09-29 17:09:07.000,2022.09.29,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-06 14:15:01.000000,2022-09-29 17:12:39,184.0,24.0,176,78.0,109.0,2.0,4.0,2502,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-09-29 17:12:45.000,2022.09.29,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-06 14:15:01.000000,2022-09-29 17:12:39,184.0,24.0,176,78.0,109.0,2.0,4.0,2502,Collection of database clients for python.,9.0,0,True,2022-09-29 17:12:45.000,2022.09.29,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-06 14:15:01.000000,2022-09-29 17:12:39,184.0,24.0,176,78.0,109.0,2.0,4.0,2502,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-09-29 17:12:45.000,2022.09.29,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-06 14:15:01.000000,2022-09-29 17:12:39,184.0,24.0,176,78.0,109.0,2.0,4.0,2502,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-09-29 17:12:45.000,2022.09.29,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-10-06 14:35:14.000000,2022-10-06 11:10:57,29068.0,399.0,23488,2177.0,14289.0,2135.0,8119.0,51579,scikit-learn: machine learning in Python.,2756.0,52,True,2022-08-05 22:48:17.000,1.1.2,64.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],816.0,33872107.0,424157.0,398491.0,https://pypi.org/project/scikit-learn,2022-08-05 14:46:05.647,25666.0,33665323.0,https://anaconda.org/conda-forge/scikit-learn,2022-08-05 23:30:56.710,15921617.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-10-06 14:30:26.000000,2022-10-06 13:30:59,52373.0,4084.0,16526,1612.0,57643.0,10225.0,19179.0,59379,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3557.0,50,True,2022-08-05 19:35:19.000,1.12.1,41.0,torch,pytorch/pytorch,['pytorch'],6819.0,9642680.0,7631.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7631.0,8119097.0,https://anaconda.org/pytorch/pytorch,2022-08-04 21:19:08.482,19805378.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-10-06 14:48:18.000000,2022-10-06 09:04:01,10833.0,648.0,16356,857.0,9207.0,552.0,9693.0,71576,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1513.0,49,True,2022-09-27 22:57:05.806,4.22.2,100.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",817.0,7803922.0,37320.0,36345.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,975.0,7790237.0,https://anaconda.org/conda-forge/transformers,2022-09-28 03:51:42.615,492078.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-10-06 14:26:24.000000,2022-10-06 13:08:47,44520.0,830.0,6493,581.0,15142.0,1872.0,7369.0,16205,matplotlib: plotting with Python.,1412.0,49,True,2022-09-20 02:04:09.896,3.6.0,95.0,matplotlib,conda-forge/matplotlib,,,29443538.0,687545.0,632485.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,55060.0,29280605.0,https://anaconda.org/conda-forge/matplotlib,2022-09-16 21:01:32.016,13849379.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
