,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,new_addition,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id,updated_github_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-04-26 03:13:26.000000,2022-04-26 03:13:26,1295.0,29.0,437,96.0,181.0,39.0,79.0,2884,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-05-05 18:19:06.000000,2022-05-05 18:19:05,124.0,10.0,116,48.0,83.0,4.0,2.0,1526,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-05-05 18:19:11.000,2022.05.05,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-05-12 14:01:40.000000,2022-05-05 16:15:38,134.0,16.0,154,72.0,83.0,,4.0,2154,Collection of data-loading and -extraction libraries.,7.0,0,True,2022-05-05 16:15:53.000,2022.05.05,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-05-12 14:01:40.000000,2022-05-05 16:15:38,134.0,16.0,154,72.0,83.0,,4.0,2154,Collection of database clients for python.,7.0,0,True,2022-05-05 16:15:53.000,2022.05.05,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-05-12 14:01:40.000000,2022-05-05 16:15:38,134.0,16.0,154,72.0,83.0,,4.0,2154,"Collection of data-container, dataframe, and pandas-utility libraries.",7.0,0,True,2022-05-05 16:15:53.000,2022.05.05,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-05-12 13:33:44.000000,2022-05-12 13:33:31,129196.0,3923.0,86744,7861.0,21049.0,2427.0,32426.0,166851,An Open Source Machine Learning Framework for Everyone.,3996.0,55,True,2022-02-02 16:58:42.000,2.7.1,148.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],209980.0,195838.0,https://pypi.org/project/tensorflow,2022-05-04 17:06:15.000,14142.0,14777674.0,15659873.0,https://anaconda.org/conda-forge/tensorflow,2022-05-10 11:56:28.142,3273662.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-05-12 12:40:37.173354,2013.0,65361034.0,1.0,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-05-12 14:05:32.000000,2022-05-12 14:05:13,28378.0,510.0,22962,2187.0,13441.0,2240.0,7788.0,49993,scikit-learn: machine learning in Python.,2591.0,51,True,2021-12-25 20:30:08.000,1.0.2,61.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],372125.0,346873.0,https://pypi.org/project/scikit-learn,2022-04-28 12:19:14.000,25252.0,32805191.0,32978335.0,https://anaconda.org/conda-forge/scikit-learn,2022-04-28 17:27:22.195,12465694.0,,,,,1.0,794.0,,,,,,,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-05-12 14:10:03.000000,2022-05-12 11:08:15,9763.0,803.0,14743,804.0,7894.0,516.0,8868.0,62525,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1308.0,49,True,2022-04-07 18:08:23.000,4.18.0,89.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",28339.0,27467.0,https://pypi.org/project/transformers,2022-04-06 15:07:45.000,872.0,6325942.0,6332155.0,https://anaconda.org/conda-forge/transformers,2022-01-31 21:40:31.059,191533.0,,,,,1.0,1491.0,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-05-12 14:05:01.000000,2022-05-12 13:31:19,46252.0,2511.0,15497,1601.0,51293.0,11214.0,17699.0,55908,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3258.0,49,True,2022-03-10 16:59:55.000,1.11.0,39.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6959.0,,https://pypi.org/project/torch,2022-03-10 16:38:35.000,6959.0,8217166.0,10300844.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,16669034.0,,,,,1.0,3395.0,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-05-12 12:56:47.000000,2022-05-11 09:14:32,43173.0,720.0,6378,578.0,14459.0,1832.0,7042.0,15468,matplotlib: plotting with Python.,1361.0,49,True,2022-05-03 06:44:48.000,3.5.2,91.0,matplotlib,conda-forge/matplotlib,,,,607496.0,553237.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,54259.0,27397976.0,27546924.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,11915896.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
