,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-04-23 11:33:49.000000,2024-04-15 22:07:23,1551.0,15.0,685.0,116.0,325.0,60.0,136.0,4593.0,Benchmarks of approximate nearest neighbor libraries in Python.,103.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-04-18 17:08:05.000000,2024-04-18 17:08:04,332.0,29.0,162.0,54.0,197.0,,3.0,2166.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-04-18 17:08:10.000,2024.04.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-25 14:05:07.000000,2024-04-18 13:48:56,345.0,24.0,227.0,86.0,193.0,4.0,5.0,3407.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-04-18 13:49:04.000,2024.04.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-25 14:05:07.000000,2024-04-18 13:48:56,345.0,24.0,227.0,86.0,193.0,4.0,5.0,3407.0,Collection of database clients for python.,12.0,0,True,2024-04-18 13:49:04.000,2024.04.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-25 14:05:07.000000,2024-04-18 13:48:56,345.0,24.0,227.0,86.0,193.0,4.0,5.0,3407.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-04-18 13:49:04.000,2024.04.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-25 14:05:07.000000,2024-04-18 13:48:56,345.0,24.0,227.0,86.0,193.0,4.0,5.0,3407.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-04-18 13:49:04.000,2024.04.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-04-25 14:11:34.000000,2024-04-25 11:41:47,163419.0,4457.0,73872.0,7640.0,26703.0,2321.0,37209.0,184842.0,An Open Source Machine Learning Framework for Everyone.,4592.0,56,True,2024-03-09 00:23:14.000,2.16.1,193.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],378666.0,362938.0,https://pypi.org/project/tensorflow,2024-03-09 00:23:14.000,15728.0,22560575.0,23626670.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4562713.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-04-25 12:52:21.383092,2393.0,76953433.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-04-25 14:09:09.000000,2024-04-25 14:07:53,72262.0,3482.0,21034.0,1702.0,83162.0,14058.0,28380.0,77874.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4801.0,55,True,2024-04-24 16:12:17.000,2.3.0,52.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],446758.0,433387.0,https://pypi.org/project/torch,2024-04-24 15:44:27.000,13371.0,27781415.0,28461848.0,https://anaconda.org/pytorch/pytorch,2024-04-23 12:59:17.451,21080153.0,,,,,1.0,39063.0,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-04-25 14:11:39.000000,2024-04-25 11:54:27,31238.0,331.0,24972.0,2140.0,17111.0,2064.0,9244.0,58097.0,scikit-learn: machine learning in Python.,3110.0,52,True,2024-04-09 20:07:22.000,1.4.2,77.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],789213.0,757069.0,https://pypi.org/project/scikit-learn,2024-04-09 19:53:06.000,32144.0,65158142.0,65750045.0,https://anaconda.org/conda-forge/scikit-learn,2024-04-11 09:12:54.843,27819028.0,,,,,1.0,949.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-04-25 14:20:00.000000,2024-04-25 13:37:55,15720.0,730.0,24756.0,1092.0,15502.0,1082.0,13785.0,124997.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2542.0,51,True,2024-04-23 22:01:20.000,4.40.1,140.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",164787.0,161491.0,https://pypi.org/project/transformers,2024-04-23 22:01:10.000,3296.0,25871978.0,25907896.0,https://anaconda.org/conda-forge/transformers,2024-04-25 09:17:28.870,1616314.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2024-04-25 13:43:52.000000,2024-04-25 09:59:08,50170.0,534.0,7389.0,595.0,17923.0,1525.0,9028.0,19252.0,matplotlib: plotting with Python.,1667.0,50,True,2024-04-04 01:47:18.000,3.8.4,123.0,matplotlib,conda-forge/matplotlib,,,,1233258.0,1166754.0,https://pypi.org/project/matplotlib,2024-04-09 18:34:26.000,66504.0,63187934.0,63691104.0,https://anaconda.org/conda-forge/matplotlib,2024-04-09 16:56:24.718,23145861.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-04-25 14:51:02.000000,2024-04-25 10:30:12,32239.0,714.0,5012.0,348.0,10656.0,1807.0,8394.0,12450.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1621.0,50,True,2024-04-02 21:56:52.000,1.13.0,101.0,scipy,conda-forge/scipy,,,,1045610.0,977647.0,https://pypi.org/project/scipy,2024-04-02 21:41:20.000,67963.0,104862208.0,106018166.0,https://anaconda.org/conda-forge/scipy,2024-04-05 03:45:35.344,47238335.0,,,,,1.0,399436.0,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-04-25 15:21:12.000000,2024-04-24 22:12:34,57498.0,481.0,4293.0,295.0,13117.0,5027.0,8722.0,12384.0,A computer algebra system written in pure Python.,1295.0,48,True,2024-03-31 22:49:13.000,1.12.1rc1,55.0,sympy,conda-forge/sympy,,,,134581.0,129523.0,https://pypi.org/project/sympy,2024-03-31 22:48:43.000,5058.0,27251863.0,27312032.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,5318903.0,,,,,1.0,539440.0,,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-04-25 13:51:40.000000,2024-04-25 11:54:33,17717.0,628.0,2108.0,220.0,4794.0,89.0,2986.0,11690.0,Python Imaging Library (Fork).,466.0,48,True,2024-04-01 12:34:53.000,10.3.0,97.0,Pillow,conda-forge/pillow,,,,1631259.0,1629558.0,https://pypi.org/project/Pillow,2024-04-01 12:17:01.000,1701.0,94906351.0,95760720.0,https://anaconda.org/conda-forge/pillow,2024-04-03 15:56:48.771,38446606.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-04-25 14:01:36.000000,2024-04-24 21:29:24,10608.0,351.0,19341.0,1908.0,7134.0,203.0,11613.0,60937.0,Deep Learning for humans.,1292.0,47,True,2024-04-22 23:39:26.000,3.3.2,98.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],834.0,,https://pypi.org/project/keras,2024-04-22 23:37:45.000,834.0,17666768.0,17741711.0,https://anaconda.org/conda-forge/keras,2024-04-15 18:24:44.026,3447406.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-04-25 13:02:22.000000,2024-04-24 23:25:58,6271.0,214.0,2778.0,312.0,4371.0,799.0,3313.0,31642.0,Streamlit A faster way to build and share data apps.,226.0,46,True,2024-04-04 17:36:56.000,1.33.0,220.0,streamlit,,,,,364636.0,363066.0,https://pypi.org/project/streamlit,2024-04-04 17:36:47.000,1570.0,3941723.0,3941723.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2024-04-25 14:11:16.000000,2024-04-25 12:56:37,40704.0,1022.0,27927.0,2032.0,46199.0,198.0,,38357.0,Apache Spark Python API.,3054.0,45,True,2024-04-18 08:17:20.000,3.4.3,44.0,pyspark,conda-forge/pyspark,,,['spark'],1311.0,,https://pypi.org/project/pyspark,2024-04-18 08:17:20.000,1311.0,29755757.0,29823162.0,https://anaconda.org/conda-forge/pyspark,2024-03-03 13:07:40.821,3100646.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,
