,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,helm_id,trending,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-09-02 06:22:28.000000,2024-09-02 06:22:28,1567.0,8.0,695.0,117.0,338.0,62.0,145.0,4854.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,166.0,57.0,205.0,,3.0,2281.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,244.0,93.0,199.0,6.0,5.0,3608.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,244.0,93.0,199.0,6.0,5.0,3608.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,244.0,93.0,199.0,6.0,5.0,3608.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,244.0,93.0,199.0,6.0,5.0,3608.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-09-12 13:55:39.000000,2024-09-12 11:39:09,78369.0,3950.0,21955.0,1748.0,90559.0,14808.0,30969.0,82096.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5115.0,56,True,2024-09-04 19:59:29.000,2.4.1,55.0,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],56135.0,34749925.0,541233.0,522702.0,https://pypi.org/project/torch,2024-09-04 19:10:42.000,18531.0,34096619.0,https://anaconda.org/pytorch/pytorch,2024-09-03 16:47:49.313,23498006.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-09-12 14:10:27.000000,2024-09-12 13:35:25,169515.0,3744.0,74168.0,7600.0,35246.0,4672.0,38062.0,187997.0,An Open Source Machine Learning Framework for Everyone.,4676.0,55,True,2024-07-11 16:45:52.000,2.17.0,197.0,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],,18557042.0,415535.0,407733.0,https://pypi.org/project/tensorflow,2024-07-11 16:45:52.000,7802.0,17721716.0,https://anaconda.org/conda-forge/tensorflow,2024-08-31 23:00:17.783,4932825.0,1.0,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2024-09-12 12:48:44.377019,2550.0,78087020.0,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-09-12 14:11:15.000000,2024-09-12 14:03:15,16809.0,657.0,26184.0,1117.0,17322.0,1400.0,14622.0,131913.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2804.0,52,True,2024-08-22 16:56:32.000,4.44.2,157.0,transformers,conda-forge/transformers,,"['pytorch', 'tensorflow']",,36307192.0,219692.0,213574.0,https://pypi.org/project/transformers,2024-08-22 16:56:29.000,6118.0,36266783.0,https://anaconda.org/conda-forge/transformers,2024-08-23 08:59:54.225,2020487.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-09-12 13:12:10.000000,2024-09-12 13:12:10,31682.0,271.0,25248.0,2139.0,17700.0,2090.0,9564.0,59407.0,scikit-learn: machine learning in Python.,3178.0,52,True,2024-09-11 15:52:05.000,1.5.2,81.0,scikit-learn,conda-forge/scikit-learn,,['sklearn'],1021.0,71245435.0,908241.0,884112.0,https://pypi.org/project/scikit-learn,2024-09-11 15:49:19.000,24129.0,70652640.0,https://anaconda.org/conda-forge/scikit-learn,2024-09-11 20:00:28.266,30824857.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
