,name,github_id,pypi_id,conda_id,docs_url,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,projectrank_placing,github_release_downloads,helm_id,brew_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id
0,Tensorflow,tensorflow/tensorflow,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,ml-frameworks,['tensorflow'],https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-01-01 09:16:12.000000,2021-01-01 09:15:28.000000,83535.0,4248.0,25468.0,152055.0,102131.0,2020-12-14 18:16:52.000000,2.4.0,110.0,An Open Source Machine Learning Framework for Everyone.,137640.0,115116.0,3466.0,44,https://pypi.org/project/tensorflow,2020-12-14 17:58:05.000000,22524.0,6584867.0,6623558.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 22:30:18.070000,2244099.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
1,pandas,pandas-dev/pandas,pandas,conda-forge/pandas,,data-containers,['pandas'],https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-01-01 11:13:23.000000,2021-01-01 00:08:21.000000,11609.0,3552.0,16200.0,27870.0,25450.0,2020-12-26 16:56:45.000000,1.2.0,87.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",435231.0,358447.0,2554.0,43,https://pypi.org/project/pandas,2020-12-26 16:58:54.000000,76784.0,25109978.0,25341452.0,https://anaconda.org/conda-forge/pandas,2020-12-27 15:52:28.489000,12924336.0,True,1,57427.0,,,,,,,,,,,,,,,,,,,,,,,
2,numpy,numpy/numpy,numpy,conda-forge/numpy,,data-containers,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2020-12-31 23:39:03.000000,2020-12-31 00:35:20.000000,5089.0,2248.0,7218.0,15876.0,25156.0,2020-11-02 16:22:48.000000,1.19.4,93.0,The fundamental package for scientific computing with Python.,757318.0,587596.0,1229.0,42,https://pypi.org/project/numpy,2020-12-25 02:46:48.000000,169722.0,40062439.0,40333049.0,https://anaconda.org/conda-forge/numpy,2020-12-14 15:37:00.094000,14829503.0,True,1,289930.0,,,,,,,,,,,,,,,,,,,,,,,
3,scikit-learn,scikit-learn/scikit-learn,scikit-learn,conda-forge/scikit-learn,,ml-frameworks,['sklearn'],https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2020-12-31 19:10:32.000000,2020-12-22 22:31:29.000000,20767.0,2305.0,6575.0,43576.0,26390.0,2020-12-22 16:55:16.000000,0.24.0,52.0,scikit-learn: machine learning in Python.,216563.0,178675.0,2108.0,41,https://pypi.org/project/scikit-learn,2020-12-22 15:06:38.000000,37888.0,10217956.0,10327817.0,https://anaconda.org/conda-forge/scikit-learn,2020-12-22 17:47:32.588000,6151695.0,True,1,623.0,,,,,,,,,,,,,,,,,,,,,,,
4,Matplotlib,matplotlib/matplotlib,matplotlib,conda-forge/matplotlib,,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-01-01 11:08:08.000000,2021-01-01 11:08:06.000000,5541.0,1653.0,5906.0,12862.0,37501.0,2020-11-12 04:43:18.000000,3.3.3,61.0,matplotlib: plotting with Python.,385974.0,306870.0,1186.0,40,https://pypi.org/project/matplotlib,2020-11-12 04:43:18.000000,79104.0,9422444.0,9541938.0,https://anaconda.org/conda-forge/matplotlib,2020-11-18 02:20:26.810000,7647676.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
5,PyTorch,pytorch/pytorch,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,ml-frameworks,['pytorch'],https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-01-01 10:17:25.000000,2021-01-01 10:11:56.000000,11570.0,7100.0,12405.0,45155.0,32450.0,2020-12-10 17:19:58.000000,1.7.1,30.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,63671.0,56989.0,2443.0,39,https://pypi.org/project/torch,2020-12-10 16:22:02.000000,6682.0,1827230.0,2079090.0,https://anaconda.org/pytorch/pytorch,2020-12-10 16:11:32.801000,9570717.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
6,Scrapy,scrapy/scrapy,scrapy,conda-forge/scrapy,,web-scraping,,https://github.com/scrapy/scrapy,https://github.com/scrapy/scrapy,BSD-3-Clause,2010-02-22 02:01:14.000000,2020-12-31 14:50:34.000000,2020-12-30 14:22:27.000000,8964.0,750.0,1901.0,39334.0,8597.0,2020-11-17 21:01:36.000000,2.4.1,80.0,"Scrapy, a fast high-level web crawling & scraping framework for Python.",30163.0,21793.0,459.0,38,https://pypi.org/project/scrapy,2020-11-17 12:04:15.000000,8370.0,631065.0,638579.0,https://anaconda.org/conda-forge/scrapy,2020-11-17 15:41:21.756000,383247.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
7,PySpark,apache/spark,pyspark,conda-forge/pyspark,,ml-frameworks,['spark'],https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-01-01 10:00:50.000000,2020-12-31 21:34:55.000000,23144.0,204.0,,28434.0,28951.0,2020-09-07 15:29:07.000000,3.0.1,21.0,Apache Spark Python API.,1292.0,532.0,2378.0,38,https://pypi.org/project/pyspark,2020-09-07 15:29:07.000000,760.0,6724700.0,6743288.0,https://anaconda.org/conda-forge/pyspark,2020-09-07 17:29:01.440000,855060.0,True,1,,stable/spark,,,,,,,,,,,,,,,,,,,,,,
8,Pillow,python-pillow/Pillow,Pillow,conda-forge/pillow,,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-01-01 02:02:59.000000,2020-12-31 22:54:25.000000,1536.0,238.0,1845.0,8060.0,11025.0,2020-10-22 19:19:42.000000,8.0.1,76.0,The friendly PIL fork (Python Imaging Library).,484667.0,373241.0,343.0,38,https://pypi.org/project/Pillow,2020-10-22 19:17:46.000000,111426.0,14399335.0,14514546.0,https://anaconda.org/conda-forge/pillow,2020-11-07 11:52:48.847000,6567033.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
9,youtube-dl,ytdl-org/youtube-dl,youtube_dl,conda-forge/youtube-dl,,web-scraping,,https://github.com/ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Unlicense,2010-10-31 14:35:07.000000,2021-01-01 04:02:33.000000,2020-12-31 22:42:17.000000,3253.0,3861.0,19090.0,86358.0,18114.0,2020-12-30 22:19:20.000000,2020.12.31,931.0,Command-line program to download videos from YouTube.com and other video sites.,2854.0,,917.0,37,https://pypi.org/project/youtube_dl,2020-12-26 16:19:21.000000,2854.0,1965165.0,3480112.0,https://anaconda.org/conda-forge/youtube-dl,2020-12-31 00:55:00.694000,535312.0,True,1,45002347.0,,youtube-dl,,,,,,,,,,,,,,,,,,,,,
