,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-11-09 15:21:11.000000,2023-10-23 18:26:19,1535.0,19.0,607.0,107.0,304.0,45.0,131.0,4203.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-11-23 18:07:37.000000,2023-11-23 18:07:36,286.0,23.0,152.0,51.0,171.0,1.0,2.0,2068.0,Collection of web-scraping and crawling libraries.,13.0,0,True,2023-11-23 18:07:42.000,2023.11.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-30 13:39:49.000000,2023-11-23 16:09:47,303.0,25.0,222.0,87.0,172.0,4.0,4.0,3236.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-11-23 16:09:52.000,2023.11.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-30 13:39:49.000000,2023-11-23 16:09:47,303.0,25.0,222.0,87.0,172.0,4.0,4.0,3236.0,Collection of database clients for python.,12.0,0,True,2023-11-23 16:09:52.000,2023.11.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-30 13:39:49.000000,2023-11-23 16:09:47,303.0,25.0,222.0,87.0,172.0,4.0,4.0,3236.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-11-23 16:09:52.000,2023.11.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-30 13:39:49.000000,2023-11-23 16:09:47,303.0,25.0,222.0,87.0,172.0,4.0,4.0,3236.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2023-11-23 16:09:52.000,2023.11.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-11-30 14:10:57.000000,2023-11-30 14:10:51,156781.0,3412.0,89155.0,7676.0,23536.0,2088.0,36466.0,181339.0,An Open Source Machine Learning Framework for Everyone.,4499.0,54,True,2023-11-14 19:04:31.000,2.15.0,188.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],338504.0,323179.0,https://pypi.org/project/tensorflow,2023-11-14 19:04:31.000,15325.0,17351174.0,18577458.0,https://anaconda.org/conda-forge/tensorflow,2023-11-14 01:21:42.350,4428601.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-11-30 13:49:07.465887,2239.0,75208738.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-11-30 14:12:10.000000,2023-11-30 14:11:57,66902.0,3278.0,20012.0,1686.0,76337.0,13230.0,25986.0,73063.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4514.0,54,True,2023-11-15 22:59:33.000,2.1.1,47.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],363750.0,352215.0,https://pypi.org/project/torch,2023-11-15 16:42:26.000,11535.0,15201915.0,15957425.0,https://anaconda.org/pytorch/pytorch,2023-11-14 20:37:38.204,19634705.0,,,,,1.0,28427.0,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-11-30 13:38:51.000000,2023-11-29 16:21:30,30692.0,359.0,24776.0,2151.0,16426.0,2264.0,8927.0,56571.0,scikit-learn: machine learning in Python.,3017.0,52,True,2023-10-25 08:23:32.000,1.3.2,73.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],679133.0,648786.0,https://pypi.org/project/scikit-learn,2023-10-23 13:46:30.000,30347.0,43720444.0,44330145.0,https://anaconda.org/conda-forge/scikit-learn,2023-10-25 09:40:41.903,25607058.0,,,,,1.0,915.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-11-30 14:16:40.000000,2023-11-30 14:16:31,14606.0,729.0,23020.0,1084.0,14010.0,925.0,12737.0,116173.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2281.0,50,True,2023-11-15 16:39:42.000,4.35.2,125.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",120265.0,117749.0,https://pypi.org/project/transformers,2023-11-15 16:38:58.000,2516.0,17953372.0,17989721.0,https://anaconda.org/conda-forge/transformers,2023-11-17 08:43:43.342,1453999.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-11-30 14:16:13.000000,2023-11-30 10:48:02,49144.0,766.0,7296.0,591.0,17436.0,1535.0,8764.0,18485.0,matplotlib: plotting with Python.,1610.0,50,True,2023-11-18 03:45:11.000,3.7.4,119.0,matplotlib,conda-forge/matplotlib,,,,1079167.0,1015987.0,https://pypi.org/project/matplotlib,2023-11-18 03:45:11.000,63180.0,44121611.0,44642216.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21344831.0,,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-11-30 08:31:56.000000,2023-11-28 23:49:29,31175.0,385.0,4914.0,347.0,10063.0,1714.0,8080.0,11943.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1557.0,47,True,2023-11-18 21:48:38.000,1.11.4,98.0,scipy,conda-forge/scipy,,,,65179.0,21.0,https://pypi.org/project/scipy,2023-11-18 21:01:18.000,65158.0,65581638.0,66805552.0,https://anaconda.org/conda-forge/scipy,2023-11-24 10:16:45.681,43920819.0,,,,,1.0,389277.0,-2.0,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-11-30 10:58:40.000000,2023-11-30 10:58:40,16543.0,374.0,2108.0,224.0,4488.0,101.0,2879.0,11274.0,Python Imaging Library (Fork).,450.0,47,True,2023-10-15 13:05:17.000,10.1.0,95.0,Pillow,conda-forge/pillow,,,,1508326.0,1441146.0,https://pypi.org/project/Pillow,2023-10-15 13:01:25.000,67180.0,72937782.0,73813053.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,35010861.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-11-30 11:16:46.000000,2023-11-30 05:45:38,10124.0,547.0,19482.0,1913.0,6780.0,120.0,11296.0,59870.0,Deep Learning for humans.,1258.0,46,True,2023-11-28 13:52:47.000,3.0.0,86.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],709.0,21.0,https://pypi.org/project/keras,2023-11-28 13:52:47.000,688.0,13114154.0,13195401.0,https://anaconda.org/conda-forge/keras,2023-11-15 08:53:46.597,3331163.0,,,,,1.0,,-4.0,,,,,,,,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-11-30 11:04:51.000000,2023-11-29 22:36:22,56706.0,826.0,3998.0,289.0,12787.0,4826.0,8571.0,11586.0,A computer algebra system written in pure Python.,1261.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,100815.0,96030.0,https://pypi.org/project/sympy,2023-05-10 18:24:09.226,4785.0,9991396.0,10048322.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4743335.0,,,,,1.0,523738.0,,,,,,,,,,,,,,,,,,,
