,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,npm_latest_release_published_at,npm_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-12-22 20:04:44.000000,2023-10-23 18:26:19,1535.0,5.0,621.0,110.0,305.0,47.0,132.0,4279.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-12-28 17:09:02.000000,2023-12-28 17:09:01,295.0,24.0,156.0,51.0,176.0,,3.0,2094.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2023-12-28 17:09:09.000,2023.12.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-04 14:11:26.000000,2024-01-04 14:11:26,315.0,27.0,221.0,88.0,177.0,4.0,5.0,3266.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-01-04 14:11:33.000,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-04 14:11:26.000000,2024-01-04 14:11:26,315.0,27.0,221.0,88.0,177.0,4.0,5.0,3266.0,Collection of database clients for python.,12.0,0,True,2024-01-04 14:11:33.000,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-04 14:11:26.000000,2024-01-04 14:11:26,315.0,27.0,221.0,88.0,177.0,4.0,5.0,3266.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-01-04 14:11:33.000,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-04 14:11:26.000000,2024-01-04 14:11:26,315.0,27.0,221.0,88.0,177.0,4.0,5.0,3266.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-01-04 14:11:33.000,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-01-04 13:48:50.099999,2024-01-04 13:39:18,157927.0,3171.0,72001.0,7654.0,23591.0,1898.0,36635.0,182041.0,An Open Source Machine Learning Framework for Everyone.,4517.0,54,True,2023-11-14 18:46:08.000,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],332758.0,332758.0,https://pypi.org/project/tensorflow,16423193.0,17565781.0,https://anaconda.org/conda-forge/tensorflow,2023-12-22 04:01:45.812,4449850.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-01-04 13:48:50.099999,2246.0,75633317.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-01-04 14:06:47.000000,2024-01-04 14:00:11,67960.0,3126.0,19512.0,1680.0,77681.0,12241.0,26556.0,74102.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4570.0,54,True,2023-12-15 01:59:57.000,2.1.2,48.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],370322.0,370322.0,https://pypi.org/project/torch,14722978.0,15433594.0,https://anaconda.org/pytorch/pytorch,2023-12-14 15:11:56.517,19887340.0,,,,,1.0,31201.0,,,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-01-04 14:12:22.000000,2024-01-04 13:28:45,30766.0,254.0,24013.0,2149.0,16539.0,1636.0,8968.0,56943.0,scikit-learn: machine learning in Python.,3028.0,52,True,2023-10-25 08:23:32.000,1.3.2,45.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],673097.0,673097.0,https://pypi.org/project/scikit-learn,42514776.0,43102348.0,https://anaconda.org/conda-forge/scikit-learn,2023-12-20 20:44:10.007,25852746.0,,,,,1.0,930.0,,,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-01-04 13:53:07.000000,2024-01-04 08:53:25,14828.0,682.0,23432.0,1071.0,14302.0,902.0,12970.0,118112.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2333.0,50,True,2023-12-18 18:44:02.000,4.36.2,128.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",129769.0,127103.0,https://pypi.org/project/transformers,18251360.0,18286516.0,https://anaconda.org/conda-forge/transformers,2023-12-19 03:00:23.210,1476585.0,,,,,1.0,,2023-12-18 18:24:40.000,2666.0,,,,,,,,,,,,,,,,,,,
