,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,new_addition,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-06-06 14:48:21.000000,2022-04-26 03:13:26,1295,26.0,461,97.0,182.0,46.0,79.0,2935,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-06-19 19:29:00.000000,2022-06-19 19:29:00,135,19.0,117,46.0,89.0,4.0,2.0,1560,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-06-16 17:42:17.000,2022.06.16,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-19 20:32:10.000000,2022-06-19 19:50:56,148,28.0,161,73.0,89.0,,4.0,2228,Collection of data-loading and -extraction libraries.,7.0,0,True,2022-06-16 14:44:34.000,2022.06.16,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-19 20:32:10.000000,2022-06-19 19:50:56,148,28.0,161,73.0,89.0,,4.0,2228,Collection of database clients for python.,7.0,0,True,2022-06-16 14:44:34.000,2022.06.16,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-19 20:32:10.000000,2022-06-19 19:50:56,148,28.0,161,73.0,89.0,,4.0,2228,"Collection of data-container, dataframe, and pandas-utility libraries.",7.0,0,True,2022-06-16 14:44:34.000,2022.06.16,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-19 20:32:10.000000,2022-06-19 19:50:56,148,28.0,161,73.0,89.0,,4.0,2228,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",7.0,0,True,2022-06-16 14:44:34.000,2022.06.16,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-06-19 15:17:34.614567,2022-06-19 13:19:37,130941,4120.0,86856,7845.0,21192.0,2345.0,32810.0,167838,An Open Source Machine Learning Framework for Everyone.,4019.0,55,True,2022-05-23 17:23:34.000,2.9.1,156.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],216985.0,202802.0,https://pypi.org/project/tensorflow,2022-05-23 17:23:34.000,14183.0,18355253.0,19235951.0,https://anaconda.org/conda-forge/tensorflow,2022-05-24 01:30:37.196,3386663.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-06-19 15:17:34.614567,2028.0,66007898.0,1.0,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-06-19 18:35:32.000000,2022-06-17 17:05:52,28536,425.0,23005,2180.0,13674.0,2226.0,7877.0,50467,scikit-learn: machine learning in Python.,2632.0,51,True,2022-05-19 13:35:21.000,1.1.1,63.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],387259.0,361911.0,https://pypi.org/project/scikit-learn,2022-05-19 13:35:21.000,25348.0,33448895.0,33631123.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-19 17:53:26.305,13301925.0,,,,,1.0,799.0,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-06-19 18:49:39.000000,2022-06-18 06:35:03,10030,695.0,15251,818.0,8229.0,512.0,9105.0,65413,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1359.0,49,True,2022-06-16 16:20:16.000,4.20.0,95.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",30805.0,29857.0,https://pypi.org/project/transformers,2022-06-16 16:19:54.000,948.0,7186133.0,7194250.0,https://anaconda.org/conda-forge/transformers,2022-06-18 07:38:38.507,258660.0,,,,,1.0,1503.0,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-06-19 17:11:39.000000,2022-06-19 15:41:27,47630,2979.0,15588,1600.0,53059.0,9967.0,18098.0,56763,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3330.0,49,True,2022-03-10 16:59:55.000,1.11.0,39.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6959.0,,https://pypi.org/project/torch,2022-03-10 16:38:35.000,6959.0,9660910.0,11584572.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,17312471.0,,,,,1.0,3848.0,,,,,,,,,,,,,,,,,,
