,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,updated_github_id,apt_id,yum_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,new_addition,bitbucket_id
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-11-17 11:32:13.000000,2021-11-01 09:00:26.000000,394,38.0,71.0,2607.0,1246.0,Benchmarks of approximate nearest neighbor libraries in Python.,62.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-11-17 18:43:58.000000,2021-11-17 18:43:57.000000,92,4.0,2.0,1366.0,,Collection of web-scraping and crawling libraries.,7.0,0,True,2021-11-17 18:45:05.000000,2021.11.17,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,True,data-loading,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-11-17 18:33:54.000000,2021-11-17 18:33:54.000000,136,,4.0,1819.0,,Collection of data-loading and -extraction libraries.,5.0,0,True,2021-11-17 18:34:10.000000,2021.11.17,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-11-17 18:33:54.000000,2021-11-17 18:33:54.000000,136,,4.0,1819.0,,Collection of database clients for python.,5.0,0,True,2021-11-17 18:34:10.000000,2021.11.17,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-11-17 18:21:05.000000,2021-11-17 18:19:24.000000,85814,2822.0,30686.0,162607.0,121290.0,An Open Source Machine Learning Framework for Everyone.,3856.0,44,True,2021-11-04 21:39:30.000000,2.7.0,139.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],190023.0,167499.0,https://pypi.org/project/tensorflow,2021-11-04 21:19:34.000000,22524.0,12758656.0,13657736.0,https://anaconda.org/conda-forge/tensorflow,2021-11-04 08:45:02.671000,2902632.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-11-17 14:36:20.548465,1963.0,61660492.0,1.0,,,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-11-17 18:43:13.000000,2021-11-17 13:54:37.000000,13469,3543.0,18185.0,31712.0,28200.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2848.0,43,True,2021-10-17 16:42:57.000000,1.3.4,98.0,pandas,conda-forge/pandas,,,['pandas'],651038.0,574254.0,https://pypi.org/project/pandas,2021-10-17 16:42:57.000000,76784.0,70202398.0,70525208.0,https://anaconda.org/conda-forge/pandas,2021-11-06 20:35:19.852000,21216867.0,,,,,1.0,126325.0,,,,,,,,,,,,,,,,,,,,,
6,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-11-17 18:00:42.000000,2021-11-16 16:40:34.000000,3966,1824.0,6228.0,8809.0,26672.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1199.0,42,True,2021-11-06 04:56:05.000000,1.7.2,68.0,scipy,conda-forge/scipy,,,,510184.0,423322.0,https://pypi.org/project/scipy,2021-11-06 04:17:37.000000,86862.0,33435022.0,33732901.0,https://anaconda.org/conda-forge/scipy,2021-11-09 01:29:20.753000,19372181.0,,,,,1.0,331565.0,,,,,,,,,,,,,,,,,,,,,
7,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-11-17 09:52:16.000000,2021-11-17 09:52:15.000000,4134,484.0,4134.0,18225.0,11777.0,Asynchronous task queue/job queue based on distributed message passing.,1161.0,40,True,2021-11-16 14:56:22.000000,5.2.1,185.0,celery,conda-forge/celery,,,,89090.0,60856.0,https://pypi.org/project/celery,2021-11-16 14:56:13.000000,28234.0,4657399.0,4668437.0,https://anaconda.org/conda-forge/celery,2021-06-29 08:06:51.307000,750632.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-11-17 18:22:15.000000,2021-11-17 18:02:33.000000,12829,417.0,7820.0,54231.0,8335.0,"Transformers: State-of-the-art Natural Language Processing for Pytorch, TensorFlow, and JAX.",1066.0,39,True,2021-11-17 16:38:32.000000,4.12.5,79.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",18723.0,18595.0,https://pypi.org/project/transformers,2021-11-17 16:37:50.000000,128.0,3361055.0,3364398.0,https://anaconda.org/conda-forge/transformers,2021-11-17 09:42:32.048000,82616.0,,,,,1.0,1409.0,,,,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-11-17 18:16:04.000000,2021-11-17 17:29:08.000000,14250,10406.0,16056.0,52153.0,41815.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2963.0,39,True,2021-10-21 15:49:53.000000,1.10.0,36.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6682.0,,https://pypi.org/project/torch,2021-10-21 14:45:53.000000,6682.0,6381727.0,6671094.0,https://anaconda.org/pytorch/pytorch,2021-10-20 22:42:47.223000,13889440.0,,,,,1.0,303.0,,,,,,,,,,,,,,,,,,,,,
