,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,updated_github_id,npm_id,npm_url,npm_monthly_downloads,npm_latest_release_published_at,npm_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-02-29 07:25:50.000000,2024-02-29 07:25:49,1538.0,3.0,658.0,114.0,311.0,54.0,132.0,4406.0,Benchmarks of approximate nearest neighbor libraries in Python.,99.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-02-23 05:29:26.000000,2024-02-23 05:29:25,313.0,25.0,158.0,54.0,184.0,,3.0,2129.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-02-23 05:29:32.000,2024.02.22,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-29 13:59:37.000000,2024-02-23 05:30:29,329.0,24.0,222.0,87.0,185.0,4.0,5.0,3335.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-02-23 05:30:36.000,2024.02.22,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-29 13:59:37.000000,2024-02-23 05:30:29,329.0,24.0,222.0,87.0,185.0,4.0,5.0,3335.0,Collection of database clients for python.,12.0,0,True,2024-02-23 05:30:36.000,2024.02.22,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-29 13:59:37.000000,2024-02-23 05:30:29,329.0,24.0,222.0,87.0,185.0,4.0,5.0,3335.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-02-23 05:30:36.000,2024.02.22,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-02-29 13:59:37.000000,2024-02-23 05:30:29,329.0,24.0,222.0,87.0,185.0,4.0,5.0,3335.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-02-23 05:30:36.000,2024.02.22,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-02-29 14:15:03.000000,2024-02-29 14:14:52,160856.0,3958.0,73719.0,7656.0,23711.0,2068.0,36864.0,183333.0,An Open Source Machine Learning Framework for Everyone.,4551.0,56,True,2024-01-18 12:52:11.000,2.16.0,191.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],361768.0,346212.0,https://pypi.org/project/tensorflow,2024-02-23 19:34:11.000,15556.0,19529287.0,20644933.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4494470.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-02-29 13:52:19.057409,2290.0,76221977.0,1.0,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-02-29 14:03:46.000000,2024-02-29 11:43:52,70030.0,3069.0,20467.0,1693.0,80455.0,13530.0,27433.0,76009.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4680.0,54,True,2024-02-22 21:15:00.000,2.2.1,50.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],410792.0,398253.0,https://pypi.org/project/torch,2024-02-22 19:14:18.000,12539.0,19318932.0,20020275.0,https://anaconda.org/pytorch/pytorch,2024-02-21 17:09:02.139,20327609.0,,,,,1.0,34834.0,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-02-29 13:45:52.000000,2024-02-28 17:16:42,31054.0,356.0,25151.0,2146.0,16894.0,2292.0,9077.0,57529.0,scikit-learn: machine learning in Python.,3077.0,51,True,2024-02-15 16:07:32.000,1.4.1.post1,76.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],742238.0,710845.0,https://pypi.org/project/scikit-learn,2024-02-16 08:56:53.000,31393.0,53007028.0,53591741.0,https://anaconda.org/conda-forge/scikit-learn,2024-02-16 10:16:19.766,26311654.0,,,,,1.0,942.0,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-02-29 14:11:46.000000,2024-02-29 10:25:16,15233.0,619.0,23092.0,1083.0,14868.0,753.0,13391.0,121113.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2438.0,50,True,2024-02-22 00:24:34.000,4.38.1,102.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",142356.0,142356.0,https://pypi.org/project/transformers,,,22094595.0,22130024.0,https://anaconda.org/conda-forge/transformers,2024-02-22 03:59:30.230,1523460.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-02-29 14:31:13.000000,2024-02-29 13:49:54,31657.0,469.0,4851.0,349.0,10392.0,1526.0,8231.0,12229.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1592.0,50,True,2024-01-20 22:00:44.000,1.12.0,86.0,scipy,conda-forge/scipy,,,,932435.0,932435.0,https://pypi.org/project/scipy,,,85260421.0,86423868.0,https://anaconda.org/conda-forge/scipy,2024-01-24 03:11:41.395,45224913.0,,,,,1.0,394920.0,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-02-29 14:15:37.000000,2024-02-28 07:34:29,49604.0,429.0,7179.0,594.0,17724.0,1168.0,8918.0,18918.0,matplotlib: plotting with Python.,1647.0,48,True,2024-02-16 09:23:20.000,3.7.5,82.0,matplotlib,conda-forge/matplotlib,,,,1102840.0,1102840.0,https://pypi.org/project/matplotlib,,,56924103.0,57420965.0,https://anaconda.org/conda-forge/matplotlib,2024-02-15 20:37:52.070,21861937.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-02-29 12:07:57.000000,2024-02-29 11:43:18,17211.0,547.0,2173.0,223.0,4677.0,75.0,2936.0,11514.0,Python Imaging Library (Fork).,461.0,48,True,2024-01-02 09:38:41.000,10.2.0,95.0,Pillow,conda-forge/pillow,,,,1621323.0,1553567.0,https://pypi.org/project/Pillow,2023-10-15 13:01:25.000,67756.0,91256633.0,92099600.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,36247583.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-02-28 23:13:00.000000,2024-02-28 23:12:59,10353.0,219.0,19302.0,1912.0,6954.0,183.0,11436.0,60551.0,Deep Learning for humans.,1278.0,47,True,2024-02-14 22:35:35.000,3.0.5,91.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],756.0,,https://pypi.org/project/keras,2024-02-14 22:35:35.000,756.0,15671982.0,15748916.0,https://anaconda.org/conda-forge/keras,2024-02-15 07:10:55.798,3385105.0,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,
14,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-02-29 13:32:00.000000,2024-02-29 07:20:36,19576.0,1120.0,2437.0,321.0,12583.0,1604.0,3710.0,26832.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",645.0,45,True,2024-02-26 16:01:19.000,jax-v0.4.25,159.0,jax,conda-forge/jaxlib,,,,23191.0,22322.0,https://pypi.org/project/jax,2024-02-26 15:54:03.000,869.0,5634579.0,5658602.0,https://anaconda.org/conda-forge/jaxlib,2024-02-29 12:57:56.552,1057033.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-02-29 08:47:31.000000,2024-02-29 08:47:31,6770.0,118.0,8710.0,908.0,4990.0,411.0,4725.0,25352.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",637.0,45,True,2023-12-19 21:59:17.000,2.0.3,80.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,84029.0,82187.0,https://pypi.org/project/xgboost,2023-12-19 21:59:17.000,1842.0,14127485.0,14233628.0,https://anaconda.org/conda-forge/xgboost,2024-01-19 09:21:22.082,4561243.0,,,,,1.0,8115.0,,,,,,,,,,,,,,,,,,
16,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-02-29 14:15:33.000000,2024-02-29 13:51:42,47013.0,1862.0,5237.0,721.0,44267.0,972.0,16790.0,21402.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1163.0,45,True,2024-01-08 06:43:49.000,2.6.0,61.0,paddlepaddle,,,,['paddle'],4684.0,4684.0,https://pypi.org/project/paddlepaddle,,,214273.0,214443.0,,,,,,,,1.0,15369.0,,,,,,,,,,,,,,,,,,
