,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,gitlab_id,gitlab_url,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-05-12 13:59:34.000000,2021-04-27 02:35:03.000000,359,32.0,61.0,2218,1192.0,Benchmarks of approximate nearest neighbor libraries in Python.,56.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-05-13 14:23:19.000000,2021-04-29 16:28:53.000000,78,,2.0,1203,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-04-29 16:29:15.000000,2021.04.29,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-05-13 15:13:19.000000,2021-04-29 16:28:15.000000,125,1.0,3.0,1624,,Collection of database clients for python.,5.0,0,True,2021-04-29 16:28:23.000000,2021.04.29,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-05-13 13:53:33.000000,2021-05-13 12:13:56.000000,84523,4009.0,27713.0,157642,110431.0,An Open Source Machine Learning Framework for Everyone.,3650.0,44,True,2021-01-21 19:55:54.000000,2.4.1,120.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],159159.0,136635.0,https://pypi.org/project/tensorflow,2021-05-05 18:47:17.000000,22524.0,10910290.0,11735999.0,https://anaconda.org/conda-forge/tensorflow,2021-04-30 05:11:44.185000,2539061.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-05-13 13:33:15.301528,1901.0,51793997.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
4,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-05-13 15:04:24.000000,2021-05-13 13:43:03.000000,12323,3700.0,16994.0,29677,26771.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2672.0,43,True,2021-04-12 18:43:31.000000,1.2.4,91.0,pandas,conda-forge/pandas,,,['pandas'],519290.0,442506.0,https://pypi.org/project/pandas,2021-04-12 18:43:31.000000,76784.0,48108906.0,48380336.0,https://anaconda.org/conda-forge/pandas,2021-04-13 16:22:06.030000,16213337.0,,,,,1.0,106379.0,,,,,,,,,,,,,,,,,,,,,,
5,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-05-13 13:44:18.000000,2021-05-13 13:44:18.000000,3678,1648.0,5900.0,8229,25583.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1157.0,42,True,2021-04-26 02:11:23.000000,1.6.3,63.0,scipy,conda-forge/scipy,,,,428352.0,341490.0,https://pypi.org/project/scipy,2021-04-26 00:22:45.000000,86862.0,29604752.0,29850477.0,https://anaconda.org/conda-forge/scipy,2021-04-27 23:19:03.675000,14471837.0,,,,,1.0,317024.0,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-05-13 13:54:41.000000,2021-05-13 13:42:29.000000,12681,8648.0,14042.0,48158,36678.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2666.0,41,True,2021-03-25 16:07:08.000000,1.8.1,32.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],82328.0,75646.0,https://pypi.org/project/torch,2021-03-25 15:54:32.000000,6682.0,3779895.0,4042599.0,https://anaconda.org/pytorch/pytorch,2021-03-25 16:42:58.661000,11033584.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-05-13 14:23:19.000000,2021-05-13 14:23:19.000000,5785,1703.0,6207.0,13614,39001.0,matplotlib: plotting with Python.,1229.0,41,True,2021-05-08 05:47:47.000000,3.4.2,68.0,matplotlib,conda-forge/matplotlib,,,,447268.0,368164.0,https://pypi.org/project/matplotlib,2021-05-08 05:47:47.000000,79104.0,20162671.0,20292762.0,https://anaconda.org/conda-forge/matplotlib,2021-05-10 22:47:57.893000,8846228.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-05-13 12:43:45.000000,2021-05-13 12:43:45.000000,1621,214.0,2002.0,8511,11698.0,The friendly PIL fork (Python Imaging Library).,358.0,40,True,2021-04-01 20:55:51.000000,8.2.0,80.0,Pillow,conda-forge/pillow,,,,573687.0,462261.0,https://pypi.org/project/Pillow,2021-04-01 20:53:21.000000,111426.0,30842902.0,30980562.0,https://anaconda.org/conda-forge/pillow,2021-04-08 13:38:34.408000,8397267.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-05-13 12:43:34.000000,2021-05-13 03:40:52.000000,3994,494.0,3998.0,17248,11594.0,Asynchronous task queue/job queue based on distributed message passing.,1113.0,39,True,2021-05-02 13:32:41.000000,5.1.0b2,173.0,celery,conda-forge/celery,,,,80852.0,52618.0,https://pypi.org/project/celery,2021-05-02 10:06:32.000000,28234.0,5119300.0,5127135.0,https://anaconda.org/conda-forge/celery,2021-03-24 04:34:11.646000,485789.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
